"Notes"	"County"	"County Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"< 1 year"	"1"	Suppressed	627	Suppressed
	"Autauga County, AL"	"01001"	"1-4 years"	"1-4"	Suppressed	2564	Suppressed
	"Autauga County, AL"	"01001"	"5-9 years"	"5-9"	Suppressed	3669	Suppressed
	"Autauga County, AL"	"01001"	"10-14 years"	"10-14"	Suppressed	4044	Suppressed
	"Autauga County, AL"	"01001"	"15-19 years"	"15-19"	Suppressed	3886	Suppressed
	"Autauga County, AL"	"01001"	"20-24 years"	"20-24"	Suppressed	3294	Suppressed
	"Autauga County, AL"	"01001"	"25-34 years"	"25-34"	10	7026	142.33 (Unreliable)
	"Autauga County, AL"	"01001"	"35-44 years"	"35-44"	22	7377	298.22
	"Autauga County, AL"	"01001"	"45-54 years"	"45-54"	44	7916	555.84
	"Autauga County, AL"	"01001"	"55-64 years"	"55-64"	73	6851	1065.54
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	106	4795	2210.64
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	143	2640	5416.67
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	112	727	15405.78
	"Baldwin County, AL"	"01003"	"< 1 year"	"1"	11	2289	480.56 (Unreliable)
	"Baldwin County, AL"	"01003"	"1-4 years"	"1-4"	Suppressed	9371	Suppressed
	"Baldwin County, AL"	"01003"	"5-9 years"	"5-9"	Suppressed	12426	Suppressed
	"Baldwin County, AL"	"01003"	"10-14 years"	"10-14"	Suppressed	13175	Suppressed
	"Baldwin County, AL"	"01003"	"15-19 years"	"15-19"	11	12466	88.24 (Unreliable)
	"Baldwin County, AL"	"01003"	"20-24 years"	"20-24"	12	11105	108.06 (Unreliable)
	"Baldwin County, AL"	"01003"	"25-34 years"	"25-34"	37	23795	155.49
	"Baldwin County, AL"	"01003"	"35-44 years"	"35-44"	55	25214	218.13
	"Baldwin County, AL"	"01003"	"45-54 years"	"45-54"	103	28212	365.09
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	254	29406	863.77
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	397	24883	1595.47
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	533	12105	4403.14
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	554	4116	13459.67
	"Barbour County, AL"	"01005"	"< 1 year"	"1"	Suppressed	248	Suppressed
	"Barbour County, AL"	"01005"	"1-4 years"	"1-4"	Suppressed	1104	Suppressed
	"Barbour County, AL"	"01005"	"5-9 years"	"5-9"	Suppressed	1611	Suppressed
	"Barbour County, AL"	"01005"	"10-14 years"	"10-14"	Suppressed	1553	Suppressed
	"Barbour County, AL"	"01005"	"15-19 years"	"15-19"	Suppressed	1459	Suppressed
	"Barbour County, AL"	"01005"	"20-24 years"	"20-24"	Suppressed	1664	Suppressed
	"Barbour County, AL"	"01005"	"25-34 years"	"25-34"	Suppressed	3694	Suppressed
	"Barbour County, AL"	"01005"	"35-44 years"	"35-44"	Suppressed	3220	Suppressed
	"Barbour County, AL"	"01005"	"45-54 years"	"45-54"	15	3442	435.79 (Unreliable)
	"Barbour County, AL"	"01005"	"55-64 years"	"55-64"	41	3292	1245.44
	"Barbour County, AL"	"01005"	"65-74 years"	"65-74"	52	2828	1838.76
	"Barbour County, AL"	"01005"	"75-84 years"	"75-84"	66	1387	4758.47
	"Barbour County, AL"	"01005"	"85+ years"	"85+"	61	463	13174.95
	"Bibb County, AL"	"01007"	"< 1 year"	"1"	Suppressed	262	Suppressed
	"Bibb County, AL"	"01007"	"1-4 years"	"1-4"	Suppressed	1012	Suppressed
	"Bibb County, AL"	"01007"	"5-9 years"	"5-9"	Suppressed	1256	Suppressed
	"Bibb County, AL"	"01007"	"10-14 years"	"10-14"	Suppressed	1296	Suppressed
	"Bibb County, AL"	"01007"	"15-19 years"	"15-19"	Suppressed	1314	Suppressed
	"Bibb County, AL"	"01007"	"20-24 years"	"20-24"	Suppressed	1382	Suppressed
	"Bibb County, AL"	"01007"	"25-34 years"	"25-34"	10	3387	295.25 (Unreliable)
	"Bibb County, AL"	"01007"	"35-44 years"	"35-44"	Suppressed	3062	Suppressed
	"Bibb County, AL"	"01007"	"45-54 years"	"45-54"	21	3367	623.70
	"Bibb County, AL"	"01007"	"55-64 years"	"55-64"	35	2811	1245.11
	"Bibb County, AL"	"01007"	"65-74 years"	"65-74"	67	2087	3210.35
	"Bibb County, AL"	"01007"	"75-84 years"	"75-84"	50	1085	4608.29
	"Bibb County, AL"	"01007"	"85+ years"	"85+"	41	322	12732.92
	"Blount County, AL"	"01009"	"< 1 year"	"1"	Suppressed	662	Suppressed
	"Blount County, AL"	"01009"	"1-4 years"	"1-4"	Suppressed	2691	Suppressed
	"Blount County, AL"	"01009"	"5-9 years"	"5-9"	Suppressed	3737	Suppressed
	"Blount County, AL"	"01009"	"10-14 years"	"10-14"	Suppressed	3813	Suppressed
	"Blount County, AL"	"01009"	"15-19 years"	"15-19"	Suppressed	3703	Suppressed
	"Blount County, AL"	"01009"	"20-24 years"	"20-24"	Suppressed	3231	Suppressed
	"Blount County, AL"	"01009"	"25-34 years"	"25-34"	10	6748	148.19 (Unreliable)
	"Blount County, AL"	"01009"	"35-44 years"	"35-44"	26	7178	362.22
	"Blount County, AL"	"01009"	"45-54 years"	"45-54"	48	8012	599.10
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	92	7550	1218.54
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	162	6251	2591.59
	"Blount County, AL"	"01009"	"75-84 years"	"75-84"	174	3159	5508.07
	"Blount County, AL"	"01009"	"85+ years"	"85+"	163	969	16821.47
	"Bullock County, AL"	"01011"	"< 1 year"	"1"	Suppressed	114	Suppressed
	"Bullock County, AL"	"01011"	"1-4 years"	"1-4"	Suppressed	488	Suppressed
	"Bullock County, AL"	"01011"	"5-9 years"	"5-9"	Suppressed	673	Suppressed
	"Bullock County, AL"	"01011"	"10-14 years"	"10-14"	Suppressed	578	Suppressed
	"Bullock County, AL"	"01011"	"15-19 years"	"15-19"	Suppressed	575	Suppressed
	"Bullock County, AL"	"01011"	"20-24 years"	"20-24"	Suppressed	658	Suppressed
	"Bullock County, AL"	"01011"	"25-34 years"	"25-34"	Suppressed	1517	Suppressed
	"Bullock County, AL"	"01011"	"35-44 years"	"35-44"	Suppressed	1332	Suppressed
	"Bullock County, AL"	"01011"	"45-54 years"	"45-54"	Suppressed	1356	Suppressed
	"Bullock County, AL"	"01011"	"55-64 years"	"55-64"	16	1387	1153.57 (Unreliable)
	"Bullock County, AL"	"01011"	"65-74 years"	"65-74"	36	964	3734.44
	"Bullock County, AL"	"01011"	"75-84 years"	"75-84"	29	523	5544.93
	"Bullock County, AL"	"01011"	"85+ years"	"85+"	31	197	15736.04
	"Butler County, AL"	"01013"	"< 1 year"	"1"	Suppressed	235	Suppressed
	"Butler County, AL"	"01013"	"1-4 years"	"1-4"	Suppressed	960	Suppressed
	"Butler County, AL"	"01013"	"5-9 years"	"5-9"	Suppressed	1368	Suppressed
