"Notes"	"County"	"County Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"< 1 year"	"1"	Suppressed	627	Suppressed
	"Autauga County, AL"	"01001"	"1-4 years"	"1-4"	Suppressed	2564	Suppressed
	"Autauga County, AL"	"01001"	"5-9 years"	"5-9"	Suppressed	3669	Suppressed
	"Autauga County, AL"	"01001"	"10-14 years"	"10-14"	Suppressed	4044	Suppressed
	"Autauga County, AL"	"01001"	"15-19 years"	"15-19"	Suppressed	3886	Suppressed
	"Autauga County, AL"	"01001"	"20-24 years"	"20-24"	Suppressed	3294	Suppressed
	"Autauga County, AL"	"01001"	"25-34 years"	"25-34"	Suppressed	7026	Suppressed
	"Autauga County, AL"	"01001"	"35-44 years"	"35-44"	Suppressed	7377	Suppressed
	"Autauga County, AL"	"01001"	"45-54 years"	"45-54"	13	7916	164.22 (Unreliable)
	"Autauga County, AL"	"01001"	"55-64 years"	"55-64"	21	6851	306.52
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	23	4795	479.67
	"Autauga County, AL"	"01001"	"75-84 years"	"75-84"	48	2640	1818.18
	"Autauga County, AL"	"01001"	"85+ years"	"85+"	52	727	7152.68
"Total"	"Autauga County, AL"	"01001"			163	55416	294.14
	"Baldwin County, AL"	"01003"	"< 1 year"	"1"	Suppressed	2289	Suppressed
	"Baldwin County, AL"	"01003"	"1-4 years"	"1-4"	Suppressed	9371	Suppressed
	"Baldwin County, AL"	"01003"	"5-9 years"	"5-9"	Suppressed	12426	Suppressed
	"Baldwin County, AL"	"01003"	"10-14 years"	"10-14"	Suppressed	13175	Suppressed
	"Baldwin County, AL"	"01003"	"15-19 years"	"15-19"	Suppressed	12466	Suppressed
	"Baldwin County, AL"	"01003"	"20-24 years"	"20-24"	Suppressed	11105	Suppressed
	"Baldwin County, AL"	"01003"	"25-34 years"	"25-34"	Suppressed	23795	Suppressed
	"Baldwin County, AL"	"01003"	"35-44 years"	"35-44"	17	25214	67.42 (Unreliable)
	"Baldwin County, AL"	"01003"	"45-54 years"	"45-54"	22	28212	77.98
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	75	29406	255.05
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	129	24883	518.43
	"Baldwin County, AL"	"01003"	"75-84 years"	"75-84"	158	12105	1305.25
	"Baldwin County, AL"	"01003"	"85+ years"	"85+"	230	4116	5587.95
"Total"	"Baldwin County, AL"	"01003"			640	208563	306.86
	"Barbour County, AL"	"01005"	"< 1 year"	"1"	Suppressed	248	Suppressed
	"Barbour County, AL"	"01005"	"1-4 years"	"1-4"	Suppressed	1104	Suppressed
	"Barbour County, AL"	"01005"	"5-9 years"	"5-9"	Suppressed	1611	Suppressed
	"Barbour County, AL"	"01005"	"10-14 years"	"10-14"	Suppressed	1553	Suppressed
	"Barbour County, AL"	"01005"	"15-19 years"	"15-19"	Suppressed	1459	Suppressed
	"Barbour County, AL"	"01005"	"20-24 years"	"20-24"	Suppressed	1664	Suppressed
	"Barbour County, AL"	"01005"	"25-34 years"	"25-34"	Suppressed	3694	Suppressed
	"Barbour County, AL"	"01005"	"35-44 years"	"35-44"	Suppressed	3220	Suppressed
	"Barbour County, AL"	"01005"	"45-54 years"	"45-54"	Suppressed	3442	Suppressed
	"Barbour County, AL"	"01005"	"55-64 years"	"55-64"	14	3292	425.27 (Unreliable)
	"Barbour County, AL"	"01005"	"65-74 years"	"65-74"	23	2828	813.30
	"Barbour County, AL"	"01005"	"75-84 years"	"75-84"	18	1387	1297.76 (Unreliable)
	"Barbour County, AL"	"01005"	"85+ years"	"85+"	26	463	5615.55
"Total"	"Barbour County, AL"	"01005"			90	25965	346.62
	"Bibb County, AL"	"01007"	"< 1 year"	"1"	Suppressed	262	Suppressed
	"Bibb County, AL"	"01007"	"1-4 years"	"1-4"	Suppressed	1012	Suppressed
	"Bibb County, AL"	"01007"	"5-9 years"	"5-9"	Suppressed	1256	Suppressed
	"Bibb County, AL"	"01007"	"10-14 years"	"10-14"	Suppressed	1296	Suppressed
	"Bibb County, AL"	"01007"	"15-19 years"	"15-19"	Suppressed	1314	Suppressed
	"Bibb County, AL"	"01007"	"20-24 years"	"20-24"	Suppressed	1382	Suppressed
	"Bibb County, AL"	"01007"	"25-34 years"	"25-34"	Suppressed	3387	Suppressed
	"Bibb County, AL"	"01007"	"35-44 years"	"35-44"	Suppressed	3062	Suppressed
	"Bibb County, AL"	"01007"	"45-54 years"	"45-54"	Suppressed	3367	Suppressed
	"Bibb County, AL"	"01007"	"55-64 years"	"55-64"	15	2811	533.62 (Unreliable)
	"Bibb County, AL"	"01007"	"65-74 years"	"65-74"	23	2087	1102.06
	"Bibb County, AL"	"01007"	"75-84 years"	"75-84"	15	1085	1382.49 (Unreliable)
	"Bibb County, AL"	"01007"	"85+ years"	"85+"	20	322	6211.18
"Total"	"Bibb County, AL"	"01007"			79	22643	348.89
	"Blount County, AL"	"01009"	"< 1 year"	"1"	Suppressed	662	Suppressed
	"Blount County, AL"	"01009"	"1-4 years"	"1-4"	Suppressed	2691	Suppressed
	"Blount County, AL"	"01009"	"5-9 years"	"5-9"	Suppressed	3737	Suppressed
	"Blount County, AL"	"01009"	"10-14 years"	"10-14"	Suppressed	3813	Suppressed
	"Blount County, AL"	"01009"	"15-19 years"	"15-19"	Suppressed	3703	Suppressed
	"Blount County, AL"	"01009"	"20-24 years"	"20-24"	Suppressed	3231	Suppressed
	"Blount County, AL"	"01009"	"25-34 years"	"25-34"	Suppressed	6748	Suppressed
	"Blount County, AL"	"01009"	"35-44 years"	"35-44"	Suppressed	7178	Suppressed
	"Blount County, AL"	"01009"	"45-54 years"	"45-54"	Suppressed	8012	Suppressed
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	26	7550	344.37
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	30	6251	479.92
	"Blount County, AL"	"01009"	"75-84 years"	"75-84"	62	3159	1962.65
	"Blount County, AL"	"01009"	"85+ years"	"85+"	66	969	6811.15
"Total"	"Blount County, AL"	"01009"			199	57704	344.86
	"Bullock County, AL"	"01011"	"< 1 year"	"1"	Suppressed	114	Suppressed
	"Bullock County, AL"	"01011"	"1-4 years"	"1-4"	Suppressed	488	Suppressed
	"Bullock County, AL"	"01011"	"5-9 years"	"5-9"	Suppressed	673	Suppressed
	"Bullock County, AL"	"01011"	"10-14 years"	"10-14"	Suppressed	578	Suppressed
	"Bullock County, AL"	"01011"	"15-19 years"	"15-19"	Suppressed	575	Suppressed
	"Bullock County, AL"	"01011"	"20-24 years"	"20-24"	Suppressed	658	Suppressed
	"Bullock County, AL"	"01011"	"25-34 years"	"25-34"	Suppressed	1517	Suppressed
	"Bullock County, AL"	"01011"	"35-44 years"	"35-44"	Suppressed	1332	Suppressed
	"Bullock County, AL"	"01011"	"45-54 years"	"45-54"	Suppressed	1356	Suppressed
	"Bullock County, AL"	"01011"	"55-64 years"	"55-64"	Suppressed	1387	Suppressed
	"Bullock County, AL"	"01011"	"65-74 years"	"65-74"	10	964	1037.34 (Unreliable)
