State Code,County Code,County Name/State Abbreviation,Force,Employed,Unemployed
1.0,1.0,"Autauga County, AL","25,898     ","24,858     ","1,040     "
1.0,3.0,"Baldwin County, AL","91,838     ","87,994     ","3,844     "
1.0,5.0,"Barbour County, AL","8,298     ","7,800     ",498     
1.0,7.0,"Bibb County, AL","8,527     ","8,142     ",385     
1.0,9.0,"Blount County, AL","24,656     ","23,631     ","1,025     "
1.0,11.0,"Bullock County, AL","4,820     ","4,576     ",244     
1.0,13.0,"Butler County, AL","8,920     ","8,412     ",508     
1.0,15.0,"Calhoun County, AL","45,656     ","43,324     ","2,332     "
1.0,17.0,"Chambers County, AL","15,158     ","14,521     ",637     
1.0,19.0,"Cherokee County, AL","11,309     ","10,834     ",475     
1.0,21.0,"Chilton County, AL","19,203     ","18,396     ",807     
1.0,23.0,"Choctaw County, AL","4,398     ","4,112     ",286     
1.0,25.0,"Clarke County, AL","7,725     ","7,049     ",676     
1.0,27.0,"Clay County, AL","5,781     ","5,522     ",259     
1.0,29.0,"Cleburne County, AL","5,709     ","5,444     ",265     
1.0,31.0,"Coffee County, AL","20,831     ","19,887     ",944     
1.0,33.0,"Colbert County, AL","23,195     ","21,950     ","1,245     "
1.0,35.0,"Conecuh County, AL","4,479     ","4,196     ",283     
1.0,37.0,"Coosa County, AL","4,368     ","4,157     ",211     
1.0,39.0,"Covington County, AL","15,678     ","14,836     ",842     
1.0,41.0,"Crenshaw County, AL","6,387     ","6,088     ",299     
1.0,43.0,"Cullman County, AL","37,716     ","36,259     ","1,457     "
1.0,45.0,"Dale County, AL","19,882     ","18,964     ",918     
1.0,47.0,"Dallas County, AL","15,002     ","13,843     ","1,159     "
1.0,49.0,"DeKalb County, AL","29,494     ","28,128     ","1,366     "
1.0,51.0,"Elmore County, AL","37,109     ","35,697     ","1,412     "
1.0,53.0,"Escambia County, AL","14,408     ","13,667     ",741     
1.0,55.0,"Etowah County, AL","42,949     ","40,915     ","2,034     "
1.0,57.0,"Fayette County, AL","6,536     ","6,218     ",318     
1.0,59.0,"Franklin County, AL","13,934     ","13,320     ",614     
1.0,61.0,"Geneva County, AL","10,755     ","10,272     ",483     
1.0,63.0,"Greene County, AL","2,845     ","2,623     ",222     
1.0,65.0,"Hale County, AL","5,932     ","5,568     ",364     
1.0,67.0,"Henry County, AL","6,695     ","6,359     ",336     
1.0,69.0,"Houston County, AL","44,585     ","42,574     ","2,011     "
1.0,71.0,"Jackson County, AL","23,049     ","21,909     ","1,140     "
1.0,73.0,"Jefferson County, AL","309,410     ","295,805     ","13,605     "
1.0,75.0,"Lamar County, AL","5,726     ","5,478     ",248     
1.0,77.0,"Lauderdale County, AL","41,942     ","39,933     ","2,009     "
1.0,79.0,"Lawrence County, AL","13,601     ","12,909     ",692     
1.0,81.0,"Lee County, AL","73,263     ","70,259     ","3,004     "
