State ANSI,County ANSI,Percent Deaths_0-5,Percent Deaths_5-25,Percent Deaths_25+
1.0,1.0,0.00193,0.00056,0.01366
1.0,3.0,0.0012,0.00055,0.01308
1.0,5.0,0.00182,0.00058,0.01373
1.0,7.0,0.00201,0.00059,0.01447
1.0,9.0,0.00194,0.00056,0.01693
1.0,11.0,0.00187,0.00058,0.01729
1.0,13.0,0.00193,0.00056,0.01903
1.0,15.0,0.0029,0.00075,0.01725
1.0,17.0,0.00199,0.00059,0.01893
1.0,19.0,0.00176,0.00057,0.01859
1.0,21.0,0.00188,0.00055,0.01576
1.0,23.0,0.00203,0.00058,0.01826
1.0,25.0,0.00205,0.0006,0.01822
1.0,27.0,0.00186,0.00059,0.01827
1.0,29.0,0.00188,0.00055,0.01767
1.0,31.0,0.00189,0.00056,0.01419
1.0,33.0,0.00188,0.00057,0.01816
1.0,35.0,0.00169,0.00058,0.01751
1.0,37.0,0.00185,0.00061,0.01933
1.0,39.0,0.00197,0.00055,0.01872
1.0,41.0,0.00181,0.00055,0.02001
1.0,43.0,0.00197,0.00056,0.01727
1.0,45.0,0.00189,0.00059,0.01594
1.0,47.0,0.00187,0.00057,0.02084
1.0,49.0,0.00185,0.00055,0.01617
1.0,51.0,0.00232,0.00082,0.01368
1.0,53.0,0.00193,0.00057,0.01946
1.0,55.0,0.00253,0.00058,0.0189
1.0,57.0,0.00184,0.00058,0.02103
1.0,59.0,0.00176,0.00056,0.01734
1.0,61.0,0.00188,0.00055,0.01996
1.0,63.0,0.00195,0.00057,0.01701
1.0,65.0,0.00208,0.00059,0.01875
1.0,67.0,0.00188,0.00056,0.01715
1.0,69.0,0.00248,0.00056,0.01504
1.0,71.0,0.00188,0.00057,0.01942
1.0,73.0,0.00232,0.0008,0.01538
1.0,75.0,0.00191,0.00055,0.01989
1.0,77.0,0.00194,0.00082,0.01798
1.0,79.0,0.00194,0.00057,0.01667
1.0,81.0,0.00144,0.00073,0.01032
1.0,83.0,0.00192,0.00055,0.01095
1.0,85.0,0.00189,0.00056,0.01915
1.0,87.0,0.00202,0.00076,0.02084
1.0,89.0,0.00193,0.00066,0.01303
1.0,91.0,0.00194,0.00057,0.01966
1.0,93.0,0.00182,0.00057,0.01769
1.0,95.0,0.00199,0.00055,0.01811
1.0,97.0,0.00235,0.00072,0.01535
1.0,99.0,0.00194,0.00058,0.01577
1.0,101.0,0.00254,0.00091,0.0136
1.0,103.0,0.00191,0.00078,0.01562
1.0,105.0,0.00201,0.00066,0.01928
1.0,107.0,0.00196,0.00061,0.01667
1.0,109.0,0.00205,0.0008,0.0152
1.0,111.0,0.0021,0.00059,0.01877
1.0,113.0,0.00193,0.00057,0.01657
1.0,115.0,0.00234,0.00054,0.01537
1.0,117.0,0.00138,0.00055,0.0102
1.0,119.0,0.00207,0.00077,0.01943
1.0,121.0,0.00192,0.00085,0.01777
1.0,123.0,0.00191,0.00058,0.01989
1.0,125.0,0.00291,0.00051,0.0133
1.0,127.0,0.00197,0.00057,0.02192
1.0,129.0,0.00202,0.00059,0.01719
