State ANSI,County ANSI,Percent Deaths_0-5,Percent Deaths_5-25,Percent Deaths_25+
1.0,1.0,,,0.01366
1.0,3.0,,,0.01308
1.0,5.0,,,
1.0,7.0,,,
1.0,9.0,,,0.01693
1.0,11.0,,,
1.0,13.0,,,
1.0,15.0,,,0.01725
1.0,17.0,,,
1.0,19.0,,,
1.0,21.0,,,
1.0,23.0,,,
1.0,25.0,,,
1.0,27.0,,,
1.0,29.0,,,
1.0,31.0,,,0.01419
1.0,33.0,,,
1.0,35.0,,,
1.0,37.0,,,
1.0,39.0,,,
1.0,41.0,,,
1.0,43.0,,,0.01727
1.0,45.0,,,0.01594
1.0,47.0,,,0.02084
1.0,49.0,,,0.01617
1.0,51.0,,,0.01368
1.0,53.0,,,
1.0,55.0,,,0.0189
1.0,57.0,,,
1.0,59.0,,,0.01734
1.0,61.0,,,
1.0,63.0,,,
1.0,65.0,,,
1.0,67.0,,,
1.0,69.0,,,0.01504
1.0,71.0,,,
1.0,73.0,,,0.01538
1.0,75.0,,,
1.0,77.0,,,0.01798
1.0,79.0,,,0.01667
1.0,81.0,,,0.01032
1.0,83.0,,,0.01095
1.0,85.0,,,
1.0,87.0,,,
1.0,89.0,,,0.01303
1.0,91.0,,,
1.0,93.0,,,
1.0,95.0,,,0.01811
1.0,97.0,,,0.01535
1.0,99.0,,,
1.0,101.0,,,0.0136
1.0,103.0,,,0.01562
1.0,105.0,,,
1.0,107.0,,,
1.0,109.0,,,
1.0,111.0,,,
1.0,113.0,,,0.01657
1.0,115.0,,,0.01537
1.0,117.0,,,0.0102
1.0,119.0,,,
1.0,121.0,,,0.01777
1.0,123.0,,,
1.0,125.0,,,0.0133
1.0,127.0,,,0.02192
1.0,129.0,,,
1.0,131.0,,,
1.0,133.0,,,
2.0,13.0,,,
2.0,16.0,,,
2.0,20.0,,,0.00852
2.0,50.0,,,
2.0,60.0,,,
2.0,68.0,,,
2.0,70.0,,,
2.0,90.0,,,0.00775
2.0,100.0,,,
2.0,105.0,,,
2.0,110.0,,,
2.0,122.0,,,0.01134
2.0,130.0,,,
2.0,150.0,,,
,,,,
2.0,164.0,,,
2.0,170.0,,,0.00879
2.0,180.0,,,
2.0,185.0,,,
2.0,188.0,,,
2.0,195.0,,,
2.0,198.0,,,
2.0,220.0,,,
2.0,230.0,,,
2.0,240.0,,,
2.0,261.0,,,
2.0,275.0,,,
2.0,282.0,,,
2.0,290.0,,,
4.0,1.0,,,0.01399
4.0,3.0,,,0.01519
4.0,5.0,,,0.0098
4.0,7.0,,,0.02097
4.0,9.0,,,
4.0,11.0,,,
4.0,12.0,,,
4.0,13.0,0.0013,0.00044,0.01064
4.0,15.0,,,0.02073
4.0,17.0,,,0.01393
4.0,19.0,0.00125,,0.01376
4.0,21.0,,,0.01027
4.0,23.0,,,
4.0,25.0,,,0.01697
4.0,27.0,,,0.01135
5.0,1.0,,,
5.0,3.0,,,
5.0,5.0,,,
5.0,7.0,,,0.01017
5.0,9.0,,,
5.0,11.0,,,
5.0,13.0,,,
5.0,15.0,,,
5.0,17.0,,,
5.0,19.0,,,
5.0,21.0,,,
5.0,23.0,,,
5.0,25.0,,,
5.0,27.0,,,
5.0,29.0,,,
5.0,31.0,,,0.01349
5.0,33.0,,,0.01503
5.0,35.0,,,
5.0,37.0,,,
5.0,39.0,,,
5.0,41.0,,,
5.0,43.0,,,
5.0,45.0,,,0.01275
5.0,47.0,,,
5.0,49.0,,,
5.0,51.0,,,0.01922
5.0,53.0,,,
5.0,55.0,,,0.01605
5.0,57.0,,,
5.0,59.0,,,
5.0,61.0,,,
5.0,63.0,,,
5.0,65.0,,,
5.0,67.0,,,
5.0,69.0,,,0.01774
5.0,71.0,,,
5.0,73.0,,,
5.0,75.0,,,
5.0,77.0,,,
5.0,79.0,,,
5.0,81.0,,,
5.0,83.0,,,
5.0,85.0,,,0.0143
5.0,87.0,,,
5.0,89.0,,,
5.0,91.0,,,
5.0,93.0,,,0.01798
5.0,95.0,,,
5.0,97.0,,,
5.0,99.0,,,
5.0,101.0,,,
5.0,103.0,,,
5.0,105.0,,,
5.0,107.0,,,
5.0,109.0,,,
5.0,111.0,,,
5.0,113.0,,,
5.0,115.0,,,0.01409
5.0,117.0,,,
5.0,119.0,,,0.01331
5.0,121.0,,,
5.0,123.0,,,
5.0,125.0,,,0.01309
5.0,127.0,,,
5.0,129.0,,,
5.0,131.0,,,0.01477
5.0,133.0,,,
5.0,135.0,,,
5.0,137.0,,,
5.0,139.0,,,0.0187
5.0,141.0,,,
5.0,143.0,,,0.01121
5.0,145.0,,,0.0159
5.0,147.0,,,
5.0,149.0,,,
6.0,1.0,0.00083,,0.00837
