State ANSI,County ANSI,ELEMENT_GLOBAL_ID,"Adder's-tongues, Grapeferns, and Moonworts",Amphibians,Amphipods,"Ants, Wasps, and Sawflies",Birds,Bumble Bees,Butterflies and Skippers,Caddisflies,Carpenter Bees,Chimney Bees (in part),Clubmosses,Conifers,Corals and other Cnidarians,Crayfishes,Crocodilians,Dicots,Digger Bees,"Diplurans, Springtails, and Proturans",Dragonflies and Damselflies,"Fairy, Clam, and Tadpole Shrimps","Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Fishes - Marine Bony and Cartilaginous; Hagfishes,Flatworms,Flower Flies or Hoverflies,Freshwater Mussels,Freshwater Snails,Fungi (non-lichenized),Giant Silkworm and Royal Moths,Gnetophytes,Grasshoppers,Ground Beetles,Hornworts,Horse and Deer Flies,Horsetails,Isopods,Katydids and Crickets,Leafcutter Bees,Leptosporangiate Ferns,Lichens,Liverworts,Mammals,Mason Bees,Mayflies,Millipedes and Centipedes,Monocots,Mosquitoes,Mosses,Notodontid Moths,Other Bees,Other Beetles,Other Crustaceans,Other Flies and Keds,Other Insects,Other Molluscs,Other Moths,Other Terrestrial or Freshwater Invertebrates,Papaipema Moths,Predaceous Diving Beetles,Reptiles,Resin Bees (in part),Robber Flies,Sphinx Moths,Spiders and other Chelicerates,Spikemosses and Quillworts,Sponges,Squash Bees,Stoneflies,Striped Sweat Bees,Sweat Bees (in part),Terrestrial Snails,Tiger Beetles,Tiger Moths,"True Bugs, Cicadas, Hoppers, Aphids and Allies",Turtles,Underwing Moths,Whisk Ferns,Wool-carder Bees,"Worms, Leeches, and other Annelids",G1,G1?,G1?Q,G1G2,G1G2Q,G1G2T1,G1G2T1T2,G1G3,G1G3Q,G1G3T1,G1Q,G1QT1Q,G1T1,G1T1Q,G1TH,G2,G2?,G2?Q,G2G3,G2G3Q,G2G3QT2Q,G2G3T1,G2G3T1T2,G2G3T2,G2G3T2?,G2G3T2T3,G2G3TNRQ,G2G4,G2G4Q,G2G4T2,G2G4T2T3,G2Q,G2QT1Q,G2T1,G2T1Q,G2T1T2,G2T2,G2T2Q,G2T2T3,G2TH,G3,G3?,G3?Q,G3?T1,G3?T1?,G3?T2,G3?T2?,G3?T2Q,G3?T3,G3?T3?,G3G4,G3G4Q,G3G4T1,G3G4T1T2,G3G4T1T2Q,G3G4T1T3Q,G3G4T2,G3G4T2?,G3G4T2Q,G3G4T2T3,G3G4T2T3Q,G3G4T2T4,G3G4T3,G3G4T3?,G3G4T3T4,G3G4TNR,G3G5,G3G5Q,G3G5T1,G3G5T2Q,G3G5T2T3,G3G5T2T4,G3G5T3T4,G3G5T3T5,G3G5TNR,G3Q,G3QT1T2Q,G3QT3Q,G3T1,G3T1?,G3T1Q,G3T1T2,G3T1T2Q,G3T1T3,G3T2,G3T2?,G3T2Q,G3T2T3,G3T2T3Q,G3T3,G3T3?,G3T3Q,G3T4?,G3TH,G3THQ,G3TNR,G4,G4?,G4?Q,G4?T1,G4?T1T2,G4?T2,G4?T2Q,G4?T2T3,G4?T2T4,G4?T3,G4?T3?,G4?T3Q,G4?T3T4,G4?T4?,G4?T4?Q,G4?T4Q,G4?TNR,G4?TX,G4G5,G4G5Q,G4G5T1,G4G5T1Q,G4G5T1T2,G4G5T1T2Q,G4G5T2,G4G5T2?,G4G5T2?Q,G4G5T2Q,G4G5T2T3,G4G5T2T3Q,G4G5T3,G4G5T3?,G4G5T3Q,G4G5T3T4,G4G5T3T5,G4G5T4,G4G5T4?,G4G5T4?Q,G4G5T4T5,G4G5T4T5Q,G4G5TNR,G4Q,G4QT1,G4QT2Q,G4QT2T3,G4T1,G4T1?,G4T1Q,G4T1T2,G4T1T2Q,G4T1T3,G4T2,G4T2?,G4T2?Q,G4T2Q,G4T2T3,G4T2T3Q,G4T2T4,G4T2T4Q,G4T3,G4T3?,G4T3?Q,G4T3Q,G4T3T4,G4T3T4Q,G4T4,G4T4?,G4T4Q,G4TH,G4TNR,G4TU,G5,G5?,G5?Q,G5?T1,G5?T1?,G5?T1T2,G5?T2,G5?T2Q,G5?T2T4,G5?T3,G5?T3?,G5?T3T4,G5?T3T5,G5?T4,G5?T4?,G5?T4T5,G5?T5?,G5?TNR,G5T1,G5T1?,G5T1Q,G5T1S2,G5T1T2,G5T1T2Q,G5T1T3,G5T1T3Q,G5T2,G5T2?,G5T2?Q,G5T2Q,G5T2T3,G5T2T3Q,G5T2T4,G5T2T4Q,G5T3,G5T3?,G5T3?Q,G5T3Q,G5T3T4,G5T3T4Q,G5T3T5,G5T3T5Q,G5T4,G5T4?,G5T4?Q,G5T4Q,G5T4T5,G5T4T5Q,G5T5,G5T5?,G5T5?Q,G5T5Q,G5TH,G5TNR,G5TNRQ,G5TU,G5TUQ,G5TX,G5TXQ,GH,GHC,GHQ,GHTH,GNA,GNR,GNRQ,GNRT1,GNRT2,GNRT2?,GNRT2Q,GNRT2T3,GNRT3,GNRT3Q,GNRT3T4,GNRT3T5,GNRT4,GNRTNR,GU,GUQ,GUT1Q,GX,GXC
1.0,1.0,46.0,,,,,1.0,,,3.0,,,,,,1.0,,29.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,5.0,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,7.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,8.0,1.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,3.0,159.0,1.0,3.0,,,9.0,,,15.0,,,1.0,2.0,,2.0,,48.0,,,,,12.0,,,,9.0,,,,,,,,,,,,,,,,3.0,,,,41.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,8.0,,,,,2.0,,,3.0,,,,,,,,,,,,9.0,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,29.0,1.0,,,,,,,,,15.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,31.0,8.0,,,,,,,,,,,,,1.0,,,,9.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,36.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1.0,5.0,42.0,1.0,3.0,,,1.0,,,2.0,,,,1.0,,,,9.0,,,,,4.0,,,,17.0,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,7.0,165.0,1.0,,,,1.0,,1.0,24.0,,,,,,1.0,,58.0,,,1.0,,13.0,,,,25.0,14.0,,,,,,,,,,,,3.0,,,,,,,21.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,14.0,,,,1.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,24.0,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,23.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,59.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,9.0,69.0,,2.0,,,1.0,,,3.0,,,,,,1.0,,21.0,,1.0,1.0,,8.0,,,,15.0,3.0,,,,,2.0,,,,,,,,,,1.0,,,,6.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,6.0,,,3.0,,,,,,,,,,,,5.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,15.0,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,
1.0,11.0,33.0,,,,,1.0,,,,,,,,,,,10.0,,,,,1.0,,,,10.0,,,,,,,,,,,,,,,,2.0,,,,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,13.0,38.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,22.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,8.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,15.0,70.0,,1.0,,,1.0,,1.0,22.0,,,,1.0,,,,19.0,,,,,4.0,,,,6.0,4.0,,,,,,,,1.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,4.0,,,,1.0,,,,,,,,,,,9.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
1.0,17.0,18.0,,,,,,,,,,,,,,,,9.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,19.0,70.0,,1.0,,,1.0,,,5.0,,,,,,,,30.0,,,,,3.0,,,,11.0,5.0,,,,,,,,,,,,2.0,,,1.0,,,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,8.0,,,1.0,,,,1.0,,,1.0,,,,,10.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,11.0,,1.0,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,2.0,
