State ANSI,County ANSI,Percent Deaths_0-5,Percent Deaths_5-25,Percent Deaths_25+
1.0,1.0,5e-05,2e-05,0.00438
1.0,3.0,5e-05,2e-05,0.0043
1.0,5.0,5e-05,3e-05,0.00494
1.0,7.0,5e-05,3e-05,0.0051
1.0,9.0,5e-05,2e-05,0.00516
1.0,11.0,5e-05,3e-05,0.00483
1.0,13.0,5e-05,2e-05,0.00743
1.0,15.0,5e-05,2e-05,0.00655
1.0,17.0,5e-05,3e-05,0.00601
1.0,19.0,5e-05,2e-05,0.00582
1.0,21.0,5e-05,2e-05,0.00622
1.0,23.0,6e-05,2e-05,0.00788
1.0,25.0,6e-05,3e-05,0.00687
1.0,27.0,5e-05,2e-05,0.00677
1.0,29.0,5e-05,2e-05,0.0065
1.0,31.0,5e-05,2e-05,0.00496
1.0,33.0,5e-05,2e-05,0.00552
1.0,35.0,5e-05,2e-05,0.00632
1.0,37.0,5e-05,3e-05,0.0068
1.0,39.0,5e-05,2e-05,0.00622
1.0,41.0,5e-05,2e-05,0.00598
1.0,43.0,5e-05,2e-05,0.00564
1.0,45.0,5e-05,3e-05,0.00527
1.0,47.0,5e-05,2e-05,0.00759
1.0,49.0,5e-05,2e-05,0.00548
1.0,51.0,5e-05,2e-05,0.00417
1.0,53.0,5e-05,2e-05,0.00602
1.0,55.0,5e-05,2e-05,0.00637
1.0,57.0,5e-05,2e-05,0.00632
1.0,59.0,5e-05,2e-05,0.00548
1.0,61.0,5e-05,2e-05,0.00673
1.0,63.0,5e-05,2e-05,0.00533
1.0,65.0,6e-05,2e-05,0.00655
1.0,67.0,5e-05,2e-05,0.00618
1.0,69.0,5e-05,2e-05,0.0057
1.0,71.0,5e-05,2e-05,0.00676
1.0,73.0,5e-05,2e-05,0.00448
1.0,75.0,5e-05,2e-05,0.0063
1.0,77.0,5e-05,3e-05,0.00596
1.0,79.0,5e-05,2e-05,0.00617
1.0,81.0,6e-05,3e-05,0.00303
1.0,83.0,5e-05,2e-05,0.0039
1.0,85.0,5e-05,2e-05,0.0059
1.0,87.0,6e-05,3e-05,0.00786
1.0,89.0,5e-05,3e-05,0.00407
1.0,91.0,5e-05,2e-05,0.00803
1.0,93.0,5e-05,2e-05,0.00723
1.0,95.0,5e-05,2e-05,0.00601
1.0,97.0,5e-05,2e-05,0.00525
1.0,99.0,5e-05,2e-05,0.00577
1.0,101.0,5e-05,3e-05,0.00438
1.0,103.0,5e-05,2e-05,0.00553
1.0,105.0,6e-05,3e-05,0.00609
1.0,107.0,5e-05,3e-05,0.00549
1.0,109.0,6e-05,4e-05,0.00487
1.0,111.0,6e-05,2e-05,0.00736
1.0,113.0,5e-05,2e-05,0.00491
1.0,115.0,5e-05,2e-05,0.00472
1.0,117.0,5e-05,2e-05,0.00334
1.0,119.0,6e-05,4e-05,0.0061
1.0,121.0,5e-05,2e-05,0.00581
1.0,123.0,5e-05,2e-05,0.00636
1.0,125.0,5e-05,3e-05,0.00446
1.0,127.0,5e-05,2e-05,0.00825
1.0,129.0,6e-05,2e-05,0.00568
1.0,131.0,5e-05,2e-05,0.00573
1.0,133.0,5e-05,2e-05,0.00578
2.0,13.0,3e-05,2e-05,0.00181
2.0,16.0,3e-05,2e-05,0.00141
2.0,20.0,3e-05,2e-05,0.002
2.0,50.0,3e-05,2e-05,0.00205
2.0,60.0,3e-05,2e-05,
2.0,68.0,3e-05,2e-05,
2.0,70.0,3e-05,2e-05,0.00249
2.0,90.0,3e-05,2e-05,0.00197
2.0,100.0,3e-05,2e-05,0.00353
2.0,105.0,3e-05,2e-05,0.00336
2.0,110.0,3e-05,2e-05,0.00258
2.0,122.0,3e-05,2e-05,0.00317
2.0,130.0,3e-05,2e-05,0.00308
2.0,150.0,3e-05,2e-05,0.00222
,,,,
2.0,164.0,3e-05,2e-05,0.00239
2.0,170.0,3e-05,2e-05,0.00236
2.0,180.0,3e-05,2e-05,0.00228
2.0,185.0,3e-05,2e-05,0.00156
2.0,188.0,3e-05,2e-05,0.00237
2.0,195.0,3e-05,2e-05,0.00308
2.0,198.0,3e-05,2e-05,0.00237
2.0,220.0,3e-05,2e-05,0.00415
2.0,230.0,4e-05,2e-05,0.00232
2.0,240.0,3e-05,2e-05,0.00279
2.0,261.0,3e-05,2e-05,0.00237
2.0,275.0,3e-05,2e-05,0.00384
2.0,282.0,,2e-05,
2.0,290.0,3e-05,2e-05,0.00365
4.0,1.0,3e-05,2e-05,0.00309
4.0,3.0,3e-05,2e-05,0.00433
4.0,5.0,3e-05,2e-05,0.00244
4.0,7.0,3e-05,2e-05,0.00672
4.0,9.0,3e-05,2e-05,0.0035
4.0,11.0,3e-05,2e-05,0.00287
4.0,12.0,3e-05,2e-05,0.00523
4.0,13.0,3e-05,2e-05,0.00303
4.0,15.0,3e-05,2e-05,0.0073
4.0,17.0,3e-05,2e-05,0.00345
4.0,19.0,3e-05,2e-05,0.00413
4.0,21.0,3e-05,2e-05,0.00289
4.0,23.0,3e-05,2e-05,0.00336
4.0,25.0,3e-05,2e-05,0.00477
4.0,27.0,3e-05,2e-05,0.00377
5.0,1.0,3e-05,3e-05,0.00764
5.0,3.0,3e-05,3e-05,0.00532
5.0,5.0,3e-05,3e-05,0.00636
5.0,7.0,3e-05,3e-05,0.00321
5.0,9.0,3e-05,3e-05,0.00733
5.0,11.0,3e-05,3e-05,0.00638
5.0,13.0,3e-05,3e-05,0.00455
5.0,15.0,3e-05,3e-05,0.00594
5.0,17.0,3e-05,3e-05,0.00578
5.0,19.0,3e-05,4e-05,0.00772
5.0,21.0,3e-05,3e-05,0.0071
5.0,23.0,3e-05,3e-05,0.00614
5.0,25.0,3e-05,3e-05,0.00545
5.0,27.0,3e-05,3e-05,0.00691
5.0,29.0,3e-05,3e-05,0.00689
5.0,31.0,3e-05,3e-05,0.00464
