State ANSI,County ANSI,Deaths_1,Deaths_1-4,Deaths_10-14,Deaths_15-19,Deaths_20-24,Deaths_25-34,Deaths_35-44,Deaths_45-54,Deaths_5-9,Deaths_55-64,Deaths_65-74,Deaths_75-84,Deaths_85+,Population_1,Population_1-4,Population_10-14,Population_15-19,Population_20-24,Population_25-34,Population_35-44,Population_45-54,Population_5-9,Population_55-64,Population_65-74,Population_75-84,Population_85+,Percent Deaths_0-5,Percent Deaths_5-25,Percent Deaths_25+
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,21.0,23.0,48.0,52.0,627.0,2564.0,4044.0,3886.0,3294.0,7026.0,7377.0,7916.0,3669.0,6851.0,4795.0,2640.0,727.0,,,
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0,0.0,75.0,129.0,158.0,230.0,2289.0,9371.0,13175.0,12466.0,11105.0,23795.0,25214.0,28212.0,12426.0,29406.0,24883.0,12105.0,4116.0,,,
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,23.0,18.0,26.0,248.0,1104.0,1553.0,1459.0,1664.0,3694.0,3220.0,3442.0,1611.0,3292.0,2828.0,1387.0,463.0,,,
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,15.0,20.0,262.0,1012.0,1296.0,1314.0,1382.0,3387.0,3062.0,3367.0,1256.0,2811.0,2087.0,1085.0,322.0,,,
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0,62.0,66.0,662.0,2691.0,3813.0,3703.0,3231.0,6748.0,7178.0,8012.0,3737.0,7550.0,6251.0,3159.0,969.0,,,
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,114.0,488.0,578.0,575.0,658.0,1517.0,1332.0,1356.0,673.0,1387.0,964.0,523.0,197.0,,,
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,28.0,32.0,235.0,960.0,1296.0,1286.0,1174.0,2325.0,2322.0,2412.0,1368.0,2816.0,2101.0,1137.0,566.0,,,
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,46.0,0.0,85.0,81.0,139.0,145.0,1232.0,5188.0,7136.0,7656.0,7355.0,15166.0,13775.0,14963.0,6846.0,15947.0,11520.0,5734.0,2093.0,,,
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,39.0,48.0,417.0,1631.0,1902.0,1964.0,2134.0,4048.0,3872.0,4593.0,1953.0,4874.0,3802.0,1914.0,739.0,,,
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,27.0,27.0,24.0,209.0,976.0,1459.0,1555.0,1316.0,2607.0,2909.0,3647.0,1396.0,3987.0,3551.0,1663.0,450.0,,,
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,26.0,45.0,50.0,43.0,532.0,2253.0,2984.0,2718.0,2594.0,5399.0,5637.0,5878.0,2980.0,5911.0,4277.0,2069.0,709.0,,,
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,18.0,20.0,139.0,526.0,786.0,789.0,719.0,1305.0,1449.0,1790.0,678.0,1977.0,1646.0,874.0,315.0,,,
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,30.0,41.0,296.0,1102.0,1539.0,1641.0,1578.0,2568.0,2914.0,3350.0,1355.0,3408.0,2601.0,1508.0,532.0,,,
1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,18.0,15.0,136.0,589.0,754.0,888.0,773.0,1459.0,1567.0,1910.0,750.0,1878.0,1621.0,869.0,298.0,,,
1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,17.0,19.0,168.0,715.0,999.0,931.0,793.0,1696.0,1779.0,2057.0,932.0,2046.0,1663.0,827.0,318.0,,,
1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,27.0,30.0,65.0,35.0,601.0,2531.0,3424.0,3407.0,3012.0,6473.0,6704.0,6868.0,3377.0,6420.0,4953.0,2563.0,893.0,,,
1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,25.0,44.0,61.0,64.0,578.0,2452.0,3122.0,3251.0,3066.0,6669.0,6325.0,7491.0,3244.0,7600.0,5926.0,3246.0,1246.0,,,
1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,22.0,113.0,560.0,743.0,740.0,740.0,1309.0,1342.0,1590.0,725.0,1872.0,1545.0,818.0,298.0,,,
1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,91.0,395.0,529.0,566.0,591.0,1070.0,1188.0,1665.0,485.0,1892.0,1338.0,580.0,191.0,,,
1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,23.0,35.0,41.0,51.0,439.0,1737.0,2355.0,2181.0,1982.0,4368.0,4219.0,4865.0,2269.0,5416.0,4240.0,2415.0,972.0,,,
1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,17.0,145.0,651.0,925.0,849.0,807.0,1600.0,1632.0,1846.0,922.0,1949.0,1549.0,723.0,315.0,,,
1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,36.0,63.0,95.0,101.0,1004.0,3976.0,5195.0,4980.0,4589.0,10423.0,10054.0,11020.0,5112.0,11074.0,8935.0,4664.0,1445.0,,,
1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.0,35.0,40.0,56.0,628.0,2645.0,3037.0,3045.0,3255.0,7045.0,5893.0,6175.0,3119.0,6425.0,4615.0,2498.0,846.0,,,
1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,39.0,36.0,46.0,61.0,464.0,1987.0,2751.0,2913.0,2596.0,4686.0,4446.0,4909.0,2810.0,5713.0,3998.0,1985.0,750.0,,,
1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,34.0,48.0,68.0,81.0,792.0,3448.0,4996.0,4730.0,4176.0,8482.0,9062.0,9548.0,4942.0,9086.0,7110.0,3393.0,1135.0,,,
1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,30.0,40.0,58.0,79.0,968.0,3874.0,5327.0,5123.0,5306.0,11379.0,10919.0,11394.0,4981.0,10416.0,7459.0,3462.0,1191.0,,,
1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0,26.0,56.0,37.0,437.0,1784.0,2358.0,2249.0,2276.0,5046.0,4893.0,4969.0,2346.0,4885.0,3788.0,2038.0,659.0,,,
1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,43.0,0.0,53.0,93.0,97.0,154.0,1135.0,4586.0,6287.0,6536.0,6176.0,12269.0,12684.0,13944.0,6092.0,14239.0,11163.0,5474.0,1979.0,,,
1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,20.0,170.0,748.0,986.0,1027.0,969.0,1828.0,1838.0,2245.0,952.0,2370.0,1977.0,1106.0,330.0,,,
1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,16.0,24.0,38.0,25.0,358.0,1683.0,2192.0,2047.0,1931.0,3972.0,4090.0,4176.0,2134.0,3886.0,2983.0,1668.0,508.0,,,
1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,35.0,28.0,37.0,282.0,1197.0,1738.0,1555.0,1382.0,3003.0,3088.0,3679.0,1624.0,3788.0,3078.0,1645.0,555.0,,,
1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,99.0,399.0,543.0,518.0,529.0,962.0,842.0,989.0,547.0,1355.0,928.0,464.0,247.0,,,
1.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,15.0,11.0,224.0,820.0,928.0,1012.0,961.0,1689.0,1646.0,1836.0,924.0,2143.0,1590.0,820.0,359.0,,,
1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,25.0,166.0,703.0,1071.0,1029.0,891.0,1817.0,2084.0,2230.0,959.0,2452.0,2354.0,1000.0,408.0,,,
1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,23.0,0.0,51.0,77.0,103.0,141.0,1270.0,5015.0,7008.0,6575.0,5933.0,13647.0,12919.0,13801.0,6658.0,13716.0,10265.0,5308.0,1941.0,,,
1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,41.0,51.0,65.0,65.0,514.0,2188.0,3221.0,3194.0,2836.0,5828.0,6468.0,7102.0,2975.0,7691.0,6123.0,3064.0,934.0,,,
1.0,73.0,0.0,0.0,0.0,0.0,0.0,11.0,63.0,114.0,0.0,305.0,368.0,431.0,719.0,8758.0,34222.0,40965.0,41289.0,42464.0,95223.0,83192.0,83571.0,42703.0,87792.0,57200.0,28349.0,13793.0,,,
1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,13.0,16.0,135.0,561.0,883.0,864.0,663.0,1526.0,1623.0,1858.0,820.0,2028.0,1654.0,1003.0,300.0,,,
1.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,50.0,76.0,95.0,125.0,936.0,3785.0,5373.0,6196.0,7773.0,10855.0,10087.0,11959.0,5008.0,12722.0,10055.0,5553.0,2016.0,,,
1.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,19.0,24.0,41.0,39.0,376.0,1529.0,2046.0,1941.0,1949.0,3998.0,3822.0,4998.0,2014.0,4702.0,3659.0,1704.0,506.0,,,
1.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,34.0,58.0,61.0,96.0,1906.0,7336.0,9509.0,13513.0,22400.0,23078.0,19030.0,18767.0,9461.0,16496.0,10972.0,4779.0,1744.0,,,
1.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,42.0,53.0,57.0,65.0,1015.0,4195.0,6149.0,6032.0,5064.0,12129.0,12584.0,14020.0,6003.0,12067.0,8278.0,3940.0,1277.0,,,
1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,11.0,119.0,502.0,638.0,632.0,599.0,1273.0,1104.0,1401.0,678.0,1459.0,1149.0,604.0,200.0,,,
1.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.0,19.0,29.0,181.0,691.0,875.0,1734.0,2364.0,2097.0,1771.0,2220.0,917.0,2671.0,2063.0,991.0,388.0,,,
1.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,73.0,0.0,136.0,189.0,253.0,306.0,4215.0,16613.0,22260.0,23947.0,24267.0,49712.0,43028.0,51931.0,21685.0,47962.0,29383.0,16171.0,5793.0,,,
1.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,30.0,24.0,28.0,228.0,927.0,1238.0,1234.0,1209.0,2184.0,2227.0,2515.0,1268.0,2746.0,2153.0,1188.0,556.0,,,
1.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,20.0,34.0,31.0,53.0,293.0,1311.0,1807.0,1848.0,1623.0,3338.0,3493.0,4306.0,1685.0,4107.0,3521.0,1994.0,672.0,,,
1.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,50.0,90.0,109.0,90.0,1268.0,5080.0,6654.0,6100.0,5603.0,11740.0,11402.0,12599.0,6513.0,12139.0,9529.0,4983.0,1547.0,,,
1.0,97.0,0.0,0.0,0.0,0.0,0.0,11.0,36.0,95.0,0.0,209.0,286.0,332.0,490.0,5559.0,21600.0,26799.0,27391.0,28091.0,57615.0,49311.0,52716.0,27257.0,54861.0,38065.0,18561.0,7010.0,,,
1.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,35.0,229.0,926.0,1435.0,1502.0,1336.0,2251.0,2483.0,2871.0,1323.0,3176.0,2303.0,1186.0,509.0,,,
1.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,36.0,0.0,94.0,133.0,150.0,221.0,3152.0,12160.0,13954.0,14671.0,16794.0,33190.0,28877.0,28360.0,14641.0,28797.0,18586.0,9310.0,3857.0,,,
1.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,64.0,91.0,128.0,128.0,1324.0,5512.0,7826.0,7502.0,6900.0,14660.0,14778.0,16781.0,7676.0,16122.0,11722.0,6124.0,2085.0,,,
1.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,105.0,404.0,605.0,928.0,869.0,1001.0,1011.0,1017.0,588.0,1267.0,984.0,559.0,236.0,,,
1.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,14.0,25.0,213.0,849.0,1126.0,1243.0,1273.0,2723.0,2352.0,2890.0,1091.0,2874.0,2106.0,1166.0,418.0,,,
1.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,25.0,17.0,21.0,390.0,1459.0,1640.0,3090.0,5724.0,3961.0,3299.0,3423.0,1757.0,3601.0,2910.0,1484.0,548.0,,,
1.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0,34.0,30.0,292.0,1054.0,1396.0,1573.0,1298.0,2339.0,2545.0,3080.0,1267.0,3240.0,2638.0,1444.0,486.0,,,
1.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,26.0,45.0,35.0,60.0,856.0,3494.0,3716.0,3506.0,3815.0,8804.0,7371.0,7499.0,4166.0,7246.0,4587.0,2266.0,846.0,,,
1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,46.0,64.0,87.0,67.0,977.0,4298.0,5673.0,5191.0,4614.0,11759.0,11489.0,12396.0,5651.0,11695.0,8911.0,4188.0,1177.0,,,
1.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,0.0,57.0,102.0,138.0,148.0,2396.0,10048.0,14794.0,14490.0,12025.0,26279.0,29681.0,30303.0,13962.0,27157.0,18362.0,7974.0,3151.0,,,
1.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,13.0,160.0,590.0,679.0,1107.0,1899.0,1233.0,1151.0,1455.0,665.0,1855.0,1205.0,670.0,371.0,,,
1.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,45.0,71.0,82.0,89.0,835.0,3430.0,5054.0,5046.0,4882.0,10089.0,9779.0,11129.0,4817.0,11418.0,8305.0,3977.0,1342.0,,,
1.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,49.0,69.0,442.0,1842.0,2343.0,2375.0,2319.0,4496.0,4398.0,5496.0,2382.0,6190.0,5097.0,2538.0,809.0,,,
1.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,34.0,0.0,80.0,110.0,138.0,185.0,2510.0,9898.0,11611.0,17723.0,25099.0,30586.0,24398.0,23179.0,11905.0,23721.0,15466.0,7033.0,2973.0,,,
1.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,47.0,0.0,65.0,82.0,72.0,93.0,791.0,3146.0,3946.0,3963.0,3677.0,7537.0,7626.0,8840.0,3954.0,9141.0,7339.0,3907.0,1100.0,,,
1.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,19.0,188.0,717.0,1162.0,1226.0,1035.0,1838.0,1907.0,2371.0,954.0,2370.0,1792.0,914.0,282.0,,,
1.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,12.0,138.0,568.0,769.0,875.0,711.0,1146.0,1212.0,1344.0,643.0,1515.0,1202.0,632.0,231.0,,,
1.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,31.0,28.0,238.0,1000.0,1406.0,1456.0,1217.0,2522.0,2739.0,3476.0,1336.0,3426.0,2966.0,1509.0,514.0,,,
2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,66.0,76.0,103.0,294.0,531.0,662.0,745.0,92.0,485.0,145.0,58.0,25.0,,,
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,123.0,185.0,210.0,423.0,996.0,1058.0,1191.0,187.0,888.0,291.0,44.0,18.0,,,
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.0,0.0,81.0,82.0,84.0,77.0,4452.0,17206.0,19684.0,18930.0,24178.0,52263.0,37753.0,37745.0,20688.0,35822.0,19610.0,7052.0,2809.0,,,
2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,1591.0,1655.0,1567.0,1326.0,2785.0,1844.0,1937.0,1805.0,1771.0,855.0,335.0,82.0,,,
2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,39.0,44.0,53.0,75.0,129.0,106.0,137.0,41.0,164.0,62.0,31.0,0.0,,,
2.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,77.0,98.0,99.0,98.0,309.0,300.0,345.0,103.0,339.0,118.0,42.0,0.0,,,
2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,388.0,373.0,390.0,385.0,751.0,483.0,583.0,461.0,612.0,271.0,122.0,38.0,,,
2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,23.0,32.0,1635.0,6189.0,6077.0,6269.0,11311.0,18925.0,12198.0,10856.0,7061.0,11200.0,6211.0,1996.0,677.0,,,
2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,78.0,160.0,123.0,110.0,269.0,251.0,383.0,118.0,510.0,340.0,100.0,39.0,,,
2.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,79.0,123.0,102.0,84.0,216.0,204.0,323.0,125.0,434.0,247.0,99.0,24.0,,,
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,13.0,14.0,379.0,1560.0,1927.0,2048.0,2100.0,5059.0,4203.0,4636.0,2032.0,4723.0,2629.0,828.0,344.0,,,
2.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,21.0,40.0,701.0,2917.0,3717.0,3588.0,3366.0,7460.0,6711.0,7581.0,3755.0,9588.0,6226.0,2226.0,670.0,,,
