STATEFP,COUNTYFP,county_state,Total employment (number of jobs),    Local government,    State government,   Accommodation and food services,   Administrative and support and waste management and remediation services,"   Arts, entertainment, and recreation",   Construction,   Educational services,   Federal civilian,   Finance and insurance,"   Forestry, fishing, and related activities",   Health care and social assistance,   Information,   Management of companies and enterprises,   Manufacturing,   Military,"   Mining, quarrying, and oil and gas extraction",   Other services (except government and government enterprises),"   Professional, scientific, and technical services",   Real estate and rental and leasing,   Retail trade,   State and local,   Transportation and warehousing,   Utilities,   Wholesale trade,  Farm proprietors employment,  Government and government enterprises,  Nonfarm proprietors employment 2/,  Private nonfarm employment, Farm employment, Nonfarm employment, Proprietors employment, Wage and salary employment
1,1,autauga_alabama,18493.0,10.42,1.28,7.69,5.18,2.66,6.37,2.59,0.45,3.2,0.81,9.06,0.48,,9.17,1.47,0.54,9.45,,5.13,12.36,11.7,2.12,0.59,2.23,1.7,13.61,30.19,84.24,2.15,97.85,31.89,68.11
1,3,baldwin_alabama,119535.0,6.92,1.12,12.54,6.44,2.83,7.17,2.2,0.31,4.21,0.64,9.36,0.72,0.39,4.14,0.81,0.34,6.75,4.76,8.2,14.13,8.04,2.44,0.28,2.4,0.63,9.15,29.26,89.94,0.91,99.09,29.89,70.11
1,5,barbour_alabama,11684.0,8.49,5.28,6.79,4.78,0.92,3.47,,0.47,3.06,2.1,,0.23,,21.41,0.89,1.32,7.01,,2.49,9.12,13.77,4.81,,,3.76,15.13,20.12,80.34,4.53,95.47,23.88,76.12
1,7,bibb_alabama,6897.0,14.24,3.45,3.36,,0.58,15.62,1.35,0.94,2.12,,8.05,,,9.63,1.23,,,2.52,1.87,9.13,17.69,4.34,,,2.04,19.86,23.88,78.03,2.1,97.9,25.92,74.08
1,9,blount_alabama,15993.0,11.59,1.04,5.93,4.47,1.33,10.31,,0.53,2.71,,,0.79,0.38,9.51,1.51,,10.37,3.98,3.3,10.15,12.63,,,2.86,6.2,14.67,31.26,78.1,7.23,92.77,37.47,62.53
1,11,bullock_alabama,4281.0,8.34,5.77,,7.36,,,0.19,0.93,1.61,2.59,14.3,,0.0,,0.82,0.0,,1.64,1.99,6.31,14.11,,1.05,,5.33,15.86,20.42,72.51,11.63,88.37,25.74,74.26
1,13,butler_alabama,9766.0,7.94,1.04,8.19,8.61,1.31,4.64,,0.45,2.67,2.33,,0.78,0.25,15.18,0.82,0.17,5.81,3.22,1.66,10.88,8.98,5.41,0.95,1.94,3.34,10.25,19.58,85.73,4.02,95.98,22.92,77.08
1,15,calhoun_alabama,59132.0,10.83,3.7,8.75,6.79,1.03,3.96,1.21,7.06,2.64,,8.15,0.93,0.24,11.62,0.87,,6.37,3.5,2.94,11.89,14.53,2.47,0.37,3.29,0.8,22.46,17.58,76.53,1.01,98.99,18.38,81.62
1,17,chambers_alabama,12741.0,13.11,1.24,,7.57,,4.8,,0.42,2.07,2.05,,0.51,,16.91,1.08,0.01,8.25,,2.26,10.42,14.35,3.28,0.76,0.74,1.87,15.85,24.96,81.78,2.36,97.64,26.83,73.17
1,19,cherokee_alabama,8614.0,13.7,1.18,6.5,6.44,0.8,5.7,,0.56,2.84,1.94,,0.55,0.37,11.5,1.27,0.28,7.58,2.81,2.54,14.09,14.88,,,2.21,5.13,16.71,28.4,76.63,6.66,93.34,33.53,66.47
