county_state,Labor force (persons),Employed (persons),Unemployed (persons),Unemployment Rate (%)
autauga_alabama,"26,172","25,458",714,2.7
baldwin_alabama,"97,328","94,675","2,653",2.7
barbour_alabama,"8,537","8,213",324,3.8
bibb_alabama,"8,685","8,419",266,3.1
blount_alabama,"25,331","24,655",676,2.7
bullock_alabama,"4,818","4,643",175,3.6
butler_alabama,"9,263","8,925",338,3.6
calhoun_alabama,"46,209","44,574","1,635",3.5
chambers_alabama,"15,748","15,286",462,2.9
cherokee_alabama,"11,604","11,266",338,2.9
chilton_alabama,"19,818","19,280",538,2.7
choctaw_alabama,"4,670","4,452",218,4.7
clarke_alabama,"7,557","7,121",436,5.8
clay_alabama,"6,101","5,918",183,3.0
cleburne_alabama,"5,806","5,623",183,3.2
coffee_alabama,"21,402","20,779",623,2.9
colbert_alabama,"23,646","22,761",885,3.7
conecuh_alabama,"4,533","4,353",180,4.0
coosa_alabama,"4,549","4,414",135,3.0
covington_alabama,"15,653","15,119",534,3.4
crenshaw_alabama,"6,476","6,293",183,2.8
cullman_alabama,"38,646","37,648",998,2.6
dale_alabama,"20,724","20,082",642,3.1
dallas_alabama,"14,711","13,904",807,5.5
dekalb_alabama,"31,052","30,182",870,2.8
elmore_alabama,"37,565","36,586",979,2.6
escambia_alabama,"14,762","14,248",514,3.5
etowah_alabama,"42,723","41,295","1,428",3.3
fayette_alabama,"6,579","6,372",207,3.1
franklin_alabama,"14,696","14,291",405,2.8
geneva_alabama,"11,045","10,725",320,2.9
greene_alabama,"2,883","2,722",161,5.6
hale_alabama,"6,119","5,878",241,3.9
henry_alabama,"6,944","6,697",247,3.6
houston_alabama,"46,234","44,844","1,390",3.0
jackson_alabama,"23,484","22,712",772,3.3
jefferson_alabama,"318,755","309,664","9,091",2.9
lamar_alabama,"5,849","5,670",179,3.1
lauderdale_alabama,"42,548","41,160","1,388",3.3
lawrence_alabama,"14,306","13,859",447,3.1
lee_alabama,"76,580","74,500","2,080",2.7
limestone_alabama,"43,854","42,700","1,154",2.6
lowndes_alabama,"3,587","3,383",204,5.7
macon_alabama,"7,850","7,513",337,4.3
madison_alabama,"185,219","180,505","4,714",2.5
marengo_alabama,"7,694","7,423",271,3.5
marion_alabama,"12,932","12,486",446,3.4
marshall_alabama,"44,085","42,999","1,086",2.5
mobile_alabama,"189,107","182,083","7,024",3.7
monroe_alabama,"7,329","6,973",356,4.9
montgomery_alabama,"105,777","102,517","3,260",3.1
morgan_alabama,"58,271","56,771","1,500",2.6
perry_alabama,"3,413","3,235",178,5.2
pickens_alabama,"7,923","7,647",276,3.5
pike_alabama,"15,428","14,924",504,3.3
randolph_alabama,"9,639","9,347",292,3.0
russell_alabama,"23,896","23,198",698,2.9
st. clair_alabama,"40,532","39,441","1,091",2.7
shelby_alabama,"115,939","113,414","2,525",2.2
sumter_alabama,"4,854","4,635",219,4.5
talladega_alabama,"35,769","34,556","1,213",3.4
tallapoosa_alabama,"18,652","18,096",556,3.0
tuscaloosa_alabama,"104,964","102,122","2,842",2.7
walker_alabama,"25,347","24,517",830,3.3
washington_alabama,"6,800","6,487",313,4.6
wilcox_alabama,"2,739","2,544",195,7.1
winston_alabama,"10,041","9,705",336,3.3
aleutians east_alaska,"2,428","2,360",68,2.8
aleutians west_alaska,"3,606","3,477",129,3.6
anchorage/municipality_alaska,"146,949","139,526","7,423",5.1
bethel_alaska,"7,025","6,120",905,12.9
bristol bay_alaska,441,414,27,6.1
denali_alaska,"1,038",950,88,8.5
dillingham_alaska,"1,938","1,781",157,8.1
fairbanks north star_alaska,"44,652","42,248","2,404",5.4
haines_alaska,"1,111","1,012",99,8.9
hoonah-angoon_alaska,"1,160","1,028",132,11.4
juneau_alaska,"16,999","16,243",756,4.4
kenai peninsula_alaska,"26,161","24,383","1,778",6.8
ketchikan gateway_alaska,"6,884","6,456",428,6.2
kodiak island_alaska,"5,912","5,582",330,5.6
kusilvak_alaska,"2,682","2,164",518,19.3
lake and peninsula_alaska,708,638,70,9.9
matanuska-susitna_alaska,"46,901","43,661","3,240",6.9
nome_alaska,"4,036","3,596",440,10.9
north slope_alaska,"3,485","3,261",224,6.4
northwest arctic_alaska,"2,934","2,523",411,14.0
petersburg_alaska,"1,388","1,267",121,8.7
prince of wales-hyder_alaska,"2,851","2,562",289,10.1
sitka_alaska,"4,336","4,155",181,4.2
skagway municipality_alaska,822,746,76,9.2
southeast fairbanks_alaska,"2,810","2,558",252,9.0
valdez-cordova_alaska,"4,815","4,452",363,7.5
wrangell_alaska,"1,002",925,77,7.7
yakutat_alaska,246,227,19,7.7
yukon-koyukuk_alaska,"2,458","2,113",345,14.0
apache_arizona,"20,487","18,468","2,019",9.9
cochise_arizona,"50,594","47,695","2,899",5.7
coconino_arizona,"77,507","73,206","4,301",5.5
gila_arizona,"21,677","20,485","1,192",5.5
graham_arizona,"15,351","14,608",743,4.8
greenlee_arizona,"4,520","4,342",178,3.9
la paz_arizona,"9,334","8,789",545,5.8
maricopa_arizona,"2,310,503","2,217,656","92,847",4.0
mohave_arizona,"87,792","82,815","4,977",5.7
navajo_arizona,"40,979","37,973","3,006",7.3
pima_arizona,"498,695","476,620","22,075",4.4
pinal_arizona,"187,480","178,309","9,171",4.9
santa cruz_arizona,"19,636","17,963","1,673",8.5
yavapai_arizona,"106,880","102,138","4,742",4.4
yuma_arizona,"99,824","83,437","16,387",16.4
arkansas_arkansas,"9,427","9,141",286,3.0
ashley_arkansas,"7,751","7,333",418,5.4
baxter_arkansas,"16,296","15,646",650,4.0
benton_arkansas,"137,211","133,610","3,601",2.6
boone_arkansas,"16,036","15,525",511,3.2
bradley_arkansas,"4,483","4,298",185,4.1
calhoun_arkansas,"2,453","2,345",108,4.4
carroll_arkansas,"12,783","12,383",400,3.1
chicot_arkansas,"3,285","3,057",228,6.9
clark_arkansas,"9,691","9,323",368,3.8
clay_arkansas,"5,691","5,413",278,4.9
cleburne_arkansas,"9,226","8,808",418,4.5
cleveland_arkansas,"3,219","3,092",127,3.9
columbia_arkansas,"9,140","8,730",410,4.5
conway_arkansas,"8,285","7,926",359,4.3
craighead_arkansas,"55,652","54,097","1,555",2.8
crawford_arkansas,"26,922","26,028",894,3.3
crittenden_arkansas,"21,422","20,512",910,4.2
cross_arkansas,"7,411","7,097",314,4.2
dallas_arkansas,"2,840","2,706",134,4.7
desha_arkansas,"5,402","5,161",241,4.5
drew_arkansas,"7,864","7,456",408,5.2
faulkner_arkansas,"62,431","60,556","1,875",3.0
franklin_arkansas,"7,494","7,242",252,3.4
fulton_arkansas,"4,962","4,763",199,4.0
garland_arkansas,"41,346","39,809","1,537",3.7
grant_arkansas,"8,403","8,136",267,3.2
greene_arkansas,"20,065","19,366",699,3.5
hempstead_arkansas,"9,951","9,571",380,3.8
hot spring_arkansas,"14,019","13,509",510,3.6
howard_arkansas,"5,711","5,525",186,3.3
independence_arkansas,"16,527","15,868",659,4.0
izard_arkansas,"4,912","4,643",269,5.5
jackson_arkansas,"5,840","5,460",380,6.5
jefferson_arkansas,"27,740","26,220","1,520",5.5
johnson_arkansas,"10,278","9,809",469,4.6
lafayette_arkansas,"2,466","2,351",115,4.7
lawrence_arkansas,"6,817","6,533",284,4.2
lee_arkansas,"2,833","2,706",127,4.5
lincoln_arkansas,"3,950","3,777",173,4.4
little river_arkansas,"5,518","5,280",238,4.3
logan_arkansas,"8,583","8,210",373,4.3
lonoke_arkansas,"34,468","33,359","1,109",3.2
madison_arkansas,"7,427","7,238",189,2.5
marion_arkansas,"6,673","6,406",267,4.0
miller_arkansas,"19,750","18,941",809,4.1
mississippi_arkansas,"17,358","16,467",891,5.1
monroe_arkansas,"2,761","2,642",119,4.3
montgomery_arkansas,"2,970","2,832",138,4.6
nevada_arkansas,"3,662","3,517",145,4.0
newton_arkansas,"3,335","3,218",117,3.5
ouachita_arkansas,"9,838","9,330",508,5.2
perry_arkansas,"4,275","4,100",175,4.1
phillips_arkansas,"6,379","5,996",383,6.0
pike_arkansas,"4,250","4,086",164,3.9
poinsett_arkansas,"10,279","9,929",350,3.4
polk_arkansas,"8,121","7,782",339,4.2
pope_arkansas,"28,869","27,618","1,251",4.3
prairie_arkansas,"3,586","3,430",156,4.4
pulaski_arkansas,"190,248","183,776","6,472",3.4
randolph_arkansas,"7,301","7,017",284,3.9
st. francis_arkansas,"8,197","7,772",425,5.2
saline_arkansas,"59,114","57,450","1,664",2.8
scott_arkansas,"4,314","4,167",147,3.4
searcy_arkansas,"2,914","2,781",133,4.6
sebastian_arkansas,"56,698","54,834","1,864",3.3
sevier_arkansas,"5,513","5,248",265,4.8
sharp_arkansas,"5,742","5,457",285,5.0
stone_arkansas,"4,726","4,503",223,4.7
union_arkansas,"15,847","15,018",829,5.2
van buren_arkansas,"5,741","5,455",286,5.0
washington_arkansas,"124,967","121,914","3,053",2.4
white_arkansas,"33,800","32,281","1,519",4.5
woodruff_arkansas,"2,773","2,627",146,5.3
yell_arkansas,"8,417","8,081",336,4.0
alameda_california,"844,346","819,675","24,671",2.9
alpine_california,551,523,28,5.1
amador_california,"14,900","14,328",572,3.8
butte_california,"99,242","94,162","5,080",5.1
calaveras_california,"21,428","20,616",812,3.8
colusa_california,"10,993","9,586","1,407",12.8
contra costa_california,"561,757","544,496","17,261",3.1
del norte_california,"9,674","9,119",555,5.7
el dorado_california,"92,022","88,785","3,237",3.5
fresno_california,"450,760","418,092","32,668",7.2
glenn_california,"12,997","12,201",796,6.1
humboldt_california,"62,507","60,254","2,253",3.6
imperial_california,"71,411","58,331","13,080",18.3
inyo_california,"8,760","8,450",310,3.5
kern_california,"390,999","360,783","30,216",7.7
kings_california,"57,788","53,222","4,566",7.9
lake_california,"29,158","27,687","1,471",5.0
lassen_california,"9,869","9,416",453,4.6
los angeles_california,"5,121,584","4,894,296","227,288",4.4
madera_california,"61,945","57,651","4,294",6.9
marin_california,"139,979","136,786","3,193",2.3
mariposa_california,"7,612","7,262",350,4.6
mendocino_california,"38,934","37,388","1,546",4.0
merced_california,"116,226","106,866","9,360",8.1
modoc_california,"3,171","2,947",224,7.1
mono_california,"8,508","8,195",313,3.7
monterey_california,"222,516","208,717","13,799",6.2
napa_california,"74,004","71,900","2,104",2.8
nevada_california,"48,639","47,022","1,617",3.3
orange_california,"1,623,421","1,578,334","45,087",2.8
placer_california,"187,932","182,093","5,839",3.1
plumas_california,"7,903","7,296",607,7.7
