State ANSI,County ANSI,ELEMENT_GLOBAL_ID,G1,G2,G3,G4,G5,Red list index
1.0,1.0,46.0,2.0,8.0,11.0,11.0,7.0,0.4666666666666667
1.0,3.0,159.0,5.0,12.0,48.0,49.0,37.0,0.5337748344370861
1.0,5.0,42.0,1.0,12.0,7.0,8.0,14.0,0.5047619047619047
1.0,7.0,165.0,15.0,16.0,29.0,36.0,60.0,0.5410256410256411
1.0,9.0,69.0,9.0,8.0,20.0,9.0,20.0,0.4696969696969697
1.0,11.0,33.0,0.0,7.0,9.0,5.0,12.0,0.5333333333333333
1.0,13.0,38.0,1.0,5.0,9.0,14.0,9.0,0.531578947368421
1.0,15.0,70.0,5.0,13.0,12.0,6.0,30.0,0.5303030303030303
1.0,17.0,18.0,0.0,3.0,4.0,7.0,3.0,0.5176470588235293
1.0,19.0,70.0,10.0,16.0,16.0,10.0,12.0,0.39375000000000004
1.0,21.0,32.0,1.0,5.0,9.0,4.0,8.0,0.49629629629629635
1.0,23.0,23.0,1.0,0.0,6.0,7.0,9.0,0.6
1.0,25.0,35.0,3.0,3.0,11.0,8.0,10.0,0.5085714285714286
1.0,27.0,32.0,2.0,3.0,9.0,7.0,10.0,0.5290322580645161
1.0,29.0,60.0,3.0,8.0,11.0,7.0,31.0,0.5833333333333333
1.0,31.0,24.0,1.0,8.0,4.0,2.0,9.0,0.4833333333333333
1.0,33.0,143.0,20.0,19.0,28.0,31.0,37.0,0.4681481481481482
1.0,35.0,51.0,2.0,6.0,17.0,12.0,14.0,0.5176470588235293
1.0,37.0,24.0,2.0,4.0,3.0,5.0,8.0,0.5181818181818182
1.0,39.0,132.0,0.0,18.0,40.0,41.0,26.0,0.52
1.0,41.0,21.0,1.0,4.0,4.0,5.0,6.0,0.51
1.0,43.0,12.0,1.0,1.0,2.0,3.0,4.0,0.5454545454545454
1.0,45.0,36.0,1.0,8.0,8.0,9.0,9.0,0.4971428571428571
1.0,47.0,79.0,4.0,7.0,17.0,22.0,25.0,0.552
1.0,49.0,79.0,4.0,18.0,15.0,16.0,21.0,0.4864864864864865
1.0,51.0,33.0,3.0,4.0,7.0,8.0,10.0,0.5125
1.0,53.0,85.0,2.0,7.0,31.0,23.0,18.0,0.5185185185185186
1.0,55.0,50.0,7.0,8.0,10.0,7.0,13.0,0.4488888888888889
1.0,57.0,18.0,2.0,2.0,1.0,6.0,7.0,0.5555555555555556
1.0,59.0,86.0,4.0,12.0,15.0,22.0,27.0,0.54
