State ANSI,County ANSI,count_property,count_fema_sfha,pct_fema_sfha,count_fs_risk_2020_5,pct_fs_risk_2020_5,count_fs_risk_2050_5,pct_fs_risk_2050_5,count_fs_risk_2020_100,pct_fs_risk_2020_100,count_fs_risk_2050_100,pct_fs_risk_2050_100,count_fs_risk_2020_500,pct_fs_risk_2020_500,count_fs_risk_2050_500,pct_fs_risk_2050_500,count_fs_fema_difference_2020,pct_fs_fema_difference_2020,avg_risk_score_all,avg_risk_score_2_10,avg_risk_fsf_2020_100,avg_risk_fsf_2020_500,avg_risk_score_sfha,avg_risk_score_no_sfha,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
1.0,1.0,29676.0,1654.0,5.6,730.0,2.5,783.0,2.6,2534.0,8.5,2667.0,9.0,3318.0,11.2,3439.0,11.6,880.0,3.0,1.63,6.46,7.46,6.63,4.85,1.44,26234.0,138.0,303.0,325.0,207.0,944.0,497.0,110.0,477.0,441.0
1.0,3.0,138266.0,19496.0,14.1,5900.0,4.3,10708.0,7.7,24137.0,17.5,27024.0,19.5,29453.0,21.3,33082.0,23.9,4641.0,3.4,2.31,6.48,7.55,6.96,6.93,1.55,105173.0,1843.0,2909.0,2294.0,2622.0,9384.0,2602.0,1011.0,7101.0,3327.0
1.0,5.0,23155.0,924.0,4.0,608.0,2.6,665.0,2.9,1565.0,6.8,1643.0,7.1,1842.0,8.0,1985.0,8.6,641.0,2.8,1.51,6.91,7.89,7.29,4.22,1.39,21170.0,148.0,104.0,106.0,97.0,394.0,336.0,64.0,388.0,348.0
1.0,7.0,14970.0,916.0,6.1,759.0,5.1,795.0,5.3,1365.0,9.1,1402.0,9.4,1562.0,10.4,1601.0,10.7,449.0,3.0,1.71,7.6,8.3,7.74,4.33,1.53,13369.0,41.0,79.0,91.0,64.0,235.0,219.0,47.0,402.0,423.0
1.0,9.0,41304.0,930.0,2.3,2274.0,5.5,2395.0,5.8,4127.0,10.0,4266.0,10.3,4716.0,11.4,4858.0,11.8,3197.0,7.7,1.79,7.7,8.43,7.88,6.67,1.68,36438.0,150.0,230.0,233.0,199.0,679.0,585.0,175.0,1176.0,1439.0
1.0,11.0,9312.0,754.0,8.1,310.0,3.3,336.0,3.6,637.0,6.8,675.0,7.2,737.0,7.9,762.0,8.2,-117.0,-1.3,1.51,7.28,7.98,7.45,3.0,1.38,8550.0,28.0,32.0,40.0,56.0,112.0,115.0,51.0,213.0,115.0
1.0,13.0,18884.0,770.0,4.1,729.0,3.9,750.0,4.0,1520.0,8.0,1559.0,8.3,1693.0,9.0,1754.0,9.3,750.0,4.0,1.6,7.42,8.04,7.61,4.05,1.49,17129.0,62.0,66.0,83.0,104.0,275.0,270.0,96.0,457.0,342.0
1.0,15.0,72237.0,4307.0,6.0,3805.0,5.3,4216.0,5.8,11142.0,15.4,11694.0,16.2,13169.0,18.2,13634.0,18.9,6835.0,9.5,2.13,6.99,7.75,7.17,6.56,1.85,58584.0,502.0,662.0,916.0,774.0,2833.0,2495.0,605.0,3040.0,1826.0
1.0,17.0,24214.0,814.0,3.4,421.0,1.7,461.0,1.9,1180.0,4.9,1261.0,5.2,1571.0,6.5,1647.0,6.8,366.0,1.5,1.39,6.69,7.87,6.91,4.5,1.28,22566.0,85.0,111.0,189.0,93.0,314.0,254.0,45.0,292.0,265.0
1.0,19.0,32541.0,6594.0,20.3,2890.0,8.9,2966.0,9.1,7999.0,24.6,8036.0,24.7,9340.0,28.7,9372.0,28.8,1405.0,4.3,2.76,7.08,7.72,7.13,6.44,1.83,23119.0,185.0,546.0,705.0,453.0,2352.0,1232.0,363.0,1875.0,1711.0
