GeoType ,GDP 2015 ,GDP 2016,GDP 2017,GDP 2018,Percent change from preceding year 2016,Percent change from preceding year 2017,Percent change from preceding year 2018
autauga_alabama,"1,518,409","1,526,310","1,422,078","1,483,414",0.5,-6.8,4.3
baldwin_alabama,"5,345,363","5,496,105","5,525,882","5,774,289",2.8,0.5,4.5
barbour_alabama,"756,590","742,810","745,625","787,425",-1.8,0.4,5.6
bibb_alabama,"358,372","357,831","353,859","364,197",-0.2,-1.1,2.9
blount_alabama,"824,934","783,480","813,934","849,114",-5.0,3.9,4.3
bullock_alabama,"224,849","246,072","233,531","244,183",9.4,-5.1,4.6
butler_alabama,"570,113","554,471","554,848","570,686",-2.7,0.1,2.9
calhoun_alabama,"3,810,823","3,862,408","3,861,148","3,950,436",1.4,0.0,2.3
chambers_alabama,"1,793,988","1,953,597","1,938,158","1,941,217",8.9,-0.8,0.2
cherokee_alabama,"484,118","457,675","461,223","498,013",-5.5,0.8,8.0
chilton_alabama,"799,902","798,726","806,179","837,887",-0.1,0.9,3.9
choctaw_alabama,"531,136","526,604","505,034","547,773",-0.9,-4.1,8.5
clarke_alabama,"806,072","793,755","771,341","784,519",-1.5,-2.8,1.7
clay_alabama,"320,213","315,873","323,580","339,246",-1.4,2.4,4.8
cleburne_alabama,"304,126","295,526","284,999","294,019",-2.8,-3.6,3.2
coffee_alabama,"1,349,456","1,375,548","1,410,365","1,470,262",1.9,2.5,4.2
colbert_alabama,"2,814,138","2,778,239","2,708,633","2,755,838",-1.3,-2.5,1.7
conecuh_alabama,"466,177","464,317","456,696","449,646",-0.4,-1.6,-1.5
coosa_alabama,"164,838","168,598","167,226","177,103",2.3,-0.8,5.9
covington_alabama,"1,126,948","1,120,631","1,134,066","1,146,899",-0.6,1.2,1.1
crenshaw_alabama,"427,983","403,588","403,510","408,219",-5.7,0.0,1.2
cullman_alabama,"2,479,048","2,473,561","2,491,025","2,548,547",-0.2,0.7,2.3
dale_alabama,"2,405,727","2,423,899","2,459,148","2,505,314",0.8,1.5,1.9
dallas_alabama,"1,186,330","1,196,803","1,156,152","1,174,931",0.9,-3.4,1.6
dekalb_alabama,"1,728,455","1,621,227","1,688,189","1,768,414",-6.2,4.1,4.8
elmore_alabama,"1,614,849","1,639,742","1,653,310","1,694,188",1.5,0.8,2.5
escambia_alabama,"1,152,718","1,162,771","1,163,160","1,172,006",0.9,0.0,0.8
etowah_alabama,"2,741,934","2,742,949","2,746,645","2,803,470",0.0,0.1,2.1
fayette_alabama,"334,480","325,660","327,225","331,837",-2.6,0.5,1.4
franklin_alabama,"829,741","802,754","849,068","886,031",-3.3,5.8,4.4
geneva_alabama,"505,054","513,876","496,140","519,624",1.7,-3.5,4.7
greene_alabama,"255,456","245,437","225,323","235,854",-3.9,-8.2,4.7
