STATEFP,COUNTYFP,county_State
1,1,autauga_alabama
1,3,baldwin_alabama
1,5,barbour_alabama
1,7,bibb_alabama
1,9,blount_alabama
1,11,bullock_alabama
1,13,butler_alabama
1,15,calhoun_alabama
1,17,chambers_alabama
1,19,cherokee_alabama
1,21,chilton_alabama
1,23,choctaw_alabama
1,25,clarke_alabama
1,27,clay_alabama
1,29,cleburne_alabama
1,31,coffee_alabama
1,33,colbert_alabama
1,35,conecuh_alabama
1,37,coosa_alabama
1,39,covington_alabama
1,41,crenshaw_alabama
1,43,cullman_alabama
1,45,dale_alabama
1,47,dallas_alabama
1,49,dekalb_alabama
1,51,elmore_alabama
1,53,escambia_alabama
1,55,etowah_alabama
1,57,fayette_alabama
1,59,franklin_alabama
1,61,geneva_alabama
1,63,greene_alabama
1,65,hale_alabama
1,67,henry_alabama
1,69,houston_alabama
1,71,jackson_alabama
1,73,jefferson_alabama
1,75,lamar_alabama
1,77,lauderdale_alabama
1,79,lawrence_alabama
1,81,lee_alabama
1,83,limestone_alabama
1,85,lowndes_alabama
1,87,macon_alabama
1,89,madison_alabama
1,91,marengo_alabama
1,93,marion_alabama
1,95,marshall_alabama
1,97,mobile_alabama
1,99,monroe_alabama
1,101,montgomery_alabama
1,103,morgan_alabama
1,105,perry_alabama
1,107,pickens_alabama
1,109,pike_alabama
1,111,randolph_alabama
1,113,russell_alabama
1,115,st. clair_alabama
1,117,shelby_alabama
1,119,sumter_alabama
1,121,talladega_alabama
1,123,tallapoosa_alabama
1,125,tuscaloosa_alabama
1,127,walker_alabama
1,129,washington_alabama
1,131,wilcox_alabama
1,133,winston_alabama
2,13,aleutians east_alaska
2,16,aleutians west_alaska
2,20,anchorage_alaska
2,50,bethel_alaska
2,60,bristol bay_alaska
2,68,denali_alaska
2,70,dillingham_alaska
2,90,fairbanks north star_alaska
2,100,haines_alaska
2,105,hoonah-angoon_alaska
2,110,juneau_alaska
2,122,kenai peninsula_alaska
2,130,ketchikan gateway_alaska
2,150,kodiak island_alaska
2,158,kusilvak_alaska
2,164,lake and peninsula_alaska
2,170,matanuska-susitna_alaska
2,180,nome_alaska
2,185,north slope_alaska
2,188,northwest arctic_alaska
2,195,petersburg_alaska
2,198,prince of wales-hyder_alaska
2,220,sitka_alaska
2,230,skagway_alaska
2,240,southeast fairbanks_alaska
2,261,valdez-cordova_alaska
2,275,wrangell_alaska
2,282,yakutat_alaska
2,290,yukon-koyukuk_alaska
4,1,apache_arizona
4,3,cochise_arizona
4,5,coconino_arizona
4,7,gila_arizona
4,9,graham_arizona
4,11,greenlee_arizona
4,12,la paz_arizona
4,13,maricopa_arizona
4,15,mohave_arizona
4,17,navajo_arizona
4,19,pima_arizona
4,21,pinal_arizona
4,23,santa cruz_arizona
4,25,yavapai_arizona
4,27,yuma_arizona
5,1,arkansas_arkansas
5,3,ashley_arkansas
5,5,baxter_arkansas
5,7,benton_arkansas
5,9,boone_arkansas
5,11,bradley_arkansas
5,13,calhoun_arkansas
5,15,carroll_arkansas
5,17,chicot_arkansas
5,19,clark_arkansas
5,21,clay_arkansas
5,23,cleburne_arkansas
5,25,cleveland_arkansas
5,27,columbia_arkansas
5,29,conway_arkansas
5,31,craighead_arkansas
5,33,crawford_arkansas
5,35,crittenden_arkansas
5,37,cross_arkansas
5,39,dallas_arkansas
5,41,desha_arkansas
5,43,drew_arkansas
5,45,faulkner_arkansas
5,47,franklin_arkansas
5,49,fulton_arkansas
5,51,garland_arkansas
5,53,grant_arkansas
5,55,greene_arkansas
5,57,hempstead_arkansas
5,59,hot spring_arkansas
5,61,howard_arkansas
5,63,independence_arkansas
5,65,izard_arkansas
5,67,jackson_arkansas
5,69,jefferson_arkansas
5,71,johnson_arkansas
5,73,lafayette_arkansas
5,75,lawrence_arkansas
5,77,lee_arkansas
5,79,lincoln_arkansas
5,81,little river_arkansas
5,83,logan_arkansas
5,85,lonoke_arkansas
5,87,madison_arkansas
5,89,marion_arkansas
5,91,miller_arkansas
5,93,mississippi_arkansas
5,95,monroe_arkansas
5,97,montgomery_arkansas
5,99,nevada_arkansas
5,101,newton_arkansas
5,103,ouachita_arkansas
5,105,perry_arkansas
5,107,phillips_arkansas
5,109,pike_arkansas
5,111,poinsett_arkansas
5,113,polk_arkansas
5,115,pope_arkansas
5,117,prairie_arkansas
5,119,pulaski_arkansas
5,121,randolph_arkansas
5,123,st. francis_arkansas
5,125,saline_arkansas
5,127,scott_arkansas
5,129,searcy_arkansas
5,131,sebastian_arkansas
5,133,sevier_arkansas
5,135,sharp_arkansas
5,137,stone_arkansas
5,139,union_arkansas
5,141,van buren_arkansas
5,143,washington_arkansas
5,145,white_arkansas
5,147,woodruff_arkansas
5,149,yell_arkansas
6,1,alameda_california
6,3,alpine_california
6,5,amador_california
6,7,butte_california
6,9,calaveras_california
6,11,colusa_california
6,13,contra costa_california
6,15,del norte_california
6,17,el dorado_california
6,19,fresno_california
6,21,glenn_california
6,23,humboldt_california
6,25,imperial_california
6,27,inyo_california
6,29,kern_california
6,31,kings_california
6,33,lake_california
6,35,lassen_california
6,37,los angeles_california
6,39,madera_california
6,41,marin_california
6,43,mariposa_california
6,45,mendocino_california
6,47,merced_california
