State ANSI,County ANSI,"AG LAND, CROP INSURANCE - ACRES"
1.0,1.0,"16,027"
1.0,3.0,"74,080"
1.0,5.0,"19,428"
1.0,7.0,"4,739"
1.0,9.0,"12,948"
1.0,11.0,"9,948"
1.0,13.0,"7,817"
1.0,15.0,"15,848"
1.0,17.0,"8,150"
1.0,19.0,"55,207"
1.0,21.0,"3,202"
1.0,23.0,457
1.0,25.0,"1,665"
1.0,27.0,"12,711"
1.0,29.0,"3,743"
1.0,31.0,"33,855"
1.0,33.0,"68,626"
1.0,35.0,"16,742"
1.0,37.0,417
1.0,39.0,"34,380"
1.0,41.0,"7,772"
1.0,43.0,"12,780"
1.0,45.0,"28,235"
1.0,47.0,"50,831"
1.0,49.0,"42,520"
1.0,51.0,"22,238"
1.0,53.0,"43,526"
1.0,55.0,"8,493"
1.0,57.0,"8,207"
1.0,59.0,"11,535"
1.0,61.0,"47,733"
1.0,63.0,"4,105"
1.0,65.0,"19,462"
1.0,67.0,"47,282"
1.0,69.0,"52,976"
1.0,71.0,"60,469"
,,
1.0,75.0,"3,584"
1.0,77.0,"67,886"
1.0,79.0,"87,875"
1.0,81.0,"3,893"
1.0,83.0,"117,785"
1.0,85.0,"14,942"
1.0,87.0,"17,178"
1.0,89.0,"93,831"
1.0,91.0,"8,642"
1.0,93.0,"3,370"
1.0,95.0,"12,564"
1.0,97.0,"20,758"
1.0,99.0,"25,223"
1.0,101.0,"17,811"
1.0,103.0,"8,538"
1.0,105.0,"21,616"
1.0,107.0,"10,661"
1.0,109.0,"9,310"
1.0,111.0,"21,577"
1.0,113.0,"18,043"
1.0,115.0,"1,819"
1.0,117.0,"15,669"
1.0,119.0,"2,475"
1.0,121.0,"15,369"
1.0,123.0,"3,956"
1.0,125.0,"4,739"
1.0,127.0,"1,748"
1.0,129.0,"8,607"
1.0,131.0,"13,500"
1.0,133.0,"1,058"
,,
,,
2.0,20.0,116
,,
,,
,,
,,
2.0,90.0,"5,670"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
4.0,1.0,"77,944"
4.0,3.0,"123,008"
4.0,5.0, (D)
4.0,7.0, (D)
4.0,9.0,"61,808"
4.0,11.0, (D)
4.0,12.0,"44,830"
4.0,13.0,"113,492"
4.0,15.0,"13,490"
4.0,17.0, (D)
4.0,19.0,"50,488"
4.0,21.0,"204,613"
