State ANSI,County ANSI,"AG LAND, CROPLAND - ACRES"
1.0,1.0,"36,890"
1.0,3.0,"110,438"
1.0,5.0,"37,304"
1.0,7.0,"15,823"
1.0,9.0,"43,793"
1.0,11.0,"19,969"
1.0,13.0,"17,717"
1.0,15.0,"28,470"
1.0,17.0,"12,486"
1.0,19.0,"72,801"
1.0,21.0,"21,995"
1.0,23.0,"6,618"
1.0,25.0,"11,181"
1.0,27.0,"12,210"
1.0,29.0,"8,949"
1.0,31.0,"64,258"
1.0,33.0,"85,790"
1.0,35.0,"26,654"
1.0,37.0,"5,157"
1.0,39.0,"54,263"
1.0,41.0,"23,616"
1.0,43.0,"60,878"
1.0,45.0,"52,506"
1.0,47.0,"76,697"
1.0,49.0,"91,495"
1.0,51.0,"34,857"
1.0,53.0,"55,335"
1.0,55.0,"24,753"
1.0,57.0,"20,950"
1.0,59.0,"32,410"
1.0,61.0,"81,700"
1.0,63.0,"20,423"
1.0,65.0,"20,732"
1.0,67.0,"74,181"
1.0,69.0,"85,934"
1.0,71.0,"95,474"
1.0,73.0,"6,991"
1.0,75.0,"12,006"
1.0,77.0,"108,970"
1.0,79.0,"120,799"
1.0,81.0,"8,981"
1.0,83.0,"151,108"
1.0,85.0,"46,465"
1.0,87.0,"40,813"
1.0,89.0,"131,529"
1.0,91.0,"28,043"
1.0,93.0,"20,310"
1.0,95.0,"44,894"
1.0,97.0,"37,655"
1.0,99.0,"42,062"
1.0,101.0,"56,953"
1.0,103.0,"45,885"
1.0,105.0,"41,229"
1.0,107.0,"27,117"
1.0,109.0,"40,591"
1.0,111.0,"19,723"
1.0,113.0,"31,151"
1.0,115.0,"14,424"
1.0,117.0,"26,226"
1.0,119.0,"31,110"
1.0,121.0,"29,984"
1.0,123.0,"8,540"
1.0,125.0,"23,491"
1.0,127.0,"15,954"
1.0,129.0,"22,306"
1.0,131.0,"26,871"
1.0,133.0,"11,895"
2.0,13.0,"1,074"
,,
2.0,20.0,"15,585"
,,
,,
,,
,,
2.0,90.0,"63,226"
,,
,,
2.0,110.0,51
2.0,122.0,"3,796"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
4.0,1.0,"30,354"
4.0,3.0,"152,855"
4.0,5.0,"6,914"
4.0,7.0,"2,312"
4.0,9.0,"52,368"
4.0,11.0,"4,954"
4.0,12.0,"102,644"
4.0,13.0,"257,187"
4.0,15.0,"30,724"
4.0,17.0,"66,007"
4.0,19.0,"40,729"
4.0,21.0,"294,103"
4.0,23.0,"3,182"
4.0,25.0,"8,037"
4.0,27.0,"234,278"
5.0,1.0,"358,999"
5.0,3.0,"103,931"
5.0,5.0,"13,279"
5.0,7.0,"72,902"
5.0,9.0,"42,283"
5.0,11.0,"6,188"
5.0,13.0,"3,078"
5.0,15.0,"54,566"
5.0,17.0,"273,282"
5.0,19.0,"29,620"
5.0,21.0,"258,170"
5.0,23.0,"29,223"
5.0,25.0,"6,685"
5.0,27.0,"12,110"
5.0,29.0,"79,868"
5.0,31.0,"293,501"
5.0,33.0,"52,158"
5.0,35.0,"292,544"
5.0,37.0,"251,765"
5.0,39.0,"4,165"
5.0,41.0,"279,098"
5.0,43.0,"77,019"
5.0,45.0,"69,964"
5.0,47.0,"56,457"
5.0,49.0,"27,524"
5.0,51.0,"8,214"
5.0,53.0,"7,563"
5.0,55.0,"214,664"
5.0,57.0,"51,514"
5.0,59.0,"20,390"
5.0,61.0,"34,498"
5.0,63.0,"83,433"
5.0,65.0,"31,737"
5.0,67.0,"243,413"
5.0,69.0,"253,355"
5.0,71.0,"38,837"
5.0,73.0,"67,718"
5.0,75.0,"204,129"
5.0,77.0,"246,706"
5.0,79.0,"161,489"
5.0,81.0,"58,160"
5.0,83.0,"63,009"
5.0,85.0,"284,946"
5.0,87.0,"60,717"
5.0,89.0,"23,208"
5.0,91.0,"58,178"
5.0,93.0,"469,286"
5.0,95.0,"188,960"
5.0,97.0,"22,436"
5.0,99.0,"21,507"
5.0,101.0,"14,597"
5.0,103.0,"5,437"
5.0,105.0,"31,676"
5.0,107.0,"355,288"
5.0,109.0,"23,054"
5.0,111.0,"298,820"
5.0,113.0,"37,600"
5.0,115.0,"56,802"
5.0,117.0,"213,099"
5.0,119.0,"44,595"
5.0,121.0,"104,279"
5.0,123.0,"231,511"
5.0,125.0,"12,805"
5.0,127.0,"25,942"
5.0,129.0,"30,075"
5.0,131.0,"29,063"
5.0,133.0,"30,023"
5.0,135.0,"30,101"
5.0,137.0,"31,226"
5.0,139.0,"8,178"
5.0,141.0,"21,616"
5.0,143.0,"85,129"
5.0,145.0,"153,217"
5.0,147.0,"227,979"
5.0,149.0,"57,389"
6.0,1.0,"17,276"
6.0,3.0, (D)
6.0,5.0,"14,646"
6.0,7.0,"214,211"
6.0,9.0,"14,848"
6.0,11.0,"277,474"
6.0,13.0,"41,481"
6.0,15.0,"7,878"
6.0,17.0,"8,420"
6.0,19.0,"1,142,664"
6.0,21.0,"265,050"
6.0,23.0,"20,618"
6.0,25.0,"504,037"
6.0,27.0,"13,579"
6.0,29.0,"954,059"
6.0,31.0,"488,461"
