GeoType ,Per Capita personal income 2016 ,Per Capita personal income 2017,Per Capita personal income 2018,Percent change from preceding year 2017,Percent change from preceding year 2018
autauga_alabama,"39,561","40,450","41,618",2.2,2.9
baldwin_alabama,"42,907","43,989","45,596",2.5,3.7
barbour_alabama,"31,595","33,048","35,199",4.6,6.5
bibb_alabama,"28,799","29,081","30,254",1.0,4.0
blount_alabama,"32,389","33,533","34,976",3.5,4.3
bullock_alabama,"26,655","27,442","28,797",3.0,4.9
butler_alabama,"33,501","34,733","36,450",3.7,4.9
calhoun_alabama,"34,774","35,721","37,120",2.7,3.9
chambers_alabama,"32,470","32,583","33,859",0.3,3.9
cherokee_alabama,"32,826","33,852","35,505",3.1,4.9
chilton_alabama,"32,204","33,416","34,798",3.8,4.1
choctaw_alabama,"35,676","36,603","39,280",2.6,7.3
clarke_alabama,"34,436","34,777","36,361",1.0,4.6
clay_alabama,"31,149","32,017","33,530",2.8,4.7
cleburne_alabama,"33,708","34,862","36,159",3.4,3.7
coffee_alabama,"40,386","41,268","43,094",2.2,4.4
colbert_alabama,"36,289","37,073","38,378",2.2,3.5
conecuh_alabama,"30,308","31,267","32,656",3.2,4.4
coosa_alabama,"29,174","29,926","31,328",2.6,4.7
covington_alabama,"33,014","34,393","35,651",4.2,3.7
crenshaw_alabama,"34,405","35,823","36,645",4.1,2.3
cullman_alabama,"36,649","38,158","39,607",4.1,3.8
dale_alabama,"34,492","35,200","36,613",2.1,4.0
dallas_alabama,"33,454","34,282","36,026",2.5,5.1
dekalb_alabama,"29,446","30,682","31,916",4.2,4.0
elmore_alabama,"39,587","40,966","42,269",3.5,3.2
escambia_alabama,"30,404","31,641","32,996",4.1,4.3
etowah_alabama,"34,792","35,542","36,918",2.2,3.9
fayette_alabama,"32,533","33,492","34,966",2.9,4.4
franklin_alabama,"30,940","32,422","34,318",4.8,5.8
geneva_alabama,"32,619","33,736","35,192",3.4,4.3
greene_alabama,"30,737","31,388","32,359",2.1,3.1
hale_alabama,"34,900","35,559","36,585",1.9,2.9
henry_alabama,"37,657","38,790","40,360",3.0,4.0
houston_alabama,"39,459","40,642","42,398",3.0,4.3
jackson_alabama,"34,198","35,099","36,567",2.6,4.2
jefferson_alabama,"49,573","52,128","54,730",5.2,5.0
lamar_alabama,"31,863","32,230","33,496",1.2,3.9
lauderdale_alabama,"35,202","35,573","37,151",1.1,4.4
lawrence_alabama,"31,129","32,596","34,125",4.7,4.7
lee_alabama,"35,690","36,437","38,036",2.1,4.4
limestone_alabama,"39,102","40,845","42,546",4.5,4.2
lowndes_alabama,"37,050","39,011","38,991",5.3,-0.1
macon_alabama,"30,568","31,372","32,919",2.6,4.9
madison_alabama,"48,026","49,158","51,445",2.4,4.7
marengo_alabama,"36,650","37,447","39,801",2.2,6.3
marion_alabama,"30,458","31,807","33,264",4.4,4.6
marshall_alabama,"33,700","34,579","36,044",2.6,4.2
mobile_alabama,"36,025","36,777","38,243",2.1,4.0
monroe_alabama,"31,259","31,720","33,456",1.5,5.5
montgomery_alabama,"41,388","42,211","43,688",2.0,3.5
morgan_alabama,"37,173","38,289","39,991",3.0,4.4
perry_alabama,"29,030","30,173","30,535",3.9,1.2
pickens_alabama,"30,412","31,233","32,551",2.7,4.2
pike_alabama,"34,842","36,140","37,359",3.7,3.4
randolph_alabama,"30,268","31,242","32,411",3.2,3.7
russell_alabama,"30,700","32,384","33,104",5.5,2.2
st. clair_alabama,"35,766","36,993","38,569",3.4,4.3
shelby_alabama,"50,650","51,852","54,369",2.4,4.9
sumter_alabama,"30,848","31,452","31,664",2.0,0.7
talladega_alabama,"32,487","33,282","34,718",2.4,4.3
tallapoosa_alabama,"38,205","38,829","40,696",1.6,4.8
tuscaloosa_alabama,"36,143","37,157","38,822",2.8,4.5
walker_alabama,"37,030","38,482","40,197",3.9,4.5
washington_alabama,"34,371","34,882","36,323",1.5,4.1
wilcox_alabama,"30,247","30,929","32,215",2.3,4.2
winston_alabama,"31,995","33,679","35,430",5.3,5.2
aleutians east _alaska,"57,255","58,210","56,676",1.7,-2.6
aleutians west _alaska,"55,302","52,695","54,385",-4.7,3.2
anchorage _alaska,"62,172","63,173","66,510",1.6,5.3
bethel _alaska,"41,168","42,134","43,500",2.3,3.2
bristol bay _alaska,"119,915","125,895","143,575",5.0,14.0
denali _alaska,"76,113","78,685","82,919",3.4,5.4
dillingham _alaska,"55,471","58,042","59,621",4.6,2.7
fairbanks north star _alaska,"52,803","53,974","56,606",2.2,4.9
haines _alaska,"57,423","62,478","67,059",8.8,7.3
hoonah-angoon _alaska,"54,863","59,277","61,752",8.0,4.2
juneau  _alaska,"63,779","65,784","68,145",3.1,3.6
kenai peninsula _alaska,"49,544","49,697","52,015",0.3,4.7
ketchikan gateway _alaska,"64,229","65,179","67,602",1.5,3.7
kodiak island _alaska,"57,840","61,157","63,938",5.7,4.5
kusilvak _alaska,"29,979","29,838","30,099",-0.5,0.9
lake and peninsula _alaska,"54,510","61,219","65,414",12.3,6.9
matanuska-susitna _alaska,"44,520","44,043","45,897",-1.1,4.2
nome _alaska,"48,001","49,518","51,378",3.2,3.8
north slope _alaska,"89,281","84,340","83,489",-5.5,-1.0
northwest arctic _alaska,"43,886","44,861","47,854",2.2,6.7
petersburg _alaska,"64,029","66,703","69,995",4.2,4.9
prince of wales-hyder _alaska,"39,834","41,456","43,707",4.1,5.4
sitka  _alaska,"63,572","67,771","71,972",6.6,6.2
skagway _alaska,"74,760","76,785","81,471",2.7,6.1
southeast fairbanks _alaska,"46,700","47,449","49,398",1.6,4.1
valdez-cordova _alaska,"57,309","59,736","62,307",4.2,4.3
wrangell  _alaska,"44,956","44,963","47,658",0.0,6.0
yakutat  _alaska,"54,406","55,783","58,937",2.5,5.7
yukon-koyukuk _alaska,"53,871","54,874","59,010",1.9,7.5
apache_arizona,"31,417","33,093","34,355",5.3,3.8
cochise_arizona,"37,621","39,165","40,308",4.1,2.9
coconino_arizona,"44,279","46,662","48,129",5.4,3.1
gila_arizona,"36,286","38,524","40,267",6.2,4.5
graham_arizona,"29,460","30,233","31,597",2.6,4.5
greenlee_arizona,"33,892","36,626","39,855",8.1,8.8
la paz_arizona,"29,596","29,750","30,948",0.5,4.0
maricopa_arizona,"43,825","45,667","47,694",4.2,4.4
mohave_arizona,"30,286","31,742","33,148",4.8,4.4
navajo_arizona,"29,677","31,008","32,165",4.5,3.7
pima_arizona,"39,904","42,133","44,028",5.6,4.5
pinal_arizona,"28,535","29,587","30,644",3.7,3.6
santa cruz_arizona,"34,828","37,395","39,057",7.4,4.4
yavapai_arizona,"36,511","38,381","40,312",5.1,5.0
yuma_arizona,"33,141","35,049","35,682",5.8,1.8
arkansas_arkansas,"43,755","43,723","45,290",-0.1,3.6
ashley_arkansas,"32,742","33,152","34,813",1.3,5.0
baxter_arkansas,"34,516","35,617","37,106",3.2,4.2
benton_arkansas,"82,031","84,658","88,890",3.2,5.0
boone_arkansas,"33,439","34,263","36,089",2.5,5.3
bradley_arkansas,"36,251","37,936","39,491",4.6,4.1
calhoun_arkansas,"32,632","32,803","34,426",0.5,4.9
carroll_arkansas,"31,170","33,064","33,690",6.1,1.9
chicot_arkansas,"34,429","35,538","36,293",3.2,2.1
clark_arkansas,"33,226","34,822","36,314",4.8,4.3
clay_arkansas,"30,994","33,558","34,149",8.3,1.8
cleburne_arkansas,"35,135","36,764","38,307",4.6,4.2
cleveland_arkansas,"36,239","38,630","40,344",6.6,4.4
columbia_arkansas,"34,418","36,856","38,749",7.1,5.1
conway_arkansas,"35,872","36,781","38,191",2.5,3.8
craighead_arkansas,"35,490","36,323","37,531",2.3,3.3
crawford_arkansas,"31,344","32,042","32,952",2.2,2.8
crittenden_arkansas,"34,692","35,726","36,978",3.0,3.5
cross_arkansas,"32,928","34,595","35,949",5.1,3.9
dallas_arkansas,"31,946","33,118","34,645",3.7,4.6
desha_arkansas,"35,934","36,384","37,828",1.3,4.0
drew_arkansas,"34,408","35,696","37,148",3.7,4.1
faulkner_arkansas,"35,446","36,424","37,598",2.8,3.2
franklin_arkansas,"31,816","33,010","34,275",3.8,3.8
fulton_arkansas,"27,000","27,907","28,994",3.4,3.9
garland_arkansas,"37,226","38,629","40,004",3.8,3.6
grant_arkansas,"36,261","37,275","38,201",2.8,2.5
greene_arkansas,"32,299","33,696","34,895",4.3,3.6
hempstead_arkansas,"29,295","31,369","32,515",7.1,3.7
hot spring_arkansas,"28,798","29,686","30,580",3.1,3.0
howard_arkansas,"32,696","34,387","35,292",5.2,2.6
independence_arkansas,"32,782","33,882","35,086",3.4,3.6
izard_arkansas,"28,725","29,374","30,608",2.3,4.2
jackson_arkansas,"33,639","34,236","35,880",1.8,4.8
jefferson_arkansas,"33,278","34,006","35,356",2.2,4.0
johnson_arkansas,"28,041","28,649","28,970",2.2,1.1
lafayette_arkansas,"34,601","34,903","36,292",0.9,4.0
lawrence_arkansas,"31,810","33,446","35,126",5.1,5.0
lee_arkansas,"26,052","26,474","27,619",1.6,4.3
lincoln_arkansas,"25,400","25,919","27,002",2.0,4.2
little river_arkansas,"33,104","33,525","34,086",1.3,1.7
logan_arkansas,"31,925","33,540","34,490",5.1,2.8
lonoke_arkansas,"36,977","37,525","38,764",1.5,3.3
madison_arkansas,"33,506","36,069","35,496",7.6,-1.6
marion_arkansas,"28,851","29,517","30,743",2.3,4.2
miller_arkansas,"32,193","32,452","33,401",0.8,2.9
mississippi_arkansas,"28,609","29,581","31,428",3.4,6.2
monroe_arkansas,"31,451","32,110","32,651",2.1,1.7
montgomery_arkansas,"27,818","29,778","30,834",7.0,3.5
nevada_arkansas,"31,802","33,006","34,180",3.8,3.6
newton_arkansas,"27,186","27,645","28,808",1.7,4.2
ouachita_arkansas,"33,945","35,026","36,907",3.2,5.4
perry_arkansas,"32,600","33,933","34,877",4.1,2.8
phillips_arkansas,"28,886","30,148","31,128",4.4,3.3
pike_arkansas,"30,388","31,759","33,113",4.5,4.3
poinsett_arkansas,"29,462","30,921","32,315",5.0,4.5
polk_arkansas,"28,063","29,313","30,751",4.5,4.9
pope_arkansas,"33,012","33,972","35,261",2.9,3.8
prairie_arkansas,"32,574","34,208","35,935",5.0,5.0
pulaski_arkansas,"47,966","49,129","51,185",2.4,4.2
randolph_arkansas,"30,281","32,251","33,486",6.5,3.8
st. francis_arkansas,"25,970","27,464","27,948",5.8,1.8
saline_arkansas,"39,583","40,160","41,397",1.5,3.1
scott_arkansas,"28,340","30,330","31,401",7.0,3.5
searcy_arkansas,"26,630","27,109","28,511",1.8,5.2
sebastian_arkansas,"39,627","40,486","42,110",2.2,4.0
sevier_arkansas,"29,445","30,197","31,436",2.6,4.1
sharp_arkansas,"30,582","31,022","32,012",1.4,3.2
stone_arkansas,"28,461","29,491","31,086",3.6,5.4
union_arkansas,"39,569","43,507","46,474",10.0,6.8
van buren_arkansas,"29,480","30,051","31,176",1.9,3.7
washington_arkansas,"37,737","39,283","40,247",4.1,2.5
white_arkansas,"33,214","34,232","35,445",3.1,3.5
woodruff_arkansas,"33,231","35,322","37,545",6.3,6.3
yell_arkansas,"30,496","32,100","33,320",5.3,3.8
alameda_california,"67,567","71,560","76,644",5.9,7.1
alpine_california,"74,606","68,492","73,307",-8.2,7.0
amador_california,"42,701","43,405","44,793",1.6,3.2
butte_california,"42,015","42,653","44,346",1.5,4.0
calaveras_california,"45,703","47,177","49,893",3.2,5.8
colusa_california,"45,163","45,475","49,094",0.7,8.0
contra costa_california,"72,483","76,886","82,506",6.1,7.3
del norte_california,"35,868","36,172","37,268",0.8,3.0
el dorado_california,"62,864","64,519","67,464",2.6,4.6
fresno_california,"40,327","41,137","43,084",2.0,4.7
glenn_california,"44,313","44,935","48,613",1.4,8.2
humboldt_california,"45,205","46,493","48,739",2.8,4.8
imperial_california,"35,406","36,537","36,974",3.2,1.2
inyo_california,"57,580","59,340","61,358",3.1,3.4
kern_california,"37,920","38,467","39,703",1.4,3.2
kings_california,"33,457","34,323","35,306",2.6,2.9
lake_california,"40,258","41,460","43,185",3.0,4.2
lassen_california,"36,253","36,350","37,844",0.3,4.1
los angeles_california,"57,127","59,058","62,224",3.4,5.4
madera_california,"37,209","38,062","39,897",2.3,4.8
marin_california,"118,416","124,731","134,275",5.3,7.7
mariposa_california,"48,877","50,703","53,143",3.7,4.8
mendocino_california,"46,602","47,611","50,150",2.2,5.3
merced_california,"36,786","38,037","38,519",3.4,1.3
modoc_california,"43,301","43,224","44,822",-0.2,3.7
mono_california,"46,528","51,584","51,325",10.9,-0.5
monterey_california,"52,686","53,989","56,193",2.5,4.1
napa_california,"67,580","69,791","74,984",3.3,7.4
nevada_california,"58,146","58,771","61,799",1.1,5.2
orange_california,"63,086","65,709","69,268",4.2,5.4
placer_california,"61,838","64,015","66,700",3.5,4.2
plumas_california,"49,058","50,905","53,599",3.8,5.3
riverside_california,"37,936","38,975","40,637",2.7,4.3
sacramento_california,"48,965","50,445","52,544",3.0,4.2
san benito_california,"48,634","50,955","53,822",4.8,5.6
san bernardino_california,"37,592","38,648","40,316",2.8,4.3
san diego_california,"56,322","58,097","61,386",3.2,5.7
san francisco_california,"114,697","121,778","130,696",6.2,7.3
san joaquin_california,"41,094","42,391","44,995",3.2,6.1
san luis obispo_california,"53,041","55,635","58,491",4.9,5.1
san mateo_california,"107,207","117,389","126,392",9.5,7.7
santa barbara_california,"57,432","59,633","62,690",3.8,5.1
santa clara_california,"92,505","100,177","107,877",8.3,7.7
santa cruz_california,"61,166","64,901","69,355",6.1,6.9
shasta_california,"43,412","44,480","46,582",2.5,4.7
sierra_california,"42,870","44,508","46,615",3.8,4.7
siskiyou_california,"42,913","43,652","45,065",1.7,3.2
solano_california,"46,999","48,364","51,664",2.9,6.8
sonoma_california,"57,566","60,170","64,501",4.5,7.2
stanislaus_california,"41,417","42,354","44,120",2.3,4.2
sutter_california,"41,972","42,752","44,535",1.9,4.2
tehama_california,"38,608","40,374","42,483",4.6,5.2
trinity_california,"37,286","37,842","40,640",1.5,7.4
tulare_california,"38,198","39,018","40,420",2.1,3.6
tuolumne_california,"45,467","46,017","47,838",1.2,4.0
ventura_california,"57,136","58,761","61,712",2.8,5.0
yolo_california,"51,225","52,207","54,118",1.9,3.7
yuba_california,"39,140","39,409","40,929",0.7,3.9
adams_colorado,"39,468","41,170","43,315",4.3,5.2
alamosa_colorado,"34,692","35,437","37,351",2.1,5.4
arapahoe_colorado,"55,001","56,789","60,180",3.3,6.0
archuleta_colorado,"40,004","40,753","41,947",1.9,2.9
baca_colorado,"37,660","41,045","40,968",9.0,-0.2
bent_colorado,"28,347","26,363","27,574",-7.0,4.6
boulder_colorado,"64,875","69,298","73,394",6.8,5.9
broomfield_colorado,"60,403","63,170","66,410",4.6,5.1
chaffee_colorado,"42,419","44,340","46,998",4.5,6.0
cheyenne_colorado,"49,789","56,640","56,699",13.8,0.1
clear creek_colorado,"56,271","57,914","61,300",2.9,5.8
conejos_colorado,"33,689","34,424","36,894",2.2,7.2
costilla_colorado,"32,046","32,846","34,282",2.5,4.4
crowley_colorado,"22,499","19,263","19,141",-14.4,-0.6
custer_colorado,"40,092","39,608","41,681",-1.2,5.2
delta_colorado,"33,511","36,373","38,855",8.5,6.8
denver_colorado,"63,912","74,396","79,849",16.4,7.3
dolores_colorado,"31,756","33,542","34,935",5.6,4.2
douglas_colorado,"68,525","70,029","73,662",2.2,5.2
eagle_colorado,"67,973","73,114","78,152",7.6,6.9
elbert_colorado,"52,877","54,624","57,334",3.3,5.0
el paso_colorado,"44,858","46,692","48,467",4.1,3.8
fremont_colorado,"32,668","33,558","35,435",2.7,5.6
garfield_colorado,"53,374","55,931","59,653",4.8,6.7
gilpin_colorado,"44,830","45,826","48,128",2.2,5.0
grand_colorado,"44,109","46,817","49,845",6.1,6.5
gunnison_colorado,"43,240","44,676","47,149",3.3,5.5
hinsdale_colorado,"47,152","49,886","50,698",5.8,1.6
huerfano_colorado,"40,006","40,864","42,459",2.1,3.9
