Total Population,Percent Population Under 18,Percent Population Over 65 ,Percent Nonwhite,Percent of Population Below Poverty Level,county_state
55036.0,24.54575187,14.25067229,23.397,13.59655498,autauga_alabama
203360.0,22.12775374,19.02389851,13.473,11.66797797,baldwin_alabama
26201.0,21.04499828,17.44589901,53.437,24.16701653,barbour_alabama
22580.0,20.93888397,15.06643047,23.282,13.87511072,bibb_alabama
57667.0,23.52298542,17.35481298,4.547,15.46638459,blount_alabama
10478.0,20.67188395,15.17465165,78.059,27.21893491,bullock_alabama
20126.0,22.70694624,18.53820928,47.595,24.023651,butler_alabama
115527.0,22.01217032,16.45069984,25.441,18.12563297,calhoun_alabama
33895.0,21.40728721,18.58681221,42.316,18.55140876,chambers_alabama
25855.0,20.14310578,20.97079868,6.896,15.87313866,cherokee_alabama
43805.0,24.08400867,15.50051364,16.683,19.15763041,chilton_alabama
13188.0,20.51865332,21.50439794,43.464,22.01243555,choctaw_alabama
24625.0,22.39187817,18.45279188,46.77,24.80406091,clarke_alabama
13407.0,21.30976356,19.4525248,16.849,18.59476393,clay_alabama
14939.0,23.14746636,18.4751322,5.435,18.74288774,cleburne_alabama
51073.0,23.72878037,15.96146692,23.725,15.90272747,coffee_alabama
54435.0,21.50822081,18.90327914,20.428,16.63635529,colbert_alabama
12649.0,21.9305874,21.06095344,48.66,26.21551111,conecuh_alabama
10955.0,17.38931995,21.03149247,34.596,13.81104518,coosa_alabama
37519.0,22.01018151,20.29105253,15.355,17.30056771,covington_alabama
13866.0,22.60204818,17.93595846,28.523,17.30131256,crenshaw_alabama
81703.0,22.46796323,17.75699791,4.464,16.10344785,cullman_alabama
49393.0,23.50130585,15.78766222,26.706,19.1140445,dale_alabama
40755.0,24.7282542,16.26058152,71.79,31.39492087,dallas_alabama
71194.0,24.64252606,16.03365452,13.736,21.23072169,dekalb_alabama
80989.0,22.56479275,14.10068034,24.833,12.71654175,elmore_alabama
37621.0,22.28010951,17.04633051,38.633,22.01164243,escambia_alabama
103132.0,21.85548617,17.84800062,19.098,17.61431951,etowah_alabama
16657.0,21.60052831,20.04562646,14.51,17.81233115,fayette_alabama
31507.0,24.6675342,16.31066112,14.13,22.77271717,franklin_alabama
26572.0,22.20006021,19.03883787,13.39,22.21511365,geneva_alabama
8533.0,23.42669636,19.37185046,82.902,38.59135122,greene_alabama
14995.0,23.27442481,18.0726909,60.467,25.68856285,hale_alabama
17110.0,20.92928112,20.97019287,29.024,13.50087668,henry_alabama
104108.0,23.57743881,16.52418642,30.581,18.27909479,houston_alabama
52326.0,21.58200512,18.74402783,8.978,18.78033865,jackson_alabama
659460.0,23.07630486,14.63272981,47.92,17.19103509,jefferson_alabama
14021.0,22.0241067,20.60480708,12.531,22.75871906,lamar_alabama
92590.0,20.25272708,18.8821687,13.105,15.87752457,lauderdale_alabama
33288.0,21.7555876,16.84390771,21.96,16.4924297,lawrence_alabama
156597.0,21.6089708,10.75116382,30.087,21.15749344,lee_alabama
91695.0,23.17901739,14.32466329,18.432,14.327935,limestone_alabama
10362.0,22.9492376,17.38081451,75.304,29.86875121,lowndes_alabama
19358.0,18.03905362,17.77043083,84.193,22.62630437,macon_alabama
353213.0,22.33807929,13.98051601,31.454,13.28518486,madison_alabama
19743.0,22.96510155,18.68003849,54.647,25.3254318,marengo_alabama
30058.0,21.12915031,20.43050103,6.74,17.21671435,marion_alabama
94738.0,24.85697397,16.56568642,7.36,20.74563533,marshall_alabama
414328.0,23.8620127,14.93454461,40.737,18.88745149,mobile_alabama
21745.0,23.32030352,18.61577374,44.939,33.33639917,monroe_alabama
227120.0,23.75440296,13.7389926,62.956,20.19328989,montgomery_alabama
119157.0,23.04774373,16.26089949,18.806,16.32132397,morgan_alabama
9680.0,22.22107438,18.50206612,70.3,38.28512397,perry_alabama
20170.0,20.75359445,18.05651958,43.951,21.51710461,pickens_alabama
33287.0,19.68936822,14.25181002,42.936,24.70634182,pike_alabama
22530.0,21.93963604,19.65823347,23.032,18.20683533,randolph_alabama
58480.0,24.97948016,12.97366621,49.439,20.56087551,russell_alabama
86937.0,23.07418015,15.50087995,12.55,13.40740996,st. clair_alabama
208721.0,24.19306155,13.68860824,19.253,8.20569085,shelby_alabama
13084.0,19.71109752,16.43992663,75.275,33.61357383,sumter_alabama
80888.0,21.85367422,16.54262684,35.738,18.47740085,talladega_alabama
40756.0,21.28520954,19.87437433,30.182,20.93434096,tallapoosa_alabama
204424.0,21.00731812,12.10131883,35.291,16.43495871,tuscaloosa_alabama
64927.0,22.27116608,18.25742757,8.785,21.18379103,walker_alabama
16746.0,22.8233608,17.27576735,34.492,21.7604204,washington_alabama
10919.0,24.7366975,17.81298654,73.102,30.87279055,wilcox_alabama
23968.0,20.96545394,20.60246996,3.475,18.33694927,winston_alabama
3338.0,13.36129419,8.208508089,82.804,16.62672259,aleutians east_alaska
5784.0,16.99515906,5.515214385,70.211,7.244121715,aleutians west_alaska
298225.0,24.76687065,9.438511191,36.348,7.883309582,anchorage_alaska
17957.0,35.6574038,7.055744278,89.04,26.20148132,bethel_alaska
917.0,22.7917121,9.705561614,47.983,6.870229008,bristol bay_alaska
2303.0,14.11202779,7.555362571,16.978,15.24099001,denali_alaska
4974.0,31.04141536,8.082026538,82.549,16.42541214,dillingham_alaska
100031.0,24.14551489,8.656316542,23.835,7.337725305,fairbanks north star_alaska
