Area_name,Population per square mile 2010
autauga,91.8
baldwin,114.6
barbour,31.0
bibb,36.8
blount,88.9
bullock,17.5
butler,27.0
calhoun,195.7
chambers,57.4
cherokee,46.9
chilton,63.0
choctaw,15.2
clarke,20.9
clay,23.1
cleburne,26.7
coffee,73.6
colbert,91.8
conecuh,15.6
coosa,17.7
covington,36.6
crenshaw,22.8
cullman,109.4
dale,89.6
dallas,44.8
dekalb,91.5
elmore,128.2
escambia,40.5
etowah,195.2
fayette,27.5
franklin,50.0
geneva,46.6
greene,14.0
hale,24.5
henry,30.8
houston,175.1
jackson,49.4
jefferson,592.5
lamar,24.1
lauderdale,138.8
lawrence,49.7
lee,230.8
limestone,147.8
lowndes,15.8
macon,35.2
madison,417.7
marengo,21.5
marion,41.5
marshall,164.4
mobile,335.9
monroe,22.5
montgomery,292.5
morgan,206.3
perry,14.7
pickens,22.4
pike,48.9
randolph,39.5
russell,82.6
st. clair,132.3
shelby,248.5
sumter,15.2
talladega,111.7
tallapoosa,58.1
tuscaloosa,147.3
walker,84.7
washington,16.3
wilcox,13.1
winston,39.9
aleutians east,0.4
aleutians west,1.3
anchorage,171.2
bethel,0.4
bristol bay,2.0
denali,0.1
dillingham,0.3
fairbanks north star,13.3
haines,1.1
hoonah-angoon,0.3
juneau,11.6
kenai peninsula,3.4
ketchikan gateway,2.8
kodiak island,2.1
,
lake and peninsula,0.1
matanuska-susitna,3.6
nome,0.4
north slope,0.1
northwest arctic,0.2
petersburg,1.2
prince of wales-hyder,1.4
sitka,3.1
skagway,2.1
southeast fairbanks,0.3
valdez-cordova,0.3
wrangell,0.9
yakutat,0.1
yukon-koyukuk,0.0
apache,6.4
cochise,21.3
coconino,7.2
gila,11.3
graham,8.1
greenlee,4.6
la paz,4.6
maricopa,414.9
mohave,15.0
navajo,10.8
pima,106.7
pinal,70.0
santa cruz,38.3
yavapai,26.0
yuma,35.5
arkansas,19.2
ashley,23.6
baxter,74.9
benton,261.2
boone,62.5
bradley,17.7
calhoun,8.5
carroll,43.6
chicot,18.3
clark,26.6
clay,25.2
cleburne,46.9
cleveland,14.5
columbia,32.1
conway,38.5
craighead,136.4
crawford,104.4
crittenden,83.5
cross,29.0
dallas,12.2
desha,16.9
drew,22.3
faulkner,174.8
franklin,29.8
fulton,19.8
garland,141.7
grant,28.3
greene,72.9
hempstead,31.1
hot spring,53.5
howard,23.4
independence,48.0
izard,23.6
jackson,28.4
jefferson,88.9
johnson,38.7
lafayette,14.5
lawrence,29.6
lee,17.3
lincoln,25.2
little river,24.7
logan,31.6
lonoke,88.7
madison,18.8
marion,27.9
miller,69.5
mississippi,51.6
monroe,13.4
montgomery,12.2
nevada,14.6
newton,10.1
ouachita,35.6
perry,18.9
phillips,31.3
pike,18.8
poinsett,32.4
polk,24.1
pope,76.0
prairie,13.4
pulaski,503.8
randolph,27.6
st. francis,44.5
saline,148.0
scott,12.6
searcy,12.3
sebastian,236.4
sevier,30.2
sharp,28.6
stone,20.4
union,40.1
van buren,24.4
washington,215.6
white,74.5
woodruff,12.4
yell,23.9
alameda,2043.6
alpine,1.6
amador,64.1
butte,134.4
calaveras,44.7
colusa,18.6
contra costa,1465.2
del norte,28.4
el dorado,106.0
fresno,156.2
glenn,21.4
humboldt,37.7
imperial,41.8
inyo,1.8
kern,103.3
kings,110.1
lake,51.5
lassen,7.7
los angeles,2419.6
madera,70.6
marin,485.1
mariposa,12.6
mendocino,25.1
merced,132.2
modoc,2.5
mono,4.7
monterey,126.5
napa,182.4
nevada,103.1
orange,3807.7
placer,247.6
plumas,7.8
riverside,303.8
sacramento,1470.8
san benito,39.8
san bernardino,101.5
san diego,735.8
san francisco,17179.1
san joaquin,492.6
san luis obispo,81.7
san mateo,1602.2
santa barbara,155.0
santa clara,1381.0
santa cruz,589.4
shasta,46.9
sierra,3.4
siskiyou,7.2
solano,503.0
sonoma,307.1
stanislaus,344.2
sutter,157.3
tehama,21.5
trinity,4.3
tulare,91.7
tuolumne,24.9
