State ANSI,County ANSI,Percent Deaths_0-5,Percent Deaths_5-25,Percent Deaths_25+
1.0,1.0,7e-05,1e-05,0.00155
1.0,3.0,7e-05,1e-05,0.00127
1.0,5.0,6e-05,1e-05,0.00152
1.0,7.0,7e-05,1e-05,0.00178
1.0,9.0,7e-05,1e-05,0.00269
1.0,11.0,7e-05,1e-05,0.00147
1.0,13.0,7e-05,1e-05,0.00179
1.0,15.0,7e-05,1e-05,0.00205
1.0,17.0,7e-05,1e-05,0.00185
1.0,19.0,6e-05,1e-05,0.00187
1.0,21.0,7e-05,1e-05,0.00215
1.0,23.0,7e-05,1e-05,0.00183
1.0,25.0,7e-05,1e-05,0.00199
1.0,27.0,7e-05,1e-05,0.00175
1.0,29.0,7e-05,1e-05,0.00165
1.0,31.0,7e-05,1e-05,0.00166
1.0,33.0,7e-05,1e-05,0.00246
1.0,35.0,6e-05,1e-05,0.00183
1.0,37.0,7e-05,1e-05,0.00161
1.0,39.0,7e-05,1e-05,0.00247
1.0,41.0,6e-05,1e-05,0.00234
1.0,43.0,7e-05,1e-05,0.00194
1.0,45.0,7e-05,1e-05,0.00174
1.0,47.0,7e-05,1e-05,0.00178
1.0,49.0,7e-05,1e-05,0.00236
1.0,51.0,7e-05,1e-05,0.0013
1.0,53.0,7e-05,1e-05,0.00185
1.0,55.0,7e-05,1e-05,0.00232
1.0,57.0,6e-05,1e-05,0.00246
1.0,59.0,6e-05,1e-05,0.0025
1.0,61.0,7e-05,1e-05,0.00181
1.0,63.0,7e-05,1e-05,0.00183
1.0,65.0,7e-05,1e-05,0.00173
1.0,67.0,7e-05,1e-05,0.00177
1.0,69.0,7e-05,1e-05,0.00109
1.0,71.0,7e-05,1e-05,0.00265
1.0,73.0,7e-05,1e-05,0.00138
1.0,75.0,7e-05,1e-05,0.00179
1.0,77.0,7e-05,1e-05,0.00192
1.0,79.0,7e-05,1e-05,0.00201
1.0,81.0,7e-05,1e-05,0.00113
1.0,83.0,7e-05,1e-05,0.00119
1.0,85.0,7e-05,1e-05,0.00165
1.0,87.0,7e-05,1e-05,0.00172
1.0,89.0,7e-05,1e-05,0.00131
1.0,91.0,7e-05,1e-05,0.0021
1.0,93.0,6e-05,1e-05,0.00207
1.0,95.0,7e-05,1e-05,0.00248
1.0,97.0,7e-05,1e-05,0.00161
1.0,99.0,7e-05,1e-05,0.00171
1.0,101.0,7e-05,1e-05,0.00113
1.0,103.0,7e-05,1e-05,0.00189
1.0,105.0,7e-05,1e-05,0.00184
1.0,107.0,7e-05,1e-05,0.00159
1.0,109.0,7e-05,1e-05,0.00162
1.0,111.0,7e-05,1e-05,0.00275
1.0,113.0,7e-05,1e-05,0.00197
1.0,115.0,7e-05,1e-05,0.00207
1.0,117.0,7e-05,1e-05,0.00103
1.0,119.0,7e-05,1e-05,0.00189
1.0,121.0,7e-05,1e-05,0.00219
1.0,123.0,7e-05,1e-05,0.00241
1.0,125.0,7e-05,1e-05,0.00195
1.0,127.0,7e-05,1e-05,0.00219
1.0,129.0,7e-05,1e-05,0.00244
1.0,131.0,7e-05,1e-05,0.00173
1.0,133.0,7e-05,1e-05,0.00284
2.0,13.0,4e-05,1e-05,0.00057
2.0,16.0,4e-05,1e-05,0.00043
2.0,20.0,4e-05,1e-05,0.0007
2.0,50.0,4e-05,1e-05,0.00071
2.0,60.0,4e-05,1e-05,
2.0,68.0,4e-05,1e-05,
2.0,70.0,4e-05,1e-05,0.00086
2.0,90.0,4e-05,1e-05,0.00071
2.0,100.0,4e-05,1e-05,0.00123
2.0,105.0,4e-05,1e-05,0.00122
2.0,110.0,4e-05,1e-05,0.00089
2.0,122.0,4e-05,1e-05,0.00101
2.0,130.0,4e-05,1e-05,0.00106
2.0,150.0,4e-05,1e-05,0.00078
,,,,
2.0,164.0,4e-05,1e-05,0.00081
2.0,170.0,4e-05,1e-05,0.00092
2.0,180.0,4e-05,1e-05,0.00077
2.0,185.0,4e-05,1e-05,0.00048
2.0,188.0,4e-05,1e-05,0.00081
2.0,195.0,4e-05,1e-05,0.00104
2.0,198.0,4e-05,1e-05,0.00087
2.0,220.0,4e-05,1e-05,0.00119
2.0,230.0,5e-05,1e-05,0.00077
2.0,240.0,4e-05,1e-05,0.00098
2.0,261.0,4e-05,1e-05,0.00081
2.0,275.0,4e-05,1e-05,0.00138
2.0,282.0,,1e-05,
2.0,290.0,4e-05,1e-05,0.00127
4.0,1.0,6e-05,1e-05,0.00127
4.0,3.0,6e-05,1e-05,0.00185
4.0,5.0,6e-05,1e-05,0.00087
4.0,7.0,6e-05,1e-05,0.00221
4.0,9.0,6e-05,1e-05,0.00102
4.0,11.0,6e-05,1e-05,0.00076
4.0,12.0,6e-05,1e-05,0.00164
4.0,13.0,6e-05,1e-05,0.00103
4.0,15.0,6e-05,1e-05,0.00204
4.0,17.0,6e-05,1e-05,0.00149
4.0,19.0,6e-05,1e-05,0.00139
4.0,21.0,6e-05,1e-05,0.00122
4.0,23.0,6e-05,1e-05,0.00115
4.0,25.0,6e-05,1e-05,0.00217
4.0,27.0,6e-05,1e-05,0.00119
5.0,1.0,8e-05,1e-05,0.00181
5.0,3.0,8e-05,1e-05,0.00175
5.0,5.0,9e-05,1e-05,0.00277
5.0,7.0,9e-05,1e-05,0.00128
5.0,9.0,8e-05,1e-05,0.00187
5.0,11.0,8e-05,1e-05,0.00184
5.0,13.0,8e-05,1e-05,0.00189
5.0,15.0,9e-05,1e-05,0.00196
5.0,17.0,9e-05,1e-05,0.00202
5.0,19.0,9e-05,1e-05,0.00186
5.0,21.0,9e-05,1e-05,0.00329
5.0,23.0,9e-05,1e-05,0.00273
5.0,25.0,8e-05,1e-05,0.00175
5.0,27.0,9e-05,1e-05,0.00188
5.0,29.0,9e-05,1e-05,0.00248
5.0,31.0,9e-05,1e-05,0.00153
5.0,33.0,9e-05,1e-05,0.00159
5.0,35.0,9e-05,1e-05,0.00177
5.0,37.0,9e-05,1e-05,0.00258
5.0,39.0,8e-05,1e-05,0.00204
5.0,41.0,8e-05,1e-05,0.00177
5.0,43.0,9e-05,1e-05,0.00177
5.0,45.0,9e-05,1e-05,0.00138
5.0,47.0,9e-05,1e-05,0.00214
5.0,49.0,8e-05,1e-05,0.00226
5.0,51.0,9e-05,1e-05,0.00243
5.0,53.0,8e-05,1e-05,0.00209
5.0,55.0,9e-05,1e-05,0.0023
5.0,57.0,9e-05,1e-05,0.00172
5.0,59.0,9e-05,1e-05,0.00283
5.0,61.0,9e-05,1e-05,0.00176
5.0,63.0,9e-05,1e-05,0.00238
5.0,65.0,8e-05,1e-05,0.00214
5.0,67.0,9e-05,1e-05,0.00328
5.0,69.0,9e-05,1e-05,0.0014
5.0,71.0,8e-05,1e-05,0.0016
5.0,73.0,9e-05,1e-05,0.00203
5.0,75.0,8e-05,1e-05,0.00278
5.0,77.0,0.0001,1e-05,0.00167
5.0,79.0,9e-05,1e-05,0.00135
5.0,81.0,8e-05,1e-05,0.00254
5.0,83.0,9e-05,1e-05,0.00182
5.0,85.0,8e-05,1e-05,0.00132
5.0,87.0,8e-05,1e-05,0.00169
5.0,89.0,9e-05,1e-05,0.00311
5.0,91.0,9e-05,1e-05,0.00178
5.0,93.0,9e-05,1e-05,0.00162
5.0,95.0,9e-05,1e-05,0.00203
5.0,97.0,9e-05,1e-05,0.00225
5.0,99.0,8e-05,1e-05,0.00193
5.0,101.0,9e-05,1e-05,0.00207
5.0,103.0,8e-05,1e-05,0.00187
5.0,105.0,8e-05,1e-05,0.00171
5.0,107.0,9e-05,1e-05,0.00176
5.0,109.0,8e-05,1e-05,0.00174
5.0,111.0,9e-05,1e-05,0.00287
5.0,113.0,9e-05,1e-05,0.00196
5.0,115.0,9e-05,1e-05,0.00137
5.0,117.0,9e-05,1e-05,0.00205
5.0,119.0,9e-05,1e-05,0.00104
5.0,121.0,8e-05,1e-05,0.00231
5.0,123.0,9e-05,1e-05,0.0016
5.0,125.0,9e-05,1e-05,0.00139
5.0,127.0,9e-05,1e-05,0.00179
5.0,129.0,8e-05,1e-05,0.00213
5.0,131.0,9e-05,1e-05,0.0017
5.0,133.0,8e-05,1e-05,0.0015
5.0,135.0,9e-05,1e-05,0.00303
5.0,137.0,8e-05,1e-05,0.00224
5.0,139.0,9e-05,1e-05,0.00212
5.0,141.0,8e-05,1e-05,0.00289
5.0,143.0,9e-05,1e-05,0.00084
5.0,145.0,9e-05,1e-05,0.00226
5.0,147.0,8e-05,1e-05,0.00209
5.0,149.0,9e-05,1e-05,0.00182
6.0,1.0,3e-05,1e-05,0.00075
6.0,3.0,,1e-05,0.00112
6.0,5.0,3e-05,1e-05,0.00144
6.0,7.0,3e-05,1e-05,0.00149
6.0,9.0,3e-05,1e-05,0.00169
6.0,11.0,3e-05,1e-05,0.00099
6.0,13.0,3e-05,1e-05,0.0009
6.0,15.0,3e-05,1e-05,0.00185
6.0,17.0,3e-05,1e-05,0.00111
6.0,19.0,3e-05,1e-05,0.00102
6.0,21.0,3e-05,1e-05,0.00139
6.0,23.0,3e-05,1e-05,0.00117
6.0,25.0,3e-05,1e-05,0.00098
6.0,27.0,3e-05,1e-05,0.00167
6.0,29.0,3e-05,1e-05,0.00109
6.0,31.0,3e-05,1e-05,0.00092
6.0,33.0,3e-05,1e-05,0.00176
6.0,35.0,3e-05,1e-05,0.00112
6.0,37.0,3e-05,1e-05,0.00084
6.0,39.0,3e-05,1e-05,0.00109
6.0,41.0,3e-05,1e-05,0.00098
6.0,43.0,3e-05,1e-05,0.00137
6.0,45.0,3e-05,1e-05,0.00149
6.0,47.0,3e-05,1e-05,0.00104
6.0,49.0,2e-05,1e-05,0.00288
6.0,51.0,3e-05,1e-05,0.00078
6.0,53.0,3e-05,1e-05,0.00095
6.0,55.0,3e-05,1e-05,0.00121
6.0,57.0,3e-05,1e-05,0.00137
6.0,59.0,3e-05,1e-05,0.00082
6.0,61.0,3e-05,1e-05,0.00119
6.0,63.0,2e-05,1e-05,0.00135
6.0,65.0,3e-05,1e-05,0.00097
6.0,67.0,3e-05,1e-05,0.00102
6.0,69.0,3e-05,1e-05,0.00097
6.0,71.0,3e-05,1e-05,0.00102
6.0,73.0,3e-05,1e-05,0.0008
6.0,75.0,3e-05,1e-05,0.00065
6.0,77.0,3e-05,1e-05,0.00124
6.0,79.0,3e-05,1e-05,0.00117
6.0,81.0,3e-05,1e-05,0.00079
6.0,83.0,3e-05,1e-05,0.00106
6.0,85.0,3e-05,1e-05,0.00055
6.0,87.0,3e-05,1e-05,0.00083
6.0,89.0,3e-05,1e-05,0.00217
6.0,91.0,3e-05,1e-05,0.0014
6.0,93.0,3e-05,1e-05,0.00242
6.0,95.0,3e-05,1e-05,0.00101
6.0,97.0,3e-05,1e-05,0.00097
6.0,99.0,3e-05,1e-05,0.00117
6.0,101.0,3e-05,1e-05,0.00136
6.0,103.0,3e-05,1e-05,0.00199
6.0,105.0,3e-05,1e-05,0.00127
6.0,107.0,3e-05,1e-05,0.00118
6.0,109.0,3e-05,1e-05,0.00203
6.0,111.0,3e-05,1e-05,0.00086
6.0,113.0,3e-05,1e-05,0.00109
6.0,115.0,3e-05,1e-05,0.00172
8.0,1.0,4e-05,1e-05,0.00103
8.0,3.0,4e-05,1e-05,0.00106
8.0,5.0,4e-05,1e-05,0.00083
8.0,7.0,4e-05,1e-05,0.00125
8.0,9.0,4e-05,1e-05,0.00198
8.0,11.0,4e-05,1e-05,0.00112
8.0,13.0,4e-05,1e-05,0.00075
8.0,14.0,4e-05,1e-05,0.00079
8.0,15.0,4e-05,1e-05,0.00132
8.0,17.0,4e-05,1e-05,0.00161
8.0,19.0,4e-05,1e-05,0.00094
8.0,21.0,4e-05,1e-05,0.00128
8.0,23.0,4e-05,1e-05,0.00152
8.0,25.0,4e-05,1e-05,0.0008
8.0,27.0,4e-05,1e-05,0.00139
8.0,29.0,4e-05,1e-05,0.00227
8.0,31.0,4e-05,1e-05,0.00091
8.0,33.0,4e-05,1e-05,0.00144
8.0,35.0,4e-05,1e-05,0.00065
8.0,37.0,4e-05,1e-05,0.00054
8.0,39.0,4e-05,1e-05,0.0009
8.0,41.0,4e-05,1e-05,0.00106
8.0,43.0,4e-05,1e-05,0.00178
8.0,45.0,4e-05,1e-05,0.00086
8.0,47.0,4e-05,1e-05,0.00075
8.0,49.0,4e-05,1e-05,0.00079
8.0,51.0,4e-05,1e-05,0.00077
8.0,53.0,,1e-05,0.00132
8.0,55.0,4e-05,1e-05,0.00181
8.0,57.0,4e-05,1e-05,0.00132
8.0,59.0,4e-05,1e-05,0.00119
8.0,61.0,4e-05,1e-05,0.00182
8.0,63.0,4e-05,1e-05,0.0013
8.0,65.0,4e-05,1e-05,0.00074
8.0,67.0,4e-05,1e-05,0.00124
8.0,69.0,4e-05,1e-05,0.00096
8.0,71.0,4e-05,1e-05,0.00146
8.0,73.0,4e-05,1e-05,0.00131
8.0,75.0,4e-05,1e-05,0.00176
8.0,77.0,4e-05,1e-05,0.00159
8.0,79.0,,1e-05,0.00154
8.0,81.0,4e-05,1e-05,0.00095
8.0,83.0,4e-05,1e-05,0.00142
8.0,85.0,4e-05,1e-05,0.00151
8.0,87.0,4e-05,1e-05,0.0013
8.0,89.0,4e-05,1e-05,0.00242
8.0,91.0,3e-05,1e-05,0.00125
8.0,93.0,4e-05,1e-05,0.00083
8.0,95.0,4e-05,1e-05,0.0019
8.0,97.0,4e-05,1e-05,0.00089
8.0,99.0,4e-05,1e-05,0.00128
8.0,101.0,4e-05,1e-05,0.00229
8.0,103.0,4e-05,1e-05,0.00108
8.0,105.0,4e-05,1e-05,0.00138
8.0,107.0,4e-05,1e-05,0.00078
8.0,109.0,4e-05,1e-05,0.0011
8.0,111.0,,1e-05,
8.0,113.0,4e-05,1e-05,0.00062
8.0,115.0,3e-05,1e-05,0.00184
8.0,117.0,4e-05,1e-05,0.00059
8.0,119.0,4e-05,1e-05,0.00118
8.0,121.0,4e-05,1e-05,0.00159
8.0,123.0,4e-05,1e-05,0.001
8.0,125.0,4e-05,1e-05,0.00151
9.0,1.0,4e-05,1e-05,0.00099
9.0,3.0,4e-05,1e-05,0.00123
9.0,5.0,4e-05,1e-05,0.00147
9.0,7.0,4e-05,1e-05,0.00114
9.0,9.0,4e-05,1e-05,0.00115
9.0,11.0,4e-05,1e-05,0.00134
9.0,13.0,4e-05,1e-05,0.00112
9.0,15.0,4e-05,1e-05,0.00124
10.0,1.0,4e-05,1e-05,0.00144
10.0,3.0,4e-05,1e-05,0.00113
10.0,5.0,4e-05,1e-05,0.00164
11.0,1.0,4e-05,1e-05,0.00063
12.0,1.0,4e-05,1e-05,0.00102
12.0,3.0,4e-05,1e-05,0.00106
12.0,5.0,4e-05,1e-05,0.00192
12.0,7.0,4e-05,1e-05,0.00154
12.0,9.0,4e-05,1e-05,0.00173
12.0,11.0,4e-05,1e-05,0.00086
12.0,13.0,4e-05,1e-05,0.0027
12.0,15.0,4e-05,1e-05,0.00197
12.0,17.0,4e-05,1e-05,0.00243
12.0,19.0,4e-05,1e-05,0.00136
12.0,21.0,4e-05,1e-05,0.00098
12.0,23.0,4e-05,1e-05,0.00174
12.0,27.0,4e-05,1e-05,0.00167
12.0,29.0,4e-05,1e-05,0.00142
12.0,31.0,4e-05,1e-05,0.00119
12.0,33.0,4e-05,1e-05,0.00143
12.0,35.0,4e-05,1e-05,0.00157
12.0,37.0,4e-05,1e-05,0.00199
12.0,39.0,4e-05,1e-05,0.00126
12.0,41.0,4e-05,1e-05,0.00155
12.0,43.0,4e-05,1e-05,0.00177
12.0,45.0,4e-05,1e-05,0.00187
12.0,47.0,4e-05,1e-05,0.00125
12.0,49.0,4e-05,1e-05,0.00154
12.0,51.0,4e-05,1e-05,0.00114
12.0,53.0,4e-05,1e-05,0.00216
12.0,55.0,4e-05,1e-05,0.00271
12.0,57.0,4e-05,1e-05,0.00105
12.0,59.0,4e-05,1e-05,0.00195
12.0,61.0,4e-05,1e-05,0.00157
12.0,63.0,4e-05,1e-05,0.00196
12.0,65.0,4e-05,1e-05,0.00147
12.0,67.0,4e-05,1e-05,0.00116
12.0,69.0,4e-05,1e-05,0.00148
12.0,71.0,4e-05,1e-05,0.00113
12.0,73.0,4e-05,1e-05,0.00088
12.0,75.0,4e-05,1e-05,0.00247
12.0,77.0,4e-05,1e-05,0.00092
12.0,79.0,4e-05,1e-05,0.00236
12.0,81.0,4e-05,1e-05,0.00121
12.0,83.0,4e-05,1e-05,0.00184
12.0,85.0,4e-05,1e-05,0.00183
12.0,86.0,4e-05,1e-05,0.00085
12.0,87.0,4e-05,1e-05,0.001
12.0,89.0,4e-05,1e-05,0.00142
12.0,91.0,4e-05,1e-05,0.0013
12.0,93.0,4e-05,1e-05,0.00173
12.0,95.0,4e-05,1e-05,0.0007
12.0,97.0,4e-05,1e-05,0.00097
12.0,99.0,4e-05,1e-05,0.00112
12.0,101.0,4e-05,1e-05,0.00175
12.0,103.0,4e-05,1e-05,0.00151
12.0,105.0,4e-05,1e-05,0.0017
12.0,107.0,4e-05,1e-05,0.0019
12.0,109.0,4e-05,1e-05,0.00103
12.0,111.0,4e-05,1e-05,0.00148
12.0,113.0,4e-05,1e-05,0.0011
12.0,115.0,4e-05,1e-05,0.00161
12.0,117.0,4e-05,1e-05,0.00098
12.0,119.0,4e-05,1e-05,0.00151
12.0,121.0,4e-05,1e-05,0.00187
12.0,123.0,4e-05,1e-05,0.00155
12.0,125.0,4e-05,1e-05,0.00094
12.0,127.0,4e-05,1e-05,0.00201
12.0,129.0,4e-05,1e-05,0.00103
12.0,131.0,4e-05,1e-05,0.00121
12.0,133.0,4e-05,1e-05,0.00156
13.0,1.0,5e-05,1e-05,0.00147
13.0,3.0,5e-05,1e-05,0.00116
13.0,5.0,4e-05,1e-05,0.00134
13.0,7.0,5e-05,1e-05,0.00162
13.0,9.0,5e-05,1e-05,0.0019
13.0,11.0,5e-05,1e-05,0.00173
13.0,13.0,5e-05,1e-05,0.00163
13.0,15.0,5e-05,1e-05,0.00157
13.0,17.0,5e-05,1e-05,0.00147
13.0,19.0,5e-05,1e-05,0.00204
13.0,21.0,5e-05,1e-05,0.00168
13.0,23.0,4e-05,1e-05,0.00169
13.0,25.0,4e-05,1e-05,0.00132
13.0,27.0,4e-05,1e-05,0.00155
13.0,29.0,5e-05,1e-05,0.00107
13.0,31.0,5e-05,1e-05,0.00117
13.0,33.0,5e-05,1e-05,0.00138
13.0,35.0,5e-05,1e-05,0.00169
13.0,37.0,5e-05,1e-05,0.00128
13.0,39.0,5e-05,1e-05,0.00112
13.0,43.0,5e-05,1e-05,0.0015
13.0,45.0,5e-05,1e-05,0.00193
13.0,47.0,5e-05,1e-05,0.00192
13.0,49.0,4e-05,1e-05,0.00123
13.0,51.0,5e-05,1e-05,0.00117
13.0,53.0,5e-05,1e-05,0.00062
13.0,55.0,5e-05,1e-05,0.00241
13.0,57.0,5e-05,1e-05,0.00113
13.0,59.0,5e-05,1e-05,0.00108
13.0,61.0,4e-05,1e-05,0.00202
13.0,63.0,5e-05,1e-05,0.00087
13.0,65.0,5e-05,1e-05,0.00133
13.0,67.0,5e-05,1e-05,0.00069
13.0,69.0,5e-05,1e-05,0.00191
13.0,71.0,5e-05,1e-05,0.00167
13.0,73.0,4e-05,1e-05,0.001
13.0,75.0,5e-05,1e-05,0.0014
13.0,77.0,5e-05,1e-05,0.00127
13.0,79.0,4e-05,1e-05,0.00142
13.0,81.0,5e-05,1e-05,0.00158
13.0,83.0,5e-05,1e-05,0.00155
13.0,85.0,5e-05,1e-05,0.00143
13.0,87.0,5e-05,1e-05,0.00152
13.0,89.0,5e-05,1e-05,0.00062
13.0,91.0,5e-05,1e-05,0.00135
13.0,93.0,4e-05,1e-05,0.00137
13.0,95.0,5e-05,1e-05,0.00159
13.0,97.0,5e-05,1e-05,0.00088
13.0,99.0,5e-05,1e-05,0.00172
13.0,101.0,4e-05,1e-05,0.00114
13.0,103.0,5e-05,1e-05,0.0016
13.0,105.0,5e-05,1e-05,0.00202
13.0,107.0,5e-05,1e-05,0.0018
13.0,109.0,4e-05,1e-05,0.00144
13.0,111.0,5e-05,1e-05,0.00227
13.0,113.0,5e-05,1e-05,0.00137
13.0,115.0,5e-05,1e-05,0.00184
13.0,117.0,4e-05,1e-05,0.00086
13.0,119.0,5e-05,1e-05,0.00183
13.0,121.0,5e-05,1e-05,0.00069
13.0,123.0,5e-05,1e-05,0.002
13.0,125.0,5e-05,1e-05,0.00165
13.0,127.0,5e-05,1e-05,0.0015
13.0,129.0,5e-05,1e-05,0.00156
13.0,131.0,5e-05,1e-05,0.00151
13.0,133.0,4e-05,1e-05,0.00192
13.0,135.0,5e-05,1e-05,0.00065
13.0,137.0,5e-05,1e-05,0.00195
13.0,139.0,5e-05,1e-05,0.00122
