State ANSI,County ANSI,Percent Deaths_0-5,Percent Deaths_5-25,Percent Deaths_25+
1.0,1.0,,,
1.0,3.0,,,
1.0,5.0,,,
1.0,7.0,,,
1.0,9.0,,,
1.0,11.0,,,
1.0,13.0,,,
1.0,15.0,,,
1.0,17.0,,,
1.0,19.0,,,
1.0,21.0,,,
1.0,23.0,,,
1.0,25.0,,,
1.0,27.0,,,
1.0,29.0,,,
1.0,31.0,,,
1.0,33.0,,,
1.0,35.0,,,
1.0,37.0,,,
1.0,39.0,,,
1.0,41.0,,,
1.0,43.0,,,
1.0,45.0,,,
1.0,47.0,,,
1.0,49.0,,,
1.0,51.0,,,
1.0,53.0,,,
1.0,55.0,,,
1.0,57.0,,,
1.0,59.0,,,
1.0,61.0,,,
1.0,63.0,,,
1.0,65.0,,,
1.0,67.0,,,
1.0,69.0,,,
1.0,71.0,,,
1.0,73.0,,,
1.0,75.0,,,
1.0,77.0,,,
1.0,79.0,,,
1.0,81.0,,,
1.0,83.0,,,
1.0,85.0,,,
1.0,87.0,,,
1.0,89.0,,,
1.0,91.0,,,
1.0,93.0,,,
1.0,95.0,,,
1.0,97.0,,,
1.0,99.0,,,
1.0,101.0,,,
1.0,103.0,,,
1.0,105.0,,,
1.0,107.0,,,
1.0,109.0,,,
1.0,111.0,,,
1.0,113.0,,,
1.0,115.0,,,
1.0,117.0,,,
1.0,119.0,,,
1.0,121.0,,,
1.0,123.0,,,
1.0,125.0,,,
1.0,127.0,,,
1.0,129.0,,,
1.0,131.0,,,
1.0,133.0,,,
2.0,13.0,,,
2.0,16.0,,,
2.0,20.0,,,
2.0,50.0,,,
2.0,60.0,,,
2.0,68.0,,,
2.0,70.0,,,
2.0,90.0,,,
2.0,100.0,,,
2.0,105.0,,,
2.0,110.0,,,
2.0,122.0,,,
2.0,130.0,,,
2.0,150.0,,,
,,,,
2.0,164.0,,,
2.0,170.0,,,
2.0,180.0,,,
2.0,185.0,,,
2.0,188.0,,,
2.0,195.0,,,
2.0,198.0,,,
2.0,220.0,,,
2.0,230.0,,,
2.0,240.0,,,
2.0,261.0,,,
2.0,275.0,,,
2.0,282.0,,,
2.0,290.0,,,
4.0,1.0,,,
4.0,3.0,,,
4.0,5.0,,,
4.0,7.0,,,
4.0,9.0,,,
4.0,11.0,,,
4.0,12.0,,,
4.0,13.0,,,0.00103
4.0,15.0,,,
4.0,17.0,,,
4.0,19.0,,,
4.0,21.0,,,
4.0,23.0,,,
4.0,25.0,,,
4.0,27.0,,,
5.0,1.0,,,
5.0,3.0,,,
5.0,5.0,,,
5.0,7.0,,,
5.0,9.0,,,
5.0,11.0,,,
5.0,13.0,,,
5.0,15.0,,,
5.0,17.0,,,
5.0,19.0,,,
5.0,21.0,,,
5.0,23.0,,,
5.0,25.0,,,
5.0,27.0,,,
5.0,29.0,,,
5.0,31.0,,,
5.0,33.0,,,
5.0,35.0,,,
5.0,37.0,,,
5.0,39.0,,,
5.0,41.0,,,
5.0,43.0,,,
5.0,45.0,,,
5.0,47.0,,,
5.0,49.0,,,
5.0,51.0,,,
5.0,53.0,,,
5.0,55.0,,,
5.0,57.0,,,
5.0,59.0,,,
5.0,61.0,,,
5.0,63.0,,,
5.0,65.0,,,
5.0,67.0,,,
5.0,69.0,,,
5.0,71.0,,,
5.0,73.0,,,
5.0,75.0,,,
5.0,77.0,,,
5.0,79.0,,,
5.0,81.0,,,
5.0,83.0,,,
5.0,85.0,,,
5.0,87.0,,,
5.0,89.0,,,
5.0,91.0,,,
5.0,93.0,,,
5.0,95.0,,,
5.0,97.0,,,
5.0,99.0,,,
5.0,101.0,,,
5.0,103.0,,,
5.0,105.0,,,
5.0,107.0,,,
5.0,109.0,,,
5.0,111.0,,,
5.0,113.0,,,
5.0,115.0,,,
5.0,117.0,,,
5.0,119.0,,,
5.0,121.0,,,
5.0,123.0,,,
5.0,125.0,,,
5.0,127.0,,,
5.0,129.0,,,
5.0,131.0,,,
5.0,133.0,,,
5.0,135.0,,,
5.0,137.0,,,
5.0,139.0,,,
5.0,141.0,,,
5.0,143.0,,,
5.0,145.0,,,
5.0,147.0,,,
5.0,149.0,,,
6.0,1.0,,,
6.0,3.0,,,
6.0,5.0,,,
6.0,7.0,,,
6.0,9.0,,,
6.0,11.0,,,
6.0,13.0,,,
6.0,15.0,,,
6.0,17.0,,,
6.0,19.0,,,
6.0,21.0,,,
6.0,23.0,,,
6.0,25.0,,,
6.0,27.0,,,
6.0,29.0,,,
6.0,31.0,,,
6.0,33.0,,,
6.0,35.0,,,
6.0,37.0,,,0.00084
6.0,39.0,,,
6.0,41.0,,,
6.0,43.0,,,
6.0,45.0,,,
6.0,47.0,,,
6.0,49.0,,,
6.0,51.0,,,
6.0,53.0,,,
6.0,55.0,,,
6.0,57.0,,,
6.0,59.0,,,
6.0,61.0,,,
6.0,63.0,,,
6.0,65.0,,,
6.0,67.0,,,
6.0,69.0,,,
6.0,71.0,,,
6.0,73.0,,,
6.0,75.0,,,
6.0,77.0,,,
6.0,79.0,,,
6.0,81.0,,,
6.0,83.0,,,
6.0,85.0,,,
6.0,87.0,,,
6.0,89.0,,,
6.0,91.0,,,
6.0,93.0,,,
6.0,95.0,,,
6.0,97.0,,,
6.0,99.0,,,
6.0,101.0,,,
6.0,103.0,,,
6.0,105.0,,,
6.0,107.0,,,
6.0,109.0,,,
6.0,111.0,,,
6.0,113.0,,,
6.0,115.0,,,
8.0,1.0,,,
8.0,3.0,,,
8.0,5.0,,,
8.0,7.0,,,
8.0,9.0,,,
8.0,11.0,,,
8.0,13.0,,,
8.0,14.0,,,
8.0,15.0,,,
8.0,17.0,,,
8.0,19.0,,,
8.0,21.0,,,
8.0,23.0,,,
8.0,25.0,,,
8.0,27.0,,,
8.0,29.0,,,
8.0,31.0,,,
8.0,33.0,,,
8.0,35.0,,,
8.0,37.0,,,
8.0,39.0,,,
8.0,41.0,,,
8.0,43.0,,,
8.0,45.0,,,
8.0,47.0,,,
8.0,49.0,,,
8.0,51.0,,,
8.0,53.0,,,
8.0,55.0,,,
8.0,57.0,,,
8.0,59.0,,,
8.0,61.0,,,
8.0,63.0,,,
8.0,65.0,,,
8.0,67.0,,,
8.0,69.0,,,
8.0,71.0,,,
8.0,73.0,,,
8.0,75.0,,,
8.0,77.0,,,
8.0,79.0,,,
8.0,81.0,,,
8.0,83.0,,,
8.0,85.0,,,
8.0,87.0,,,
8.0,89.0,,,
8.0,91.0,,,
8.0,93.0,,,
8.0,95.0,,,
8.0,97.0,,,
8.0,99.0,,,
8.0,101.0,,,
8.0,103.0,,,
8.0,105.0,,,
8.0,107.0,,,
8.0,109.0,,,
8.0,111.0,,,
8.0,113.0,,,
8.0,115.0,,,
8.0,117.0,,,
8.0,119.0,,,
8.0,121.0,,,
8.0,123.0,,,
8.0,125.0,,,
9.0,1.0,,,
9.0,3.0,,,
9.0,5.0,,,
9.0,7.0,,,
9.0,9.0,,,
9.0,11.0,,,
9.0,13.0,,,
9.0,15.0,,,
10.0,1.0,,,
10.0,3.0,,,
10.0,5.0,,,
11.0,1.0,,,
12.0,1.0,,,
12.0,3.0,,,
12.0,5.0,,,
12.0,7.0,,,
12.0,9.0,,,
12.0,11.0,,,
12.0,13.0,,,
12.0,15.0,,,
12.0,17.0,,,
12.0,19.0,,,
12.0,21.0,,,
12.0,23.0,,,
12.0,27.0,,,
12.0,29.0,,,
12.0,31.0,,,
12.0,33.0,,,
12.0,35.0,,,
12.0,37.0,,,
12.0,39.0,,,
12.0,41.0,,,
12.0,43.0,,,
12.0,45.0,,,
12.0,47.0,,,
12.0,49.0,,,
12.0,51.0,,,
12.0,53.0,,,
12.0,55.0,,,
12.0,57.0,,,
12.0,59.0,,,
12.0,61.0,,,
12.0,63.0,,,
12.0,65.0,,,
12.0,67.0,,,
12.0,69.0,,,
12.0,71.0,,,
12.0,73.0,,,
12.0,75.0,,,
12.0,77.0,,,
12.0,79.0,,,
12.0,81.0,,,
12.0,83.0,,,
12.0,85.0,,,
12.0,86.0,,,
12.0,87.0,,,
12.0,89.0,,,
12.0,91.0,,,
12.0,93.0,,,
12.0,95.0,,,
12.0,97.0,,,
12.0,99.0,,,
12.0,101.0,,,
12.0,103.0,,,
12.0,105.0,,,
12.0,107.0,,,
12.0,109.0,,,
12.0,111.0,,,
12.0,113.0,,,
12.0,115.0,,,
12.0,117.0,,,
12.0,119.0,,,
12.0,121.0,,,
12.0,123.0,,,
12.0,125.0,,,
12.0,127.0,,,
12.0,129.0,,,
12.0,131.0,,,
12.0,133.0,,,
13.0,1.0,,,
13.0,3.0,,,
13.0,5.0,,,
13.0,7.0,,,
13.0,9.0,,,
13.0,11.0,,,
13.0,13.0,,,
13.0,15.0,,,
13.0,17.0,,,
13.0,19.0,,,
13.0,21.0,,,
13.0,23.0,,,
13.0,25.0,,,
13.0,27.0,,,
13.0,29.0,,,
13.0,31.0,,,
13.0,33.0,,,
13.0,35.0,,,
13.0,37.0,,,
13.0,39.0,,,
13.0,43.0,,,
13.0,45.0,,,
13.0,47.0,,,
13.0,49.0,,,
13.0,51.0,,,
13.0,53.0,,,
13.0,55.0,,,
13.0,57.0,,,
13.0,59.0,,,
13.0,61.0,,,
13.0,63.0,,,
13.0,65.0,,,
13.0,67.0,,,
13.0,69.0,,,
13.0,71.0,,,
13.0,73.0,,,
13.0,75.0,,,
13.0,77.0,,,
13.0,79.0,,,
13.0,81.0,,,
13.0,83.0,,,
13.0,85.0,,,
13.0,87.0,,,
13.0,89.0,,,
13.0,91.0,,,
13.0,93.0,,,
13.0,95.0,,,
13.0,97.0,,,
13.0,99.0,,,
13.0,101.0,,,
13.0,103.0,,,
13.0,105.0,,,
13.0,107.0,,,
13.0,109.0,,,
13.0,111.0,,,
13.0,113.0,,,
13.0,115.0,,,
13.0,117.0,,,
13.0,119.0,,,
13.0,121.0,,,
13.0,123.0,,,
13.0,125.0,,,
13.0,127.0,,,
13.0,129.0,,,
13.0,131.0,,,
13.0,133.0,,,
13.0,135.0,,,
13.0,137.0,,,
13.0,139.0,,,
13.0,141.0,,,
13.0,143.0,,,
13.0,145.0,,,
13.0,147.0,,,
13.0,149.0,,,
13.0,151.0,,,
13.0,153.0,,,
13.0,155.0,,,
13.0,157.0,,,
13.0,159.0,,,
13.0,161.0,,,
13.0,163.0,,,
13.0,165.0,,,
13.0,167.0,,,
13.0,169.0,,,
13.0,171.0,,,
13.0,173.0,,,
13.0,175.0,,,
13.0,177.0,,,
13.0,179.0,,,
13.0,181.0,,,
13.0,183.0,,,
13.0,185.0,,,
13.0,187.0,,,
13.0,189.0,,,
13.0,191.0,,,
13.0,193.0,,,
13.0,195.0,,,
13.0,197.0,,,
13.0,199.0,,,
13.0,201.0,,,
13.0,205.0,,,
13.0,207.0,,,
13.0,209.0,,,
13.0,211.0,,,
13.0,213.0,,,
13.0,215.0,,,
13.0,217.0,,,
13.0,219.0,,,
13.0,221.0,,,
13.0,223.0,,,
13.0,225.0,,,
13.0,227.0,,,
13.0,229.0,,,
13.0,231.0,,,
13.0,233.0,,,
13.0,235.0,,,
13.0,237.0,,,
13.0,239.0,,,
13.0,241.0,,,
13.0,243.0,,,
13.0,245.0,,,
13.0,247.0,,,
13.0,249.0,,,
13.0,251.0,,,
13.0,253.0,,,
13.0,255.0,,,
13.0,257.0,,,
13.0,259.0,,,
13.0,261.0,,,
13.0,263.0,,,
13.0,265.0,,,
13.0,267.0,,,
13.0,269.0,,,
13.0,271.0,,,
13.0,273.0,,,
13.0,275.0,,,
13.0,277.0,,,
13.0,279.0,,,
13.0,281.0,,,
13.0,283.0,,,
13.0,285.0,,,
13.0,287.0,,,
13.0,289.0,,,
13.0,291.0,,,
13.0,293.0,,,
13.0,295.0,,,
13.0,297.0,,,
13.0,299.0,,,
13.0,301.0,,,
13.0,303.0,,,
13.0,305.0,,,
13.0,307.0,,,
13.0,309.0,,,
13.0,311.0,,,
13.0,313.0,,,
13.0,315.0,,,
13.0,317.0,,,
13.0,319.0,,,
13.0,321.0,,,
15.0,1.0,,,
15.0,3.0,,,
15.0,5.0,,,
15.0,7.0,,,
15.0,9.0,,,
16.0,1.0,,,
16.0,3.0,,,
16.0,5.0,,,
16.0,7.0,,,
16.0,9.0,,,
16.0,11.0,,,
16.0,13.0,,,
16.0,15.0,,,
16.0,17.0,,,
16.0,19.0,,,
16.0,21.0,,,
16.0,23.0,,,
16.0,25.0,,,
16.0,27.0,,,
16.0,29.0,,,
16.0,31.0,,,
16.0,33.0,,,
16.0,35.0,,,
16.0,37.0,,,
16.0,39.0,,,
16.0,41.0,,,
16.0,43.0,,,
16.0,45.0,,,
16.0,47.0,,,
16.0,49.0,,,
16.0,51.0,,,
16.0,53.0,,,
16.0,55.0,,,
16.0,57.0,,,
16.0,59.0,,,
16.0,61.0,,,
16.0,63.0,,,
16.0,65.0,,,
16.0,67.0,,,
16.0,69.0,,,
16.0,71.0,,,
16.0,73.0,,,
16.0,75.0,,,
16.0,77.0,,,
16.0,79.0,,,
16.0,81.0,,,
16.0,83.0,,,
16.0,85.0,,,
16.0,87.0,,,
17.0,1.0,,,
17.0,3.0,,,
17.0,5.0,,,
17.0,7.0,,,
17.0,9.0,,,
17.0,11.0,,,
17.0,13.0,,,
17.0,15.0,,,
17.0,17.0,,,
17.0,19.0,,,
17.0,21.0,,,
17.0,23.0,,,
17.0,25.0,,,
17.0,27.0,,,
17.0,29.0,,,
17.0,31.0,,,0.00093
17.0,33.0,,,
17.0,35.0,,,
17.0,37.0,,,
17.0,39.0,,,
17.0,41.0,,,
17.0,43.0,,,
17.0,45.0,,,
17.0,47.0,,,
17.0,49.0,,,
17.0,51.0,,,
17.0,53.0,,,
17.0,55.0,,,
17.0,57.0,,,
17.0,59.0,,,
17.0,61.0,,,
17.0,63.0,,,
17.0,65.0,,,
17.0,67.0,,,
17.0,69.0,,,
17.0,71.0,,,
17.0,73.0,,,
17.0,75.0,,,
17.0,77.0,,,
17.0,79.0,,,
17.0,81.0,,,
17.0,83.0,,,
17.0,85.0,,,
17.0,87.0,,,
17.0,89.0,,,
17.0,91.0,,,
17.0,93.0,,,
17.0,95.0,,,
17.0,97.0,,,
17.0,99.0,,,
17.0,101.0,,,
17.0,103.0,,,
17.0,105.0,,,
17.0,107.0,,,
17.0,109.0,,,
17.0,111.0,,,
17.0,113.0,,,
17.0,115.0,,,
17.0,117.0,,,
17.0,119.0,,,
17.0,121.0,,,
17.0,123.0,,,
17.0,125.0,,,
17.0,127.0,,,
17.0,129.0,,,
17.0,131.0,,,
17.0,133.0,,,
17.0,135.0,,,
17.0,137.0,,,
17.0,139.0,,,
17.0,141.0,,,
17.0,143.0,,,
17.0,145.0,,,
17.0,147.0,,,
17.0,149.0,,,
17.0,151.0,,,
17.0,153.0,,,
17.0,155.0,,,
17.0,157.0,,,
17.0,159.0,,,
17.0,161.0,,,
17.0,163.0,,,
17.0,165.0,,,
17.0,167.0,,,
17.0,169.0,,,
17.0,171.0,,,
17.0,173.0,,,
17.0,175.0,,,
17.0,177.0,,,
17.0,179.0,,,
17.0,181.0,,,
17.0,183.0,,,
17.0,185.0,,,
17.0,187.0,,,
17.0,189.0,,,
17.0,191.0,,,
17.0,193.0,,,
17.0,195.0,,,
17.0,197.0,,,
17.0,199.0,,,
17.0,201.0,,,
17.0,203.0,,,
18.0,1.0,,,
18.0,3.0,,,
18.0,5.0,,,
