State ANSI,County ANSI,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $"
1,1,"249,647,000"
1,11,"246,923,000"
1,47,"493,309,000"
1,51,"280,736,000"
1,63,"299,179,000"
1,65,"356,619,000"
1,85,"385,183,000"
1,87,"282,183,000"
1,91,"295,745,000"
1,101,"619,969,000"
1,105,"360,378,000"
1,119,"337,435,000"
1,3,"1,017,694,000"
1,13,"207,048,000"
1,23,"169,043,000"
1,25,"147,230,000"
1,35,"222,855,000"
1,53,"259,954,000"
1,97,"449,845,000"
1,99,"338,976,000"
1,129,"242,220,000"
1,131,"300,545,000"
1,9,"533,674,000"
1,15,"377,908,000"
1,19,"384,402,000"
1,29,"167,453,000"
1,43,"831,581,000"
1,49,"973,544,000"
1,55,"342,714,000"
1,71,"664,771,000"
1,95,"643,033,000"
1,115,"252,246,000"
1,33,"400,622,000"
1,59,"317,513,000"
1,77,"763,403,000"
1,79,"811,453,000"
1,83,"928,982,000"
1,89,"981,240,000"
1,93,"193,185,000"
1,103,"593,829,000"
1,133,"157,971,000"
1,7,"157,097,000"
1,17,"323,332,000"
1,21,"269,305,000"
1,27,"200,061,000"
1,37,"105,232,000"
1,57,"150,526,000"
1,73,"167,356,000"
1,75,"136,861,000"
1,81,"281,245,000"
1,107,"264,993,000"
1,111,"379,904,000"
1,117,"267,222,000"
1,121,"263,083,000"
1,123,"187,940,000"
1,125,"319,369,000"
1,127,"196,189,000"
1,5,"341,020,000"
1,31,"466,572,000"
1,39,"433,309,000"
1,41,"285,197,000"
1,45,"412,275,000"
1,61,"453,917,000"
1,67,"448,917,000"
1,69,"524,803,000"
1,109,"434,161,000"
1,113,"250,726,000"
2,122,"79,920,000"
2,20,"283,429,000"
2,110,"52,909,000"
2,13,"26,387,000"
2,90,"167,306,000"
4,1,"1,526,995,000"
4,5,"1,301,954,000"
4,7,"471,891,000"
4,15,"625,401,000"
4,17,"975,274,000"
4,25,"1,357,337,000"
4,3,"1,952,165,000"
4,9,"836,174,000"
4,11,"102,756,000"
4,12,"503,469,000"
4,13,"4,382,014,000"
4,19,"1,380,703,000"
