State ANSI,County ANSI,"AG LAND, CROPLAND - ACRES"
1,1,"36,890"
1,11,"19,969"
1,47,"76,697"
1,51,"34,857"
1,63,"20,423"
1,65,"20,732"
1,85,"46,465"
1,87,"40,813"
1,91,"28,043"
1,101,"56,953"
1,105,"41,229"
1,119,"31,110"
1,3,"110,438"
1,13,"17,717"
1,23,"6,618"
1,25,"11,181"
1,35,"26,654"
1,53,"55,335"
1,97,"37,655"
1,99,"42,062"
1,129,"22,306"
1,131,"26,871"
1,9,"43,793"
1,15,"28,470"
1,19,"72,801"
1,29,"8,949"
1,43,"60,878"
1,49,"91,495"
1,55,"24,753"
1,71,"95,474"
1,95,"44,894"
1,115,"14,424"
1,33,"85,790"
1,59,"32,410"
1,77,"108,970"
1,79,"120,799"
1,83,"151,108"
1,89,"131,529"
1,93,"20,310"
1,103,"45,885"
1,133,"11,895"
1,7,"15,823"
1,17,"12,486"
1,21,"21,995"
1,27,"12,210"
1,37,"5,157"
1,57,"20,950"
1,73,"6,991"
1,75,"12,006"
1,81,"8,981"
1,107,"27,117"
1,111,"19,723"
1,117,"26,226"
1,121,"29,984"
1,123,"8,540"
1,125,"23,491"
1,127,"15,954"
1,5,"37,304"
1,31,"64,258"
1,39,"54,263"
1,41,"23,616"
1,45,"52,506"
1,61,"81,700"
1,67,"74,181"
1,69,"85,934"
1,109,"40,591"
1,113,"31,151"
2,122,"3,796"
2,20,"15,585"
2,110,51
2,13,"1,074"
2,90,"63,226"
4,1,"30,354"
4,5,"6,914"
4,7,"2,312"
4,15,"30,724"
4,17,"66,007"
4,25,"8,037"
4,3,"152,855"
4,9,"52,368"
4,11,"4,954"
4,12,"102,644"
4,13,"257,187"
4,19,"40,729"
4,21,"294,103"
4,23,"3,182"
4,27,"234,278"
5,29,"79,868"
5,45,"69,964"
5,51,"8,214"
5,53,"7,563"
5,59,"20,390"
5,105,"31,676"
5,119,"44,595"
5,125,"12,805"
5,1,"358,999"
5,35,"292,544"
5,37,"251,765"
5,77,"246,706"
5,85,"284,946"
5,95,"188,960"
5,107,"355,288"
5,117,"213,099"
5,123,"231,511"
5,147,"227,979"
5,5,"13,279"
5,23,"29,223"
5,49,"27,524"
5,65,"31,737"
5,89,"23,208"
5,129,"30,075"
5,135,"30,101"
5,137,"31,226"
5,141,"21,616"
5,21,"258,170"
5,31,"293,501"
5,55,"214,664"
5,63,"83,433"
5,67,"243,413"
5,75,"204,129"
5,93,"469,286"
5,111,"298,820"
5,121,"104,279"
5,145,"153,217"
5,7,"72,902"
5,9,"42,283"
5,15,"54,566"
5,87,"60,717"
5,101,"14,597"
5,143,"85,129"
5,11,"6,188"
5,13,"3,078"
5,19,"29,620"
5,25,"6,685"
5,27,"12,110"
5,39,"4,165"
5,99,"21,507"
5,103,"5,437"
5,139,"8,178"
5,3,"103,931"
5,17,"273,282"
5,41,"279,098"
5,43,"77,019"
5,69,"253,355"
5,79,"161,489"
5,57,"51,514"
5,61,"34,498"
5,73,"67,718"
5,81,"58,160"
5,91,"58,178"
5,97,"22,436"
5,109,"23,054"
5,133,"30,023"
5,33,"52,158"
5,47,"56,457"
5,71,"38,837"
5,83,"63,009"
5,113,"37,600"
5,115,"56,802"
5,127,"25,942"
5,131,"29,063"
5,149,"57,389"
6,1,"17,276"
6,13,"41,481"
6,33,"20,079"
6,41,"13,744"
6,53,"366,709"
6,55,"67,701"
6,69,"35,577"
6,75, (D)
6,79,"246,361"
6,81,"6,891"
6,85,"34,273"
6,87,"23,470"
6,97,"129,883"
6,35,"56,281"
6,49,"159,907"
6,63,"29,207"
6,15,"7,878"
6,23,"20,618"
6,45,"64,296"
6,7,"214,211"
6,11,"277,474"
6,21,"265,050"
6,67,"118,773"
6,95,"152,139"
6,101,"257,339"
6,103,"77,153"
6,113,"312,775"
6,115,"79,314"
6,19,"1,142,664"
6,29,"954,059"
6,31,"488,461"
6,39,"346,133"
6,47,"546,460"
6,77,"524,356"
6,99,"404,702"
6,107,"721,368"
6,3, (D)
6,5,"14,646"
6,9,"14,848"
6,17,"8,420"
6,27,"13,579"
6,43,"5,824"
6,51,"7,913"
6,57,"4,816"
6,61,"28,496"
6,91,"3,697"
6,109,"1,519"
6,89,"38,941"
6,93,"142,837"
6,105,"1,737"
6,25,"504,037"
6,37,"29,624"
6,59,"9,564"
6,65,"179,739"
6,71,"29,305"
6,73,"64,080"
6,83,"146,259"
6,111,"123,361"
8,1,"586,828"
8,5,"136,849"
8,17,"599,063"
8,31,43
8,35,"26,536"
8,41,"51,531"
8,39,"189,920"
8,61,"676,329"
8,63,"890,703"
8,73,"588,312"
8,95,"384,426"
8,121,"836,159"
8,125,"628,161"
8,13,"38,128"
8,14,"7,695"
8,59,"5,446"
8,69,"98,639"
8,75,"562,650"
8,87,"340,373"
8,115,"228,063"
8,123,"922,979"
8,15,"17,150"
8,19,924
8,37,"15,360"
8,47,484
8,49,"36,525"
8,51,"49,344"
8,57,"67,437"
8,65,530
8,81,"123,447"
8,93,"11,163"
8,97,"5,902"
8,103,"43,663"
8,107,"80,958"
8,117,"6,768"
8,119,"5,573"
8,3,"81,082"
8,21,"131,453"
8,23,"50,567"
8,79,742
8,105,"109,145"
8,109,"132,699"
8,9,"742,370"
8,11,"93,280"
8,25,"30,995"
8,27,"28,989"
8,43,"15,097"
8,55,"19,449"
8,71,"75,578"
8,89,"78,064"
8,99,"525,180"
8,101,"72,025"
8,7,"12,532"
8,29,"69,393"
8,33,"69,871"
8,45,"77,405"
8,53,"1,067"
8,67,"89,669"
8,77,"79,815"
8,83,"117,243"
8,85,"65,605"
8,91,"8,624"
8,113,"14,259"
9,1,"4,562"
9,3,"26,209"
9,5,"37,395"
9,7,"6,474"
9,9,"11,448"
9,11,"23,921"
9,13,"16,231"
9,15,"22,369"
10,1,"155,657"
10,3,"53,732"
10,5,"242,822"
12,1,"55,874"
12,7,"12,883"
12,17,"9,558"
12,19,"4,669"
12,35,"5,796"
12,41,"42,045"
12,53,"8,193"
12,57,"76,318"
12,69,"43,456"
12,75,"79,050"
12,83,"79,343"
12,95,"15,660"
12,97,"40,202"
12,101,"25,873"
12,103,684
12,105,"131,034"
12,107,"13,525"
12,117,"7,057"
12,109,"17,460"
12,119,"21,260"
12,125,"10,268"
12,127,"25,088"
12,3,"3,600"
12,23,"33,561"
12,29,"16,254"
12,31,"5,925"
12,47,"33,599"
12,67,"32,441"
12,79,"47,450"
12,89,"4,624"
12,121,"78,454"
12,123,"4,511"
12,5,"4,583"
12,13,"25,439"
12,33,"33,121"
12,37,63
12,39,"19,417"
12,45,"1,569"
12,59,"36,298"
12,63,"152,326"
12,65,"35,584"
12,73,"7,582"
12,77,"1,414"
12,91,"13,694"
12,113,"52,828"
12,129,"1,959"
12,131,"23,103"
12,133,"16,010"
12,9,"20,987"
12,11,"1,634"
12,15,"18,547"
12,21,"82,705"
12,27,"73,476"
12,43,"43,938"
12,49,"68,273"
12,51,"203,451"
12,55,"87,556"
12,61,"55,459"
12,71,"22,181"
12,81,"71,172"
12,85,"49,573"
12,86,"55,206"
12,87,92
12,93,"42,198"
12,99,"438,911"
12,115,"11,042"
12,111,"68,697"
13,9,"7,951"
13,21,"4,073"
13,23,"23,187"
13,35,"6,406"
13,79,"10,739"
13,91,"36,331"
13,133,"9,002"
13,141,"5,720"
13,153,"18,278"
13,159,"7,983"
13,167,"25,041"
13,169,"7,132"
13,175,"42,701"
13,207,"5,587"
13,209,"22,490"
13,211,"25,986"
13,217,"8,549"
13,225,"33,818"
13,235,"28,818"
13,237,"14,721"
13,247,978
13,265,"2,157"
13,283,"11,506"
13,289,"14,002"
13,303,"35,138"
13,309,"7,293"
13,319,"11,044"
13,31,"126,113"
13,33,"123,258"
13,43,"24,505"
13,73,"3,378"
13,103,"28,416"
13,107,"45,685"
13,125,"6,066"
13,163,"69,677"
13,165,"33,403"
13,189,"10,955"
13,245,"4,145"
13,251,"80,867"
13,301,"11,325"
13,13,"6,122"
13,57,"6,567"
13,59,"1,557"
13,67,444
13,85,"3,898"
13,89,35
13,111,"3,967"
13,117,"5,292"
13,121,"2,171"
13,123,"6,890"
13,135,"3,005"
13,139,"13,751"
13,157,"19,808"
13,187,"6,908"
13,219,"7,913"
13,227,"4,047"
13,281,"2,037"
13,291,"7,332"
13,297,"13,445"
13,311,"6,215"
13,11,"12,063"
13,105,"19,190"
13,119,"21,007"
13,137,"9,748"
13,147,"26,126"
13,181,"3,311"
13,195,"23,012"
13,221,"17,913"
13,241,"3,101"
13,257,"4,780"
13,317,"18,851"
13,15,"16,941"
13,47,"7,493"
13,55,"15,857"
13,83,"4,772"
13,115,"21,712"
13,129,"29,771"
13,213,"11,879"
13,223,"4,066"
13,233,"28,651"
13,295,"26,126"
13,313,"9,093"
13,3,"40,785"
13,17,"22,431"
13,19,"61,152"
13,27,"91,645"
13,65,"8,927"
13,69,"103,480"
13,71,"120,809"
13,75,"48,891"
13,81,"66,925"
13,93,"121,172"
13,101,"9,160"
13,155,"73,332"
13,161,"46,327"
13,173,"25,387"
13,185,"24,409"
13,271,"17,520"
13,277,"76,987"
13,287,"58,168"
13,315,"54,132"
13,321,"129,899"
13,1,"85,107"
13,5,"38,596"
13,25,"5,735"
13,29,"3,541"
13,39,"2,114"
13,49,"2,297"
13,51,"1,707"
13,109,"14,389"
13,127,203
13,179,997
13,183,"3,025"
13,191,"1,038"
13,229,"47,611"
13,267,"52,461"
13,279,"39,400"
13,299,"22,592"
13,305,"20,289"
13,7,"53,208"
13,37,"66,325"
13,61,"23,015"
13,87,"133,418"
13,95,"24,049"
13,99,"79,977"
13,131,"69,647"
13,177,"60,112"
13,201,"54,579"
13,205,"121,814"
13,239,"4,196"
13,243,"66,272"
