State ANSI,County ANSI,"AG LAND, PASTURELAND - ACRES"
1,1,"28,824"
1,11,"37,436"
1,47,"67,130"
1,51,"29,252"
1,63,"45,828"
1,65,"71,937"
1,85,"107,453"
1,87,"31,981"
1,91,"56,553"
1,101,"119,085"
1,105,"44,942"
1,119,"60,027"
1,3,"34,111"
1,13,"19,545"
1,23,"13,922"
1,25,"17,849"
1,35,"23,112"
1,53,"16,663"
1,97,"24,003"
1,99,"28,742"
1,129,"22,126"
1,131,"44,964"
1,9,"71,373"
1,15,"33,645"
1,19,"26,573"
1,29,"22,443"
1,43,"90,357"
1,49,"107,871"
1,55,"37,278"
1,71,"66,938"
1,95,"66,563"
1,115,"27,626"
1,33,"35,920"
1,59,"61,956"
1,77,"63,831"
1,79,"65,751"
1,83,"47,989"
1,89,"28,596"
1,93,"34,585"
1,103,"57,040"
1,133,"30,701"
1,7,"16,473"
1,17,"48,144"
1,21,"30,973"
1,27,"38,962"
1,37,"19,503"
1,57,"17,785"
1,73,"10,165"
1,75,"15,708"
1,81,"22,753"
1,107,"27,023"
1,111,"60,646"
1,117,"25,343"
1,121,"34,151"
1,123,"31,035"
1,125,"27,566"
1,127,"20,985"
1,5,"45,828"
1,31,"48,603"
1,39,"43,005"
1,41,"39,246"
1,45,"30,646"
1,61,"38,671"
1,67,"36,651"
1,69,"29,223"
1,109,"51,496"
1,113,"19,886"
2,122,"24,042"
2,20, (D)
2,110, (D)
2,13,"680,310"
2,90,"10,715"
4,1,"4,890,652"
4,5,"6,048,049"
4,7,"752,145"
4,15,"658,273"
4,17,"3,641,910"
4,25,"796,113"
4,3,"829,598"
4,9,"1,183,759"
4,11,"59,714"
4,12, (D)
4,13,"164,851"
4,19,"2,553,726"
4,21,"772,331"
4,23,"191,118"
4,27, (D)
5,29,"67,129"
5,45,"90,766"
5,51,"18,784"
5,53,"19,525"
5,59,"37,883"
5,105,"32,193"
5,119,"15,848"
5,125,"18,610"
5,1,"6,972"
5,35,"1,195"
5,37,"7,190"
5,77,"3,917"
5,85,"23,850"
5,95,610
5,107,"1,056"
5,117,"8,284"
5,123,"5,906"
5,147,"5,485"
5,5,"61,666"
5,23,"65,916"
5,49,"158,704"
5,65,"114,472"
5,89,"126,761"
5,129,"128,002"
5,135,"98,527"
5,137,"80,985"
5,141,"61,666"
5,21,"16,761"
5,31,"13,637"
5,55,"23,213"
5,63,"121,011"
5,67,"10,575"
