State ANSI,County ANSI,"AG LAND, WOODLAND - ACRES"
1,1,"44,621"
1,11,"55,293"
1,47,"109,080"
1,51,"34,751"
1,63,"79,986"
1,65,"55,474"
1,85,"48,482"
1,87,"49,246"
1,91,"60,505"
1,101,"59,477"
1,105,"70,155"
1,119,"85,100"
1,3,"34,376"
1,13,"46,802"
1,23,"63,104"
1,25,"38,244"
1,35,"58,961"
1,53,"33,314"
1,97,"33,652"
1,99,"77,063"
1,129,"78,377"
1,131,"95,441"
1,9,"38,544"
1,15,"25,100"
1,19,"24,601"
1,29,"19,478"
1,43,"62,355"
1,49,"55,416"
1,55,"28,649"
1,71,"55,700"
1,95,"36,097"
1,115,"20,105"
1,33,"31,598"
1,59,"43,558"
1,77,"43,719"
1,79,"29,041"
1,83,"24,828"
1,89,"24,212"
1,93,"29,093"
1,103,"34,736"
1,133,"21,069"
1,7,"16,936"
1,17,"72,115"
1,21,"28,330"
1,27,"23,206"
1,37,"22,603"
1,57,"31,044"
1,73,"14,121"
1,75,"47,181"
1,81,"34,193"
1,107,"49,159"
1,111,"46,086"
1,117,"18,988"
1,121,"18,314"
1,123,"33,394"
1,125,"46,117"
1,127,"28,093"
1,5,"73,551"
1,31,"67,847"
1,39,"66,092"
1,41,"55,768"
1,45,"59,485"
1,61,"58,519"
1,67,"69,504"
1,69,"30,709"
1,109,"78,129"
1,113,"50,759"
2,122,"2,358"
2,20,"9,771"
2,110,216
2,13,191
2,90,"22,615"
4,1,"98,456"
4,5,"13,861"
4,7, (D)
4,15, (D)
4,17,"314,968"
4,25,"4,440"
4,3,"9,696"
4,9, (D)
4,11,490
4,13,488
4,19,"2,047"
4,21,115
4,23,"2,699"
5,29,"30,075"
5,45,"48,588"
5,51,"9,450"
5,53,"24,499"
5,59,"24,757"
5,105,"19,278"
5,119,"17,583"
5,125,"12,336"
5,1,"34,419"
5,35,"18,464"
5,37,"10,216"
5,77,"6,490"
5,85,"35,093"
5,95,"10,354"
5,107,"5,021"
5,117,"29,072"
5,123,"19,654"
5,147,"19,397"
5,5,"37,756"
5,23,"42,699"
5,49,"62,359"
5,65,"67,401"
5,89,"50,061"
5,129,"62,957"
5,135,"58,177"
5,137,"65,274"
5,141,"52,699"
5,21,"11,994"
5,31,"8,217"
5,55,"19,787"
5,63,"77,665"
5,67,"14,755"
5,75,"25,641"
5,93,"3,261"
5,111,"7,444"
5,121,"43,471"
5,145,"89,870"
5,7,"40,813"
5,9,"77,068"
5,15,"80,711"
5,87,"83,875"
5,101,"37,338"
5,143,"84,242"
5,11,"12,480"
5,13,"6,576"
5,19,"39,142"
5,25,"12,456"
5,27,"21,259"
5,39,"16,894"
5,99,"19,585"
5,103,"13,262"
5,139,"15,617"
5,3,"16,910"
5,17,"14,250"
5,41,"20,331"
5,43,"35,844"
5,69,"25,799"
5,79,"29,040"
5,57,"29,799"
5,61,"46,877"
5,73,"19,423"
5,81,"33,182"
5,91,"21,979"
5,97,"15,058"
5,109,"18,945"
5,133,"38,461"
5,33,"24,248"
5,47,"29,820"
5,71,"21,057"
5,83,"34,434"
5,113,"31,791"
5,115,"36,517"
5,127,"19,328"
5,131,"21,880"
5,149,"47,956"
6,1,"2,524"
6,13, (D)
6,33,"39,872"
6,41,"18,785"
6,53,"65,570"
6,55,"52,514"
6,69,"34,063"
6,75, (D)
6,79,"106,452"
6,81,"7,155"
6,85,"26,611"
6,87,"10,030"
6,97,"129,601"
6,35,"28,308"
6,49,"16,294"
6,63, (D)
6,15,"1,349"
6,23,"166,733"
6,45,"270,526"
6,7,"13,577"
6,11,"12,150"
6,21,"9,127"
6,67,"4,294"
6,95,"11,650"
6,101,"6,660"
6,103,"71,620"
6,113,"15,457"
6,115,"30,116"
6,19,"31,281"
6,29,"39,517"
6,31, (D)
6,39,"15,327"
6,47,"3,968"
6,77,"3,189"
6,99,"4,167"
6,107,"17,737"
6,3, (D)
6,5,"30,797"
6,9,"39,135"
6,17,"26,624"
6,27,"8,660"
6,43,"23,102"
6,51,780
6,57,"9,151"
6,61,"33,051"
6,91,"4,704"
6,109,"12,635"
6,89,"96,061"
6,93,"122,742"
6,105,"19,020"
6,37,"3,967"
6,59,991
6,65,"2,300"
6,71,"1,112"
6,73,"14,414"
6,83,"49,947"
6,111,"7,156"
8,1,923
8,5,749
8,17,"3,958"
8,35,"7,709"
8,41,"4,740"
8,39,"7,390"
8,61,341
8,63,198
8,73, (D)
8,95,930
8,121,"1,367"
8,125,9
