STATEFP,COUNTYFP,county_State
29,227,Worth_Missouri
31,61,Franklin_Nebraska
36,13,Chautauqua_New York
37,181,Vance_North Carolina
47,183,Weakley_Tennessee
44,3,Kent_Rhode Island
8,101,Pueblo_Colorado
17,175,Stark_Illinois
29,169,Pulaski_Missouri
19,151,Pocahontas_Iowa
22,39,Evangeline_Louisiana
28,49,Hinds_Mississippi
28,81,Lee_Mississippi
29,117,Livingston_Missouri
21,83,Graves_Kentucky
28,37,Franklin_Mississippi
40,49,Garvin_Oklahoma
47,83,Houston_Tennessee
48,189,Hale_Texas
51,830,Williamsburg_Virginia
51,595,Emporia_Virginia
51,169,Scott_Virginia
55,69,Lincoln_Wisconsin
35,43,Sandoval_New Mexico
27,65,Kanabec_Minnesota
13,321,Worth_Georgia
37,145,Person_North Carolina
31,35,Clay_Nebraska
31,169,Thayer_Nebraska
54,83,Randolph_West Virginia
47,77,Henderson_Tennessee
48,263,Kent_Texas
12,81,Manatee_Florida
16,27,Canyon_Idaho
17,69,Hardin_Illinois
21,117,Kenton_Kentucky
22,91,St. Helena_Louisiana
27,133,Rock_Minnesota
29,119,McDonald_Missouri
40,25,Cimarron_Oklahoma
39,69,Henry_Ohio
47,151,Scott_Tennessee
6,11,Colusa_California
13,63,Clayton_Georgia
13,57,Cherokee_Georgia
18,65,Henry_Indiana
20,101,Lane_Kansas
21,215,Spencer_Kentucky
19,37,Chickasaw_Iowa
27,5,Becker_Minnesota
29,85,Hickory_Missouri
27,61,Itasca_Minnesota
36,37,Genesee_New York
31,143,Polk_Nebraska
40,97,Mayes_Oklahoma
46,25,Clark_South Dakota
48,499,Wood_Texas
48,393,Roberts_Texas
54,105,Wirt_West Virginia
18,95,Madison_Indiana
1,59,Franklin_Alabama
6,75,San Francisco_California
13,47,Catoosa_Georgia
19,191,Winneshiek_Iowa
28,93,Marshall_Mississippi
28,87,Lowndes_Mississippi
29,181,Ripley_Missouri
36,115,Washington_New York
46,27,Clay_South Dakota
53,71,Walla Walla_Washington
8,87,Morgan_Colorado
17,53,Ford_Illinois
19,103,Johnson_Iowa
20,15,Butler_Kansas
21,149,McLean_Kentucky
22,43,Grant_Louisiana
28,137,Tate_Mississippi
28,17,Chickasaw_Mississippi
36,99,Seneca_New York
28,29,Copiah_Mississippi
42,75,Lebanon_Pennsylvania
48,353,Nolan_Texas
51,775,Salem_Virginia
54,31,Hardy_West Virginia
1,29,Cleburne_Alabama
55,77,Marquette_Wisconsin
35,15,Eddy_New Mexico
19,69,Franklin_Iowa
28,111,Perry_Mississippi
21,207,Russell_Kentucky
24,47,Worcester_Maryland
47,81,Hickman_Tennessee
48,217,Hill_Texas
42,45,Delaware_Pennsylvania
48,129,Donley_Texas
51,135,Nottoway_Virginia
13,55,Chattooga_Georgia
19,109,Kossuth_Iowa
27,27,Clay_Minnesota
36,9,Cattaraugus_New York
6,87,Santa Cruz_California
24,15,Cecil_Maryland
26,21,Berrien_Michigan
28,3,Alcorn_Mississippi
29,145,Newton_Missouri
48,215,Hidalgo_Texas
48,403,Sabine_Texas
1,9,Blount_Alabama
8,13,Boulder_Colorado
13,247,Rockdale_Georgia
17,27,Clinton_Illinois
18,55,Greene_Indiana
20,27,Clay_Kansas
21,73,Franklin_Kentucky
28,133,Sunflower_Mississippi
31,149,Rock_Nebraska
45,87,Union_South Carolina
47,113,Madison_Tennessee
51,740,Portsmouth_Virginia
51,810,Virginia Beach_Virginia
55,49,Iowa_Wisconsin
17,55,Franklin_Illinois
19,171,Tama_Iowa
19,101,Jefferson_Iowa
20,107,Linn_Kansas
37,83,Halifax_North Carolina
21,155,Marion_Kentucky
38,69,Pierce_North Dakota
17,187,Warren_Illinois
46,123,Tripp_South Dakota
42,131,Wyoming_Pennsylvania
5,21,Clay_Arkansas
12,47,Hamilton_Florida
18,43,Floyd_Indiana
26,57,Gratiot_Michigan
19,137,Montgomery_Iowa
27,151,Swift_Minnesota
27,127,Redwood_Minnesota
20,23,Cheyenne_Kansas
21,87,Green_Kentucky
17,41,Douglas_Illinois
17,95,Knox_Illinois
51,590,Danville_Virginia
55,65,Lafayette_Wisconsin
48,195,Hansford_Texas
48,437,Swisher_Texas
8,95,Phillips_Colorado
17,67,Hancock_Illinois
26,101,Manistee_Michigan
30,75,Powder River_Montana
31,127,Nemaha_Nebraska
28,59,Jackson_Mississippi
48,483,Wheeler_Texas
46,101,Moody_South Dakota
45,83,Spartanburg_South Carolina
4,25,Yavapai_Arizona
13,67,Cobb_Georgia
13,43,Candler_Georgia
31,75,Grant_Nebraska
19,99,Jasper_Iowa
21,9,Barren_Kentucky
19,175,Union_Iowa
26,143,Roscommon_Michigan
29,151,Osage_Missouri
28,85,Lincoln_Mississippi
39,47,Fayette_Ohio
47,177,Warren_Tennessee
48,227,Howard_Texas
48,151,Fisher_Texas
48,357,Ochiltree_Texas
17,115,Macon_Illinois
8,25,Crowley_Colorado
19,11,Benton_Iowa
19,65,Fayette_Iowa
20,133,Neosho_Kansas
27,85,McLeod_Minnesota
13,21,Bibb_Georgia
38,35,Grand Forks_North Dakota
22,1,Acadia_Louisiana
17,117,Macoupin_Illinois
47,173,Union_Tennessee
48,31,Blanco_Texas
48,331,Milam_Texas
48,67,Cass_Texas
8,103,Rio Blanco_Colorado
17,111,McHenry_Illinois
20,129,Morton_Kansas
26,139,Ottawa_Michigan
35,23,Hidalgo_New Mexico
42,85,Mercer_Pennsylvania
13,161,Jeff Davis_Georgia
1,13,Butler_Alabama
5,97,Montgomery_Arkansas
8,14,Broomfield_Colorado
13,269,Taylor_Georgia
18,181,White_Indiana
20,31,Coffey_Kansas
29,175,Randolph_Missouri
29,187,St. Francois_Missouri
27,79,Le Sueur_Minnesota
28,61,Jasper_Mississippi
42,43,Dauphin_Pennsylvania
46,57,Hamlin_South Dakota
47,105,Loudon_Tennessee
48,297,Live Oak_Texas
51,680,Lynchburg_Virginia
55,135,Waupaca_Wisconsin
54,95,Tyler_West Virginia
1,93,Marion_Alabama
55,61,Kewaunee_Wisconsin
18,137,Ripley_Indiana
20,115,Marion_Kansas
28,101,Newton_Mississippi
13,249,Schley_Georgia
13,201,Miller_Georgia
38,9,Bottineau_North Dakota
51,610,Falls Church_Virginia
48,493,Wilson_Texas
42,97,Northumberland_Pennsylvania
13,179,Liberty_Georgia
22,71,Orleans_Louisiana
29,199,Scotland_Missouri
31,83,Harlan_Nebraska
36,61,New York_New York
37,169,Stokes_North Carolina
38,59,Morton_North Dakota
42,105,Potter_Pennsylvania
5,147,Woodruff_Arkansas
8,89,Otero_Colorado
18,131,Pulaski_Indiana
19,91,Humboldt_Iowa
21,239,Woodford_Kentucky
20,189,Stevens_Kansas
29,25,Caldwell_Missouri
