countyfp,count_property,count_fema_sfha,pct_fema_sfha,count_fs_risk_2020_5,pct_fs_risk_2020_5,count_fs_risk_2050_5,pct_fs_risk_2050_5,count_fs_risk_2020_100,pct_fs_risk_2020_100,count_fs_risk_2050_100,pct_fs_risk_2050_100,count_fs_risk_2020_500,pct_fs_risk_2020_500,count_fs_risk_2050_500,pct_fs_risk_2050_500,count_fs_fema_difference_2020,pct_fs_fema_difference_2020,avg_risk_score_all,avg_risk_score_2_10,avg_risk_fsf_2020_100,avg_risk_fsf_2020_500,avg_risk_score_sfha,avg_risk_score_no_sfha,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
1001,29676,1654,5.6,730,2.5,783,2.6,2534,8.5,2667,9,3318,11.2,3439,11.6,880,3,1.63,6.46,7.46,6.63,4.85,1.44,26234,138,303,325,207,944,497,110,477,441
1003,138266,19496,14.1,5900,4.3,10708,7.7,24137,17.5,27024,19.5,29453,21.3,33082,23.9,4641,3.4,2.31,6.48,7.55,6.96,6.93,1.55,105173,1843,2909,2294,2622,9384,2602,1011,7101,3327
1005,23155,924,4,608,2.6,665,2.9,1565,6.8,1643,7.1,1842,8,1985,8.6,641,2.8,1.51,6.91,7.89,7.29,4.22,1.39,21170,148,104,106,97,394,336,64,388,348
1007,14970,916,6.1,759,5.1,795,5.3,1365,9.1,1402,9.4,1562,10.4,1601,10.7,449,3,1.71,7.6,8.3,7.74,4.33,1.53,13369,41,79,91,64,235,219,47,402,423
1009,41304,930,2.3,2274,5.5,2395,5.8,4127,10,4266,10.3,4716,11.4,4858,11.8,3197,7.7,1.79,7.7,8.43,7.88,6.67,1.68,36438,150,230,233,199,679,585,175,1176,1439
1011,9312,754,8.1,310,3.3,336,3.6,637,6.8,675,7.2,737,7.9,762,8.2,-117,-1.3,1.51,7.28,7.98,7.45,3,1.38,8550,28,32,40,56,112,115,51,213,115
1013,18884,770,4.1,729,3.9,750,4,1520,8,1559,8.3,1693,9,1754,9.3,750,4,1.6,7.42,8.04,7.61,4.05,1.49,17129,62,66,83,104,275,270,96,457,342
1015,72237,4307,6,3805,5.3,4216,5.8,11142,15.4,11694,16.2,13169,18.2,13634,18.9,6835,9.5,2.13,6.99,7.75,7.17,6.56,1.85,58584,502,662,916,774,2833,2495,605,3040,1826
1017,24214,814,3.4,421,1.7,461,1.9,1180,4.9,1261,5.2,1571,6.5,1647,6.8,366,1.5,1.39,6.69,7.87,6.91,4.5,1.28,22566,85,111,189,93,314,254,45,292,265
1019,32541,6594,20.3,2890,8.9,2966,9.1,7999,24.6,8036,24.7,9340,28.7,9372,28.8,1405,4.3,2.76,7.08,7.72,7.13,6.44,1.83,23119,185,546,705,453,2352,1232,363,1875,1711
1021,29449,942,3.2,1177,4,1263,4.3,2475,8.4,2561,8.7,2825,9.6,2901,9.9,1533,5.2,1.64,7.5,8.19,7.65,4.54,1.55,26543,85,127,166,144,485,386,124,634,755
