County Name/State Abbreviation,Labor force (persons),Employed (persons),Unemployed (persons),Unemployment Rate (%)
Autauga_alabama,"26,172","25,458",714,2.7
Baldwin_alabama,"97,328","94,675","2,653",2.7
Barbour_alabama,"8,537","8,213",324,3.8
Bibb_alabama,"8,685","8,419",266,3.1
Blount_alabama,"25,331","24,655",676,2.7
Bullock_alabama,"4,818","4,643",175,3.6
Butler_alabama,"9,263","8,925",338,3.6
Calhoun_alabama,"46,209","44,574","1,635",3.5
Chambers_alabama,"15,748","15,286",462,2.9
Cherokee_alabama,"11,604","11,266",338,2.9
Chilton_alabama,"19,818","19,280",538,2.7
Choctaw_alabama,"4,670","4,452",218,4.7
Clarke_alabama,"7,557","7,121",436,5.8
Clay_alabama,"6,101","5,918",183,3
Cleburne_alabama,"5,806","5,623",183,3.2
Coffee_alabama,"21,402","20,779",623,2.9
Colbert_alabama,"23,646","22,761",885,3.7
Conecuh_alabama,"4,533","4,353",180,4
Coosa_alabama,"4,549","4,414",135,3
Covington_alabama,"15,653","15,119",534,3.4
Crenshaw_alabama,"6,476","6,293",183,2.8
Cullman_alabama,"38,646","37,648",998,2.6
Dale_alabama,"20,724","20,082",642,3.1
Dallas_alabama,"14,711","13,904",807,5.5
DeKalb_alabama,"31,052","30,182",870,2.8
Elmore_alabama,"37,565","36,586",979,2.6
Escambia_alabama,"14,762","14,248",514,3.5
Etowah_alabama,"42,723","41,295","1,428",3.3
Fayette_alabama,"6,579","6,372",207,3.1
Franklin_alabama,"14,696","14,291",405,2.8
Geneva_alabama,"11,045","10,725",320,2.9
Greene_alabama,"2,883","2,722",161,5.6
Hale_alabama,"6,119","5,878",241,3.9
Henry_alabama,"6,944","6,697",247,3.6
Houston_alabama,"46,234","44,844","1,390",3
Jackson_alabama,"23,484","22,712",772,3.3
Jefferson_alabama,"318,755","309,664","9,091",2.9
Lamar_alabama,"5,849","5,670",179,3.1
Lauderdale_alabama,"42,548","41,160","1,388",3.3
Lawrence_alabama,"14,306","13,859",447,3.1
Lee_alabama,"76,580","74,500","2,080",2.7
Limestone_alabama,"43,854","42,700","1,154",2.6
Lowndes_alabama,"3,587","3,383",204,5.7
Macon_alabama,"7,850","7,513",337,4.3
Madison_alabama,"185,219","180,505","4,714",2.5
Marengo_alabama,"7,694","7,423",271,3.5
Marion_alabama,"12,932","12,486",446,3.4
Marshall_alabama,"44,085","42,999","1,086",2.5
Mobile_alabama,"189,107","182,083","7,024",3.7
Monroe_alabama,"7,329","6,973",356,4.9
Montgomery_alabama,"105,777","102,517","3,260",3.1
Morgan_alabama,"58,271","56,771","1,500",2.6
Perry_alabama,"3,413","3,235",178,5.2
Pickens_alabama,"7,923","7,647",276,3.5
Pike_alabama,"15,428","14,924",504,3.3
Randolph_alabama,"9,639","9,347",292,3
Russell_alabama,"23,896","23,198",698,2.9
St. Clair_alabama,"40,532","39,441","1,091",2.7
Shelby_alabama,"115,939","113,414","2,525",2.2
Sumter_alabama,"4,854","4,635",219,4.5
Talladega_alabama,"35,769","34,556","1,213",3.4
Tallapoosa_alabama,"18,652","18,096",556,3
Tuscaloosa_alabama,"104,964","102,122","2,842",2.7
Walker_alabama,"25,347","24,517",830,3.3
Washington_alabama,"6,800","6,487",313,4.6
Wilcox_alabama,"2,739","2,544",195,7.1
Winston_alabama,"10,041","9,705",336,3.3
Aleutians East_alaska,"2,428","2,360",68,2.8
Aleutians West_alaska,"3,606","3,477",129,3.6
Anchorage/municipality_alaska,"146,949","139,526","7,423",5.1
Bethel_alaska,"7,025","6,120",905,12.9
Bristol Bay_alaska,441,414,27,6.1
Denali_alaska,"1,038",950,88,8.5
Dillingham_alaska,"1,938","1,781",157,8.1
Fairbanks North Star_alaska,"44,652","42,248","2,404",5.4
Haines_alaska,"1,111","1,012",99,8.9
Hoonah-Angoon_alaska,"1,160","1,028",132,11.4
Juneau_alaska,"16,999","16,243",756,4.4
Kenai Peninsula_alaska,"26,161","24,383","1,778",6.8
Ketchikan Gateway_alaska,"6,884","6,456",428,6.2
Kodiak Island_alaska,"5,912","5,582",330,5.6
Kusilvak_alaska,"2,682","2,164",518,19.3
Lake and Peninsula_alaska,708,638,70,9.9
Matanuska-Susitna_alaska,"46,901","43,661","3,240",6.9
Nome_alaska,"4,036","3,596",440,10.9
North Slope_alaska,"3,485","3,261",224,6.4
Northwest Arctic_alaska,"2,934","2,523",411,14
Petersburg_alaska,"1,388","1,267",121,8.7
Prince of Wales-Hyder_alaska,"2,851","2,562",289,10.1
Sitka_alaska,"4,336","4,155",181,4.2
Skagway Municipality_alaska,822,746,76,9.2
Southeast Fairbanks_alaska,"2,810","2,558",252,9
Valdez-Cordova_alaska,"4,815","4,452",363,7.5
Wrangell_alaska,"1,002",925,77,7.7
Yakutat_alaska,246,227,19,7.7
Yukon-Koyukuk_alaska,"2,458","2,113",345,14
Apache_arizona,"20,487","18,468","2,019",9.9
Cochise_arizona,"50,594","47,695","2,899",5.7
Coconino_arizona,"77,507","73,206","4,301",5.5
Gila_arizona,"21,677","20,485","1,192",5.5
Graham_arizona,"15,351","14,608",743,4.8
Greenlee_arizona,"4,520","4,342",178,3.9
La Paz_arizona,"9,334","8,789",545,5.8
Maricopa_arizona,"2,310,503","2,217,656","92,847",4
Mohave_arizona,"87,792","82,815","4,977",5.7
Navajo_arizona,"40,979","37,973","3,006",7.3
Pima_arizona,"498,695","476,620","22,075",4.4
Pinal_arizona,"187,480","178,309","9,171",4.9
Santa Cruz_arizona,"19,636","17,963","1,673",8.5
Yavapai_arizona,"106,880","102,138","4,742",4.4
Yuma_arizona,"99,824","83,437","16,387",16.4
Arkansas_arkansas,"9,427","9,141",286,3
Ashley_arkansas,"7,751","7,333",418,5.4
Baxter_arkansas,"16,296","15,646",650,4
Benton_arkansas,"137,211","133,610","3,601",2.6
Boone_arkansas,"16,036","15,525",511,3.2
Bradley_arkansas,"4,483","4,298",185,4.1
Calhoun_arkansas,"2,453","2,345",108,4.4
Carroll_arkansas,"12,783","12,383",400,3.1
Chicot_arkansas,"3,285","3,057",228,6.9
Clark_arkansas,"9,691","9,323",368,3.8
Clay_arkansas,"5,691","5,413",278,4.9
Cleburne_arkansas,"9,226","8,808",418,4.5
Cleveland_arkansas,"3,219","3,092",127,3.9
Columbia_arkansas,"9,140","8,730",410,4.5
Conway_arkansas,"8,285","7,926",359,4.3
Craighead_arkansas,"55,652","54,097","1,555",2.8
Crawford_arkansas,"26,922","26,028",894,3.3
Crittenden_arkansas,"21,422","20,512",910,4.2
Cross_arkansas,"7,411","7,097",314,4.2
Dallas_arkansas,"2,840","2,706",134,4.7
Desha_arkansas,"5,402","5,161",241,4.5
Drew_arkansas,"7,864","7,456",408,5.2
Faulkner_arkansas,"62,431","60,556","1,875",3
Franklin_arkansas,"7,494","7,242",252,3.4
Fulton_arkansas,"4,962","4,763",199,4
Garland_arkansas,"41,346","39,809","1,537",3.7
Grant_arkansas,"8,403","8,136",267,3.2
Greene_arkansas,"20,065","19,366",699,3.5
Hempstead_arkansas,"9,951","9,571",380,3.8
Hot Spring_arkansas,"14,019","13,509",510,3.6
Howard_arkansas,"5,711","5,525",186,3.3
Independence_arkansas,"16,527","15,868",659,4
Izard_arkansas,"4,912","4,643",269,5.5
Jackson_arkansas,"5,840","5,460",380,6.5
Jefferson_arkansas,"27,740","26,220","1,520",5.5
Johnson_arkansas,"10,278","9,809",469,4.6
Lafayette_arkansas,"2,466","2,351",115,4.7
Lawrence_arkansas,"6,817","6,533",284,4.2
Lee_arkansas,"2,833","2,706",127,4.5
Lincoln_arkansas,"3,950","3,777",173,4.4
Little River_arkansas,"5,518","5,280",238,4.3
Logan_arkansas,"8,583","8,210",373,4.3
Lonoke_arkansas,"34,468","33,359","1,109",3.2
Madison_arkansas,"7,427","7,238",189,2.5
Marion_arkansas,"6,673","6,406",267,4
Miller_arkansas,"19,750","18,941",809,4.1
Mississippi_arkansas,"17,358","16,467",891,5.1
Monroe_arkansas,"2,761","2,642",119,4.3
Montgomery_arkansas,"2,970","2,832",138,4.6
Nevada_arkansas,"3,662","3,517",145,4
Newton_arkansas,"3,335","3,218",117,3.5
Ouachita_arkansas,"9,838","9,330",508,5.2
Perry_arkansas,"4,275","4,100",175,4.1
Phillips_arkansas,"6,379","5,996",383,6
Pike_arkansas,"4,250","4,086",164,3.9
Poinsett_arkansas,"10,279","9,929",350,3.4
Polk_arkansas,"8,121","7,782",339,4.2
Pope_arkansas,"28,869","27,618","1,251",4.3
Prairie_arkansas,"3,586","3,430",156,4.4
Pulaski_arkansas,"190,248","183,776","6,472",3.4
Randolph_arkansas,"7,301","7,017",284,3.9
St. Francis_arkansas,"8,197","7,772",425,5.2
Saline_arkansas,"59,114","57,450","1,664",2.8
Scott_arkansas,"4,314","4,167",147,3.4
Searcy_arkansas,"2,914","2,781",133,4.6
Sebastian_arkansas,"56,698","54,834","1,864",3.3
Sevier_arkansas,"5,513","5,248",265,4.8
Sharp_arkansas,"5,742","5,457",285,5
Stone_arkansas,"4,726","4,503",223,4.7
Union_arkansas,"15,847","15,018",829,5.2
Van Buren_arkansas,"5,741","5,455",286,5
Washington_arkansas,"124,967","121,914","3,053",2.4
White_arkansas,"33,800","32,281","1,519",4.5
Woodruff_arkansas,"2,773","2,627",146,5.3
Yell_arkansas,"8,417","8,081",336,4
Alameda_california,"844,346","819,675","24,671",2.9
Alpine_california,551,523,28,5.1
Amador_california,"14,900","14,328",572,3.8
Butte_california,"99,242","94,162","5,080",5.1
Calaveras_california,"21,428","20,616",812,3.8
Colusa_california,"10,993","9,586","1,407",12.8
Contra Costa_california,"561,757","544,496","17,261",3.1
Del Norte_california,"9,674","9,119",555,5.7
El Dorado_california,"92,022","88,785","3,237",3.5
Fresno_california,"450,760","418,092","32,668",7.2
Glenn_california,"12,997","12,201",796,6.1
Humboldt_california,"62,507","60,254","2,253",3.6
Imperial_california,"71,411","58,331","13,080",18.3
Inyo_california,"8,760","8,450",310,3.5
Kern_california,"390,999","360,783","30,216",7.7
Kings_california,"57,788","53,222","4,566",7.9
Lake_california,"29,158","27,687","1,471",5
Lassen_california,"9,869","9,416",453,4.6
Los Angeles_california,"5,121,584","4,894,296","227,288",4.4
Madera_california,"61,945","57,651","4,294",6.9
Marin_california,"139,979","136,786","3,193",2.3
Mariposa_california,"7,612","7,262",350,4.6
Mendocino_california,"38,934","37,388","1,546",4
Merced_california,"116,226","106,866","9,360",8.1
