Area_name,Population per square mile 2010
UNITED STATES,87.4
ALABAMA,94.4
"Autauga, AL",91.8
"Baldwin, AL",114.6
"Barbour, AL",31
"Bibb, AL",36.8
"Blount, AL",88.9
"Bullock, AL",17.5
"Butler, AL",27
"Calhoun, AL",195.7
"Chambers, AL",57.4
"Cherokee, AL",46.9
"Chilton, AL",63
"Choctaw, AL",15.2
"Clarke, AL",20.9
"Clay, AL",23.1
"Cleburne, AL",26.7
"Coffee, AL",73.6
"Colbert, AL",91.8
"Conecuh, AL",15.6
"Coosa, AL",17.7
"Covington, AL",36.6
"Crenshaw, AL",22.8
"Cullman, AL",109.4
"Dale, AL",89.6
"Dallas, AL",44.8
"DeKalb, AL",91.5
"Elmore, AL",128.2
"Escambia, AL",40.5
"Etowah, AL",195.2
"Fayette, AL",27.5
"Franklin, AL",50
"Geneva, AL",46.6
"Greene, AL",14
"Hale, AL",24.5
"Henry, AL",30.8
"Houston, AL",175.1
"Jackson, AL",49.4
"Jefferson, AL",592.5
"Lamar, AL",24.1
"Lauderdale, AL",138.8
"Lawrence, AL",49.7
"Lee, AL",230.8
"Limestone, AL",147.8
"Lowndes, AL",15.8
"Macon, AL",35.2
"Madison, AL",417.7
"Marengo, AL",21.5
"Marion, AL",41.5
"Marshall, AL",164.4
"Mobile, AL",335.9
"Monroe, AL",22.5
"Montgomery, AL",292.5
"Morgan, AL",206.3
"Perry, AL",14.7
"Pickens, AL",22.4
"Pike, AL",48.9
"Randolph, AL",39.5
"Russell, AL",82.6
"St. Clair, AL",132.3
"Shelby, AL",248.5
"Sumter, AL",15.2
"Talladega, AL",111.7
"Tallapoosa, AL",58.1
"Tuscaloosa, AL",147.3
"Walker, AL",84.7
"Washington, AL",16.3
"Wilcox, AL",13.1
"Winston, AL",39.9
ALASKA,1.2
"Aleutians East, AK",0.4
"Aleutians West, AK",1.3
"Anchorage, AK",171.2
"Bethel, AK",0.4
"Bristol Bay, AK",2
"Denali, AK",0.1
"Dillingham, AK",0.3
"Fairbanks North Star, AK",13.3
"Haines, AK",1.1
"Hoonah-Angoon, AK",0.3
"Juneau, AK",11.6
"Kenai Peninsula, AK",3.4
"Ketchikan Gateway, AK",2.8
"Kodiak Island, AK",2.1
"Lake and Peninsula, AK",0.1
"Matanuska-Susitna, AK",3.6
"Nome, AK",0.4
"North Slope, AK",0.1
"Northwest Arctic, AK",0.2
"Petersburg, AK",1.2
"Prince of Wales-Hyder, AK",1.4
"Sitka, AK",3.1
"Skagway, AK",2.1
"Southeast Fairbanks, AK",0.3
"Valdez-Cordova, AK",0.3
"Wade Hampton, AK",0.4
"Wrangell, AK",0.9
"Yakutat, AK",0.1
"Yukon-Koyukuk, AK",0
ARIZONA,56.3
"Apache, AZ",6.4
"Cochise, AZ",21.3
"Coconino, AZ",7.2
"Gila, AZ",11.3
"Graham, AZ",8.1
"Greenlee, AZ",4.6
"La Paz, AZ",4.6
"Maricopa, AZ",414.9
"Mohave, AZ",15
"Navajo, AZ",10.8
"Pima, AZ",106.7
"Pinal, AZ",70
"Santa Cruz, AZ",38.3
"Yavapai, AZ",26
"Yuma, AZ",35.5
ARKANSAS,56
"Arkansas, AR",19.2
"Ashley, AR",23.6
"Baxter, AR",74.9
"Benton, AR",261.2
"Boone, AR",62.5
"Bradley, AR",17.7
"Calhoun, AR",8.5
"Carroll, AR",43.6
"Chicot, AR",18.3
"Clark, AR",26.6
"Clay, AR",25.2
"Cleburne, AR",46.9
"Cleveland, AR",14.5
"Columbia, AR",32.1
"Conway, AR",38.5
"Craighead, AR",136.4
"Crawford, AR",104.4
"Crittenden, AR",83.5
"Cross, AR",29
"Dallas, AR",12.2
"Desha, AR",16.9
"Drew, AR",22.3
"Faulkner, AR",174.8
"Franklin, AR",29.8
"Fulton, AR",19.8
"Garland, AR",141.7
"Grant, AR",28.3
"Greene, AR",72.9
"Hempstead, AR",31.1
"Hot Spring, AR",53.5
"Howard, AR",23.4
"Independence, AR",48
"Izard, AR",23.6
"Jackson, AR",28.4
"Jefferson, AR",88.9
"Johnson, AR",38.7
"Lafayette, AR",14.5
"Lawrence, AR",29.6
"Lee, AR",17.3
"Lincoln, AR",25.2
"Little River, AR",24.7
"Logan, AR",31.6
"Lonoke, AR",88.7
"Madison, AR",18.8
"Marion, AR",27.9
"Miller, AR",69.5
"Mississippi, AR",51.6
"Monroe, AR",13.4
"Montgomery, AR",12.2
"Nevada, AR",14.6
"Newton, AR",10.1
"Ouachita, AR",35.6
"Perry, AR",18.9
"Phillips, AR",31.3
"Pike, AR",18.8
"Poinsett, AR",32.4
"Polk, AR",24.1
"Pope, AR",76
"Prairie, AR",13.4
"Pulaski, AR",503.8
"Randolph, AR",27.6
"St. Francis, AR",44.5
"Saline, AR",148
"Scott, AR",12.6
"Searcy, AR",12.3
"Sebastian, AR",236.4
"Sevier, AR",30.2
"Sharp, AR",28.6
"Stone, AR",20.4
"Union, AR",40.1
"Van Buren, AR",24.4
"Washington, AR",215.6
"White, AR",74.5
"Woodruff, AR",12.4
"Yell, AR",23.9
CALIFORNIA,239.1
"Alameda, CA",2043.6
"Alpine, CA",1.6
"Amador, CA",64.1
"Butte, CA",134.4
"Calaveras, CA",44.7
"Colusa, CA",18.6
"Contra Costa, CA",1465.2
"Del Norte, CA",28.4
"El Dorado, CA",106
"Fresno, CA",156.2
"Glenn, CA",21.4
"Humboldt, CA",37.7
"Imperial, CA",41.8
"Inyo, CA",1.8
"Kern, CA",103.3
"Kings, CA",110.1
"Lake, CA",51.5
"Lassen, CA",7.7
"Los Angeles, CA",2419.6
"Madera, CA",70.6
"Marin, CA",485.1
"Mariposa, CA",12.6
"Mendocino, CA",25.1
"Merced, CA",132.2
"Modoc, CA",2.5
"Mono, CA",4.7
"Monterey, CA",126.5
"Napa, CA",182.4
"Nevada, CA",103.1
"Orange, CA",3807.7
"Placer, CA",247.6
"Plumas, CA",7.8
"Riverside, CA",303.8
"Sacramento, CA",1470.8
"San Benito, CA",39.8
"San Bernardino, CA",101.5
"San Diego, CA",735.8
"San Francisco, CA",17179.1
"San Joaquin, CA",492.6
"San Luis Obispo, CA",81.7
"San Mateo, CA",1602.2
"Santa Barbara, CA",155
"Santa Clara, CA",1381
"Santa Cruz, CA",589.4
