STATEFIPS,COUNTYFIPS,COUNTY,"Public Supply, total withdrawals, total (fresh+saline), in Mgal/d","% Public Supply, total withdrawals, total (fresh+saline)","Domestic, total self-supplied withdrawals, fresh, in Mgal/d","% Domestic, total self-supplied withdrawals, fresh","Industrial, self-supplied total withdrawals, total (fresh+saline), in Mgal/d","% Industrial, self-supplied total withdrawals, total (fresh+saline)","Irrigation, total withdrawals, fresh, in Mgal/d","% Irrigation, total withdrawals, fresh","Irrigation, acres irrigated, total, in thousand acres","Irrigation-Crop, groundwater withdrawals, fresh, in Mgal/d","% Irrigation-Crop, groundwater withdrawals, fresh","Irrigation-Crop, surface-water withdrawals, fresh, in Mgal/d","% Irrigation-Crop, surface-water withdrawals, fresh","Irrigation-Crop, total withdrawals, fresh, in Mgal/d","Irrigation-Crop, acres irrigated, total, in thousand acres","% Irrigation-Crop, acres irrigated, total","Irrigation-Golf, total withdrawals, fresh, in Mgal/d","Irrigation-Golf, acres irrigated, total, in thousand acres","% Irrigation-Golf, acres irrigated, total","Livestock, total withdrawals, fresh, in Mgal/d","% Livestock, total withdrawals, fresh","Aquaculture, total withdrawals, total (fresh+saline), in Mgal/d","% Aquaculture, total withdrawals, total (fresh+saline)","Mining, total withdrawals, total (fresh+saline), in Mgal/d","% Mining, total withdrawals, total (fresh+saline)","Thermoelectric, total withdrawals, total (fresh+saline), in Mgal/d","% Thermoelectric, total withdrawals, total (fresh+saline)","Thermoelectric, power generated, in gigawatt-hours","Thermoelectric once-through, total withdrawals, total (fresh+saline), in Mgal/d","Thermoelectric once-through, power generated, in gigawatt-hours","Thermoelectric recirculating, total withdrawals, total (fresh+saline), in Mgal/d","Thermoelectric recirculating, power generated, in gigawatt-hours","Total groundwater withdrawals, total (fresh+saline), in Mgal/d","% Total groundwater withdrawals, total (fresh+saline)","Total surface-water withdrawals, total (fresh+saline), in Mgal/d","% Total surface-water withdrawals, total (fresh+saline)",TOTAL WITHDRAWALS (GW+SF)
1,1,Autauga County,3.64,0.064527566,0.38,0.006736394,34.8,0.616911895,3.52,0.062400284,2.26,3.36,1,0,0,3.36,2.16,0.955752212,0.16,0.1,0.044247788,0.19,0.003368197,0,0,2.02,0.035809254,11.86,0.21024641,15711.64,0,0,11.86,15711.64,10.69,0.189505407,45.72,0.810494593,56.41
1,3,Baldwin County,23.67,0.279456907,2.14,0.025265643,0,0,58.28,0.688075561,20.66,47.17,0.874328082,6.78,0.125671918,53.95,18.52,0.896418199,4.33,2.14,0.103581801,0.29,0.003423849,0.1,0.001180638,0.22,0.002597403,0,0,0,0,0,0,0,73.38,0.86635183,11.32,0.13364817,84.7
1,5,Barbour County,3.23,0.358093126,0.12,0.013303769,1.5,0.166297118,2.96,0.328159645,4.53,0.57,0.228915663,1.92,0.771084337,2.49,4.23,0.933774834,0.47,0.3,0.066225166,0.41,0.045454545,0.36,0.039911308,0.44,0.048780488,0,0,0,0,0,0,0,6.06,0.671840355,2.96,0.328159645,9.02
1,7,Bibb County,5.18,0.882453152,0.16,0.02725724,0,0,0.19,0.032367973,0.16,0.03,1,0,0,0.03,0.06,0.375,0.16,0.1,0.625,0.07,0.011925043,0,0,0.27,0.045996593,0,0,0,0,0,0,0,5.67,0.96592845,0.2,0.03407155,5.87
1,9,Blount County,56.86,0.946562344,0.86,0.014316631,0,0,1.08,0.017979024,0.94,0.2,0.571428571,0.15,0.428571429,0.35,0.53,0.563829787,0.73,0.41,0.436170213,0.9,0.01498252,0,0,0.37,0.006159481,0,0,0,0,0,0,0,4.64,0.077243216,55.43,0.922756784,60.07
1,11,Bullock County,2.11,0.480637813,0.07,0.01594533,0,0,2,0.455580866,1.67,0.92,0.5,0.92,0.5,1.84,1.61,0.964071856,0.16,0.06,0.035928144,0.16,0.036446469,0.05,0.011389522,0,0,0,0,0,0,0,0,0,3.16,0.719817768,1.23,0.280182232,4.39
1,13,Butler County,2.28,0.561576355,0.27,0.066502463,0.2,0.049261084,0.99,0.243842365,0.3,0.01,1,0,0,0.01,0.02,0.066666667,0.98,0.28,0.933333333,0.32,0.078817734,0,0,0,0,0,0,0,0,0,0,0,2.89,0.71182266,1.17,0.28817734,4.06
1,15,Calhoun County,25.25,0.823280078,0.44,0.014346267,1.15,0.037495924,3.15,0.102706228,1.92,0,0,1.39,1,1.39,1.14,0.59375,1.76,0.78,0.40625,0.36,0.011737855,0.24,0.007825236,0.08,0.002608412,0,0,0,0,0,0,0,24.39,0.795239648,6.28,0.204760352,30.67
1,17,Chambers County,4.2,0.81871345,0.48,0.093567251,0,0,0.23,0.044834308,0.18,0.07,1,0,0,0.07,0.12,0.666666667,0.16,0.06,0.333333333,0.22,0.04288499,0,0,0,0,0,0,0,0,0,0,0,0.64,0.124756335,4.49,0.875243665,5.13
1,19,Cherokee County,3.2,0.431266846,0.49,0.066037736,0,0,2.82,0.380053908,1.87,0,0,2.66,1,2.66,1.77,0.946524064,0.16,0.1,0.053475936,0.4,0.053908356,0.51,0.068733154,0,0,0,0,0,0,0,0,0,3.59,0.483827493,3.83,0.516172507,7.42
