,state,county,Median,"Agriculture, forestry, fishing and hunting, and mining","Agriculture, forestry, fishing and hunting","Agriculture Mining, quarrying, and oil and gas extraction",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Transportation and warehousing,Utilities,Information,"Finance and insurance, and real estate, and rental and leasing",Finance and insurance,Real estate and rental and leasing,"Professional, scientific, and management, and administrative, and waste management services","Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management services,"Educational services, and health care and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, and recreation, and accommodation and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except public administration",Public administration
0,48,69,30906,33281,32891,-999999,34919,36705,31655,14700,38237,36458,53068,38906,22813,23036,16719,26613,26169,-999999,28309,32880,35882,26250,11000,-999999,11625,24375,27500
1,48,235,43478,64438,48125,66875,79583,-999999,57000,21250,75000,75000,-999999,-999999,-999999,-999999,-999999,21750,-999999,-999999,21750,31167,37500,27500,11087,-999999,11522,32361,38750
2,48,273,24345,41694,27034,51250,26971,60682,60667,16250,50913,60649,32188,69063,36167,40906,30333,18372,18137,-999999,18913,20613,23477,18222,10833,2499,12113,14375,44564
3,48,489,24727,33261,33424,32188,23720,29219,36000,14125,55139,56771,22734,32684,41827,40580,53088,16105,9250,-999999,16686,24648,29904,19702,9649,2499,10013,23077,32039
4,48,97,33954,35714,20152,64228,36153,49986,52734,21160,40061,40781,38816,57009,42214,42083,50625,54762,102691,-999999,24375,35020,39355,32695,18527,22975,16523,22934,48409
5,48,107,26713,30982,30737,85250,30489,20417,26875,21797,40179,40250,38750,10625,31618,32353,21719,15625,5625,-999999,20341,27955,38472,20921,10769,15000,10769,20938,37321
6,48,115,29797,36287,27904,52813,31076,31281,21974,25051,73846,74692,51667,26389,36667,37333,-999999,24808,44886,-999999,23209,24226,29929,17891,16146,20347,15972,30305,34130
7,48,151,33708,31125,28819,43456,39205,44338,-999999,27632,44375,46667,44196,56250,23438,25278,-999999,25625,41875,-999999,14000,34239,35341,33077,10938,-999999,10938,38542,34583
8,48,131,26792,50728,14500,52467,36484,25461,-999999,10750,44333,44333,-999999,-999999,40500,27589,-999999,8448,-999999,-999999,8017,20286,29010,17200,13750,-999999,13056,17422,35943
9,48,51,35136,45975,36292,54427,47639,47037,61367,20641,59402,61184,-999999,65000,31827,34531,30263,28438,58750,-999999,14279,31593,37194,25995,15317,-999999,15000,17583,39792
10,48,31,30773,40921,24743,52750,30807,21730,63125,23929,31875,6875,32440,25875,44318,42955,78750,40392,44605,-999999,20648,27328,31295,24155,26316,35398,17857,28250,35313
11,1,45,28706,40448,35156,41371,29573,32625,36821,19520,55667,61453,45288,35903,36532,35040,38373,23237,49647,-999999,16042,26639,25735,26870,12390,46741,12035,20431,48651
