county,state,Total Population,Percent Population Under 18,Percent Population Over 65 ,Percent Nonwhite,Percent of Population Below Poverty Level
Autauga,Alabama,55036,24.54575187,14.25067229,23.397,13.59655498
Baldwin,Alabama,203360,22.12775374,19.02389851,13.473,11.66797797
Barbour,Alabama,26201,21.04499828,17.44589901,53.437,24.16701653
Bibb,Alabama,22580,20.93888397,15.06643047,23.282,13.87511072
Blount,Alabama,57667,23.52298542,17.35481298,4.547,15.46638459
Bullock,Alabama,10478,20.67188395,15.17465165,78.059,27.21893491
Butler,Alabama,20126,22.70694624,18.53820928,47.595,24.023651
Calhoun,Alabama,115527,22.01217032,16.45069984,25.441,18.12563297
Chambers,Alabama,33895,21.40728721,18.58681221,42.316,18.55140876
Cherokee,Alabama,25855,20.14310578,20.97079868,6.896,15.87313866
Chilton,Alabama,43805,24.08400867,15.50051364,16.683,19.15763041
Choctaw,Alabama,13188,20.51865332,21.50439794,43.464,22.01243555
Clarke,Alabama,24625,22.39187817,18.45279188,46.770,24.80406091
Clay,Alabama,13407,21.30976356,19.4525248,16.849,18.59476393
Cleburne,Alabama,14939,23.14746636,18.4751322,5.435,18.74288774
Coffee,Alabama,51073,23.72878037,15.96146692,23.725,15.90272747
Colbert,Alabama,54435,21.50822081,18.90327914,20.428,16.63635529
Conecuh,Alabama,12649,21.9305874,21.06095344,48.660,26.21551111
Coosa,Alabama,10955,17.38931995,21.03149247,34.596,13.81104518
Covington,Alabama,37519,22.01018151,20.29105253,15.355,17.30056771
Crenshaw,Alabama,13866,22.60204818,17.93595846,28.523,17.30131256
Cullman,Alabama,81703,22.46796323,17.75699791,4.464,16.10344785
Dale,Alabama,49393,23.50130585,15.78766222,26.706,19.1140445
Dallas,Alabama,40755,24.7282542,16.26058152,71.790,31.39492087
DeKalb,Alabama,71194,24.64252606,16.03365452,13.736,21.23072169
Elmore,Alabama,80989,22.56479275,14.10068034,24.833,12.71654175
Escambia,Alabama,37621,22.28010951,17.04633051,38.633,22.01164243
