"Figure 1. Trends in April Snowpack in the Western United States, 1955-2020",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: USDA Natural Resources Conservation Service, 2020",,,
Web update: April 2021,,,
Units: degrees; degrees; percent change,,,
,,,
State,Latitude,Longitude,Trend (%)
AZ,34,-109.51667,-30.65186406
CA,38.828,-120.037,-33.77098508
CA,41.808,-122.195,-35.34190792
CA,39.142,-120.225,-36.08697078
CA,39.49001,-120.28226,-40.78706703
CA,41.397,-122.993,-50.79197109
CA,41.4,-123.001,-53.67061822
CA,40.293,-121.292,-53.91308489
CA,41.077,-122.938,-57.4387585
CA,39.45269,-120.29367,-38.41984066
CA,41.197,-122.523,-54.00670415
CA,38.92025,-120.03953,-30.89862148
CA,39.762,-120.713,-33.6927044
CA,37.45,-118.742,-33.9810979
CA,38.88285,-119.97765,-45.5667019
CA,41.17,-121.938,-33.69767946
CA,39.282,-120.527,-28.08084789
CA,39.31,-120.338,-24.26465406
CA,39.317,-120.642,-36.0565611
CA,41.367,-122.55,-30.04087707
CA,41.435,-122.1,-29.56399112
CA,39.9,-121.257,-34.10848006
CA,40.71,-121.577,-24.45253355
CA,39.857,-121.263,-27.18699046
CA,39.725,-120.932,-29.07183627
CA,41.15,-122.45,-42.698215
CA,40.355,-121.422,-25.38652953
CA,41.318,-122.503,-26.06918146
CA,36.122,-118.293,40.85080352
CA,41.58245,-120.30202,-18.67043752
CA,39.942,-121.19,-26.42605121
CA,39.682,-120.623,-24.95857215
CA,39.353,-120.353,-21.50459209
CA,41.008,-122.8,-25.9728302
CA,40.5,-121.15,-26.71094989
CA,36.038,-118.328,36.20553555
CA,37.127,-118.47,-28.14455879
CA,40.01667,-120.3,-21.16645913
CA,36.198,-118.272,40.51157989
CA,40.418,-121.275,-22.50411058
CA,37.235,-118.687,27.84350781
CA,41.23583,-120.79192,-25.24137456
CA,38.99927,-120.13139,-19.00337107
CA,39.842,-122.95,-25.7845095
CA,37.667,-119.625,-25.01794915
CA,36.415,-118.579,21.30064847
CA,39.725,-122.85,-37.20540749
CA,40.387,-121.31,-29.19637318
CA,38.608,-119.92437,-17.94478005
CA,39.18118,-120.2503,-17.40947165
CA,41.045,-122.478,-35.72179654
CA,38.678,-120.118,-24.81506249
CA,41.217,-122.807,-21.3230563
CA,38.818,-120.072,-18.83689997
CA,38.8519,-119.9374,-18.24550798
CA,38.033,-119.878,-20.89173989
